"","id","adj.P.Val.XBirA.over.No_BirA","AveExpr.XBirA.over.No_BirA","Log.P.Value.XBirA.over.No_BirA","logFC.XBirA.over.No_BirA","P.Value.XBirA.over.No_BirA","t.XBirA.over.No_BirA","Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian","Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian","Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian","Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian","Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian","Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian","id.query","id.mapped","id.concat","id.1","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","Proteome.unique_peptides","Proteome.numSpectra","Proteome.totalIntensity","Proteome.pct_cov"
"263","P28825",4.48641e-06,-0.299666667,69.01012989,1.974333333,1.25599e-07,23.35576411,-1.2685,-1.157,-1.435,0.705,0.617,0.7405,"P28825","Mep1a","P28825_Mep1a","P28825","Mep1a",1,102,27,27,"A0A0R4J043|P28825","MOUSE",85313.7,43.7,190,190.1,412.14,412.14,NA,747,"Meprin A subunit alpha","membrane|integral component of membrane|extracellular exosome|","proteolysis|","metalloendopeptidase activity|zinc ion binding|",27,102,1.51e+11,"43.7%"
"2506","Q9JKF6",2.70989e-05,-0.237833333,55.24429674,1.973333333,2.98931e-06,14.40233449,-1.1425,-1.024,-1.507,0.883,0.614,0.7495,"Q9JKF6","Nectin1","Q9JKF6_Nectin1","Q9JKF6","Nectin1",1,3,3,3,"Q9JKF6","MOUSE",57376.4,8.5,2234,2234.1,37.65,37.65,NA,515,"Nectin-1","cell-cell adherens junction|integral component of membrane|catenin complex|axon|growth cone membrane|presynaptic membrane|intracellular membrane-bounded organelle|","lens morphogenesis in camera-type eye|desmosome organization|iron ion transport|homophilic cell adhesion via plasma membrane adhesion molecules|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|axon guidance|single organismal cell-cell adhesion|viral entry into host cell|camera-type eye morphogenesis|regulation of synapse assembly|retina development in camera-type eye|enamel mineralization|","receptor activity|protein binding|carbohydrate binding|protein homodimerization activity|virion binding|protein heterodimerization activity|cell adhesion molecule binding|",3,3,1.83e+08,"8.5%"
"971","B8JJN0",2.30769e-05,-0.193333333,56.12736922,1.971,2.43929e-06,14.8630686,-1.0085,-1.139,-1.389,0.821,0.584,0.9715,"B8JJN0","NotFound","B8JJN0_NotFound","B8JJN0","Gm20547",1,28,15,15,"B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00|P21180|P21180-2|B8JJN2|B8JJM9","MOUSE",144605,13.7,791,791.1,166.63,166.63,NA,1276,"Predicted gene 20547","","proteolysis|","serine-type endopeptidase activity|",15,28,3.28e+09,"13.7%"
"1795","Q8BXZ1",9.50082e-06,-0.197166667,62.38536263,1.969333333,5.77383e-07,18.55503714,-1.1035,-1.059,-1.383,0.758,0.69,0.9145,"Q8BXZ1","Tmx3","Q8BXZ1_Tmx3","Q8BXZ1","Tmx3",1,18,5,5,"Q8BXZ1","MOUSE",52189.4,12,1540,1540.1,76.96,76.96,NA,456,"Protein disulfide-isomerase TMX3","endoplasmic reticulum membrane|cell surface|integral component of membrane|","protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|","protein disulfide isomerase activity|",5,18,4.53e+10,"12.0%"
"1273","Q9EPS3",2.06161e-06,-0.286,81.12428987,1.961,7.71918e-09,35.02396488,-1.2375,-1.261,-1.301,0.692,0.646,0.7455,"Q9EPS3","Glce","Q9EPS3_Glce","Q9EPS3","Glce",1,22,10,10,"Q9EPS3","MOUSE",70429.9,18.2,1050,1050.1,128.15,128.15,NA,618,"D-glucuronyl C5-epimerase","Golgi membrane|Golgi apparatus|integral component of membrane|","heparan sulfate proteoglycan biosynthetic process|heparin biosynthetic process|","racemase and epimerase activity, acting on carbohydrates and derivatives|heparosan-N-sulfate-glucuronate 5-epimerase activity|UDP-glucuronate 5'-epimerase activity|",10,22,1.47e+10,"18.2%"
"549","A0A0R4J0A9",5.07982e-06,-0.300833333,67.89408651,1.960666667,1.62402e-07,22.52545319,-1.1225,-1.304,-1.417,0.652,0.749,0.6375,"A0A0R4J0A9","Lrp6","A0A0R4J0A9_Lrp6","A0A0R4J0A9","Lrp6",1,38,23,22,"A0A0R4J0A9|O88572","MOUSE",183329.7,17.4,415,415.1,259.62,244.71,NA,1613,"Low-density lipoprotein receptor-related protein","","","",23,38,3.35e+09,"17.4%"
"1720","E9Q4X2",2.47157e-05,-0.3015,55.75897865,1.954666667,2.65523e-06,14.66919293,-1.0935,-1.161,-1.582,0.618,0.643,0.7665,"E9Q4X2","Uggt2","E9Q4X2_Uggt2","E9Q4X2","Uggt2",1,12,8,8,"E9Q4X2","MOUSE",173504.7,6.7,1473,1473.1,83.35,83.35,NA,1504,"UDP-glucose glycoprotein glucosyltransferase 2","","protein glycosylation|UDP-glucosylation|","UDP-glucose:glycoprotein glucosyltransferase activity|",8,12,3.5e+09,"6.7%"
"2668","P98154",1.22407e-05,-0.164,60.64135182,1.953,8.6271e-07,17.44600854,-1.2335,-0.94,-1.248,0.958,0.674,0.8055,"P98154","Dgcr2","P98154_Dgcr2","P98154","Dgcr2",1,3,2,2,"E9Q548|Q6P5A9|E9QNU3|P98154|A0A0R4J1M6|Q8C2R4","MOUSE",62065.2,5.2,2397,2397.1,32.44,32.44,NA,548,"Integral membrane protein DGCR2/IDD","membrane|integral component of membrane|","cell adhesion|response to drug|cognition|","carbohydrate binding|",2,3,1.04e+08,"5.2%"
"1445","C0HKG5",7.93827e-06,-0.203166667,63.73618438,1.948666667,4.2304e-07,19.46054732,-1.2125,-1.037,-1.283,0.843,0.601,0.8695,"C0HKG5","Rnaset2b","C0HKG5_Rnaset2b","C0HKG5","Rnaset2a",1,31,7,7,"C0HKG5","MOUSE",30178.8,26.2,1213,1213.1,107.3,107.3,NA,259,"Ribonuclease T2-A","","","",7,31,6.39e+10,"26.2%"
"2418","P58158",6.30768e-06,-0.282333333,65.28522621,1.942333333,2.96127e-07,20.55171647,-1.1775,-1.137,-1.446,0.755,0.624,0.6875,"P58158","B3gat3","P58158_B3gat3","P58158","B3gat3",1,9,5,5,"P58158","MOUSE",37237.3,18.5,2145,2145.1,40.9,40.9,NA,335,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3","Golgi membrane|Golgi apparatus|cis-Golgi network|membrane|integral component of membrane|extracellular exosome|","glycosaminoglycan biosynthetic process|protein glycosylation|heparan sulfate proteoglycan biosynthetic process|positive regulation of catalytic activity|chondroitin sulfate proteoglycan biosynthetic process|dermatan sulfate proteoglycan biosynthetic process|positive regulation of intracellular protein transport|","galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity|glucuronosyltransferase activity|metal ion binding|protein phosphatase activator activity|",5,9,1.9e+08,"18.5%"
"1075","Q91V88",0.000939818,0.043166667,36.87866755,1.935333333,0.000205179,7.33266446,-0.7155,-0.848,-1.21,1.139,0.44,1.4535,"Q91V88","Npnt","Q91V88_Npnt","Q91V88","Npnt",1,23,10,10,"Q91V88|D3Z4D3|Q91V88-3|Q91V88-2|Q91V88-4|D3YT","MOUSE",63657.2,23.7,882,882.1,152.39,152.39,NA,561,"Nephronectin","extracellular region|proteinaceous extracellular matrix|basement membrane|smooth muscle contractile fiber|extracellular matrix|extracellular exosome|integrin alpha8-beta1 complex|","ureteric bud development|branching involved in ureteric bud morphogenesis|cell-matrix adhesion|positive regulation of alkaline phosphatase activity|positive regulation of cell-substrate adhesion|extracellular matrix organization|positive regulation of transforming growth factor beta receptor signaling pathway|cell-cell adhesion mediated by integrin|establishment of protein localization|positive regulation of osteoblast differentiation|positive regulation of smooth muscle contraction|positive regulation of ERK1 and ERK2 cascade|cellular response to tumor necrosis factor|pilomotor reflex|positive regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation|","integrin binding|calcium ion binding|",10,23,3.99e+09,"23.7%"
"803","Q91ZW2",4.75646e-06,-0.27,68.41471931,1.933666667,1.44055e-07,22.87361929,-1.1475,-1.154,-1.409,0.717,0.654,0.7195,"Q91ZW2","Pofut1","Q91ZW2_Pofut1","Q91ZW2","Pofut1",1,49,13,13,"Q91ZW2|A2AMC3|Q3UXG7|E9Q686|E9PZ15","MOUSE",45144.1,44.5,637,637.1,200.99,200.99,NA,393,"GDP-fucose protein O-fucosyltransferase 1","endoplasmic reticulum|membrane|","angiogenesis|somitogenesis|fucose metabolic process|protein O-linked glycosylation|Notch signaling pathway|nervous system development|heart development|protein O-linked fucosylation|","fucosyltransferase activity|peptide-O-fucosyltransferase activity|",13,49,3.63e+10,"44.5%"
"2728","Q9Z0J1",4.4324e-05,-0.1115,52.62497068,1.930666667,5.4639e-06,13.11366531,-0.9475,-1.074,-1.209,0.892,0.556,1.1135,"Q9Z0J1","Reck","Q9Z0J1_Reck","Q9Z0J1","Reck",1,7,4,4,"Q9Z0J1","MOUSE",111101,4.2,2457,2457.1,30.85,30.85,NA,971,"Reversion-inducing cysteine-rich protein with Kazal motifs","plasma membrane|anchored component of membrane|","blood vessel maturation|embryo implantation|negative regulation of endopeptidase activity|extracellular matrix organization|embryonic forelimb morphogenesis|positive regulation of Notch signaling pathway|","endopeptidase inhibitor activity|serine-type endopeptidase inhibitor activity|",4,7,1.04e+10,"4.2%"
"1035","Q9WU40-2",2.36007e-06,-0.299166667,76.61911757,1.928666667,2.17815e-08,29.97260634,-1.3245,-1.199,-1.267,0.588,0.716,0.6915,"Q9WU40","Lemd3","Q9WU40-2_Lemd3","Q9WU40-2","Lemd3",1,34,12,12,"Q9WU40-2|D3YU56|Q9WU40|E9QP59","MOUSE",103764.6,13.6,848,848.1,158.7,158.7,NA,921,"Isoform 2 of Inner nuclear membrane protein Man1","nuclear envelope|nuclear inner membrane|integral component of nuclear inner membrane|integral component of membrane|","angiogenesis|blood vessel endothelial cell migration involved in intussusceptive angiogenesis|nucleus organization|negative regulation of transforming growth factor beta receptor signaling pathway|negative regulation of BMP signaling pathway|negative regulation of activin receptor signaling pathway|skeletal muscle cell differentiation|regulation of cell cycle|regulation of extracellular matrix organization|","nucleotide binding|DNA binding|",12,34,1.18e+10,"13.6%"
"2864","Q61112",5.70309e-06,-0.3145,66.60618123,1.926,2.18465e-07,21.52903045,-1.1585,-1.229,-1.445,0.593,0.619,0.7335,"Q61112","Sdf4","Q61112_Sdf4","Q61112","Sdf4",1,3,2,2,"Q61112|Q61112-2","MOUSE",42120.4,5.5,2593,2593.1,26.71,26.71,NA,361,"45 kDa calcium-binding protein","late endosome|Golgi apparatus|Golgi lumen|membrane|extracellular exosome|","UV protection|cerebellum development|fat cell differentiation|response to ethanol|","calcium ion binding|",2,3,1.29e+08,"5.5%"
"2561","P15535",0.000319997,-0.123666667,42.45852637,1.917,5.67737e-05,9.052813077,-0.8455,-0.893,-1.508,1.008,0.52,0.9765,"P15535","B4galt1","P15535_B4galt1","P15535","B4galt1",1,5,3,3,"P15535|P15535-2|B1AXY5","MOUSE",44809.7,9.5,2290,2290.1,35.72,35.72,NA,399,"Beta-1,4-galactosyltransferase 1","Golgi trans cisterna|extracellular space|Golgi apparatus|plasma membrane|external side of plasma membrane|cell surface|membrane|integral component of membrane|basolateral plasma membrane|desmosome|glycocalyx|filopodium|brush border membrane|Golgi cisterna membrane|extracellular exosome|","epithelial cell development|acute inflammatory response|lactose biosynthetic process|galactose metabolic process|protein glycosylation|protein N-linked glycosylation|cell adhesion|binding of sperm to zona pellucida|penetration of zona pellucida|negative regulation of cell proliferation|glycoprotein biosynthetic process|oligosaccharide biosynthetic process|extracellular matrix organization|mammary gland development|wound healing|regulation of cell proliferation|positive regulation of apoptotic process|development of secondary sexual characteristics|branching morphogenesis of an epithelial tube|leukocyte migration|regulation of cellular component movement|regulation of acrosome reaction|positive regulation of epithelial cell proliferation involved in wound healing|angiogenesis involved in wound healing|positive regulation of apoptotic process involved in mammary gland involution|","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity|N-acetyllactosamine synthase activity|lactose synthase activity|protein binding|cytoskeletal protein binding|galactosyltransferase activity|protein kinase binding|manganese ion binding|UDP-galactosyltransferase activity|protein homodimerization activity|alpha-tubulin binding|beta-tubulin binding|",3,5,4.05e+09,"9.5%"
"2873","P98063",6.19615e-06,-0.329,65.4706045,1.915666667,2.83752e-07,20.68621694,-1.1045,-1.447,-1.309,0.665,0.604,0.6175,"P98063","Bmp1","P98063_Bmp1","P98063","Bmp1",1,3,3,3,"P98063","MOUSE",113889.4,3.1,2602,2602.1,26.43,26.43,NA,991,"Bone morphogenetic protein 1","proteinaceous extracellular matrix|extracellular space|Golgi apparatus|membrane-bounded vesicle|","ossification|proteolysis|cell differentiation|cartilage development|positive regulation of cartilage development|","metalloendopeptidase activity|cytokine activity|calcium ion binding|protein binding|growth factor activity|peptidase activity|zinc ion binding|",3,3,1.55e+08,"3.1%"
"2993","Q9D074-5",0.000161052,-0.275833333,45.90104182,1.913333333,2.56978e-05,10.2786176,-0.9765,-1.043,-1.678,0.718,0.565,0.7595,"Q9D074","Mgrn1","Q9D074-5_Mgrn1","Q9D074-5","Mgrn1",1,5,2,2,"Q9D074-5|Q9D074-4|Q9D074-3|Q9D074-2|Q9D074|A2AAN9|Q3TEL6-2|Q3TEL6|A2AAP0","MOUSE",64194.7,3.9,2723,2723.1,23.8,23.8,NA,532,"Isoform 5 of E3 ubiquitin-protein ligase MGRN1","nucleus|cytoplasm|early endosome|plasma membrane|membrane|extracellular exosome|","protein polyubiquitination|protein monoubiquitination|endosome to lysosome transport|negative regulation of cAMP-mediated signaling|negative regulation of G-protein coupled receptor protein signaling pathway|","ubiquitin-protein transferase activity|zinc ion binding|ligase activity|ubiquitin protein ligase activity|",2,5,2.48e+08,"3.9%"
"469","P27046",5.62539e-06,-0.313166667,66.79837015,1.912,2.09008e-07,21.67494394,-1.1845,-1.181,-1.442,0.631,0.714,0.5835,"P27046","Man2a1","P27046_Man2a1","P27046","Man2a1",1,54,23,23,"P27046","MOUSE",132370.8,25.5,355,355.1,285.14,285.14,NA,1150,"Alpha-mannosidase 2","Golgi membrane|Golgi apparatus|cis-Golgi network|membrane|integral component of membrane|extracellular exosome|","in utero embryonic development|liver development|mannose metabolic process|N-glycan processing|mitochondrion organization|vacuole organization|respiratory gaseous exchange|lung alveolus development|positive regulation of neurogenesis|retina morphogenesis in camera-type eye|","mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity|zinc ion binding|mannosidase activity|hydrolase activity, hydrolyzing N-glycosyl compounds|carbohydrate binding|",23,54,9.7e+09,"25.5%"
"120","B2RXS4",4.92039e-06,-0.300666667,68.15156465,1.908333333,1.53054e-07,22.66363967,-1.1405,-1.213,-1.411,0.616,0.724,0.6205,"B2RXS4","Plxnb2","B2RXS4_Plxnb2","B2RXS4","Plxnb2",1,137,48,48,"B2RXS4","MOUSE",209079.3,34,85,85.1,610.21,610.21,NA,1842,"Plexin-B2","integral component of plasma membrane|cell surface|extracellular exosome|","neural tube closure|regulation of protein phosphorylation|neuroblast proliferation|brain development|regulation of cell shape|regulation of GTPase activity|positive regulation of axonogenesis|semaphorin-plexin signaling pathway|regulation of neuron migration|","protein binding|semaphorin receptor activity|",48,137,9.42e+10,"34.0%"
"2657","P63005",2.12145e-05,-0.173,56.66171935,1.908333333,2.15689e-06,15.14861028,-1.0125,-1.025,-1.344,0.872,0.576,0.8955,"P63005","Pafah1b1","P63005_Pafah1b1","P63005","Pafah1b1",1,7,3,3,"P63005|P63005-2","MOUSE",47239.7,10,2386,2386.1,32.79,32.79,NA,410,"Platelet-activating factor acetylhydrolase IB subunit alpha","astral microtubule|kinetochore|nuclear envelope|cytoplasm|centrosome|cytosol|kinesin complex|microtubule associated complex|cell cortex|microtubule cytoskeleton|axon|growth cone|motile primary cilium|nuclear membrane|neuronal cell body|perinuclear region of cytoplasm|extracellular exosome|microtubule cytoskeleton|cell leading edge|","establishment of mitotic spindle orientation|microtubule cytoskeleton organization|ameboidal-type cell migration|acrosome assembly|neuron migration|positive regulation of cytokine-mediated signaling pathway|microtubule-based process|mitotic nuclear division|nuclear migration|synaptic transmission|neuroblast proliferation|learning or memory|retrograde axon cargo transport|adult locomotory behavior|protein secretion|negative regulation of neuron projection development|lipid catabolic process|cell migration|stem cell division|transmission of nerve impulse|corpus callosum morphogenesis|hippocampus development|layer formation in cerebral cortex|cerebral cortex neuron differentiation|cerebral cortex development|actin cytoskeleton organization|microtubule organizing center organization|osteoclast development|positive regulation of embryonic development|establishment of planar polarity of embryonic epithelium|regulation of GTPase activity|cortical microtubule organization|positive regulation of axon extension|positive regulation of mitotic cell cycle|negative regulation of JNK cascade|vesicle transport along microtubule|brain morphogenesis|neuromuscular process controlling balance|nuclear envelope disassembly|positive regulation of cellular component organization|establishment of centrosome localization|auditory receptor cell development|positive regulation of dendritic spine morphogenesis|regulation of microtubule cytoskeleton organization|cochlea development|microtubule cytoskeleton organization involved in establishment of planar polarity|","protein binding|microtubule binding|protein homodimerization activity|dynein binding|dynein intermediate chain binding|phosphoprotein binding|",3,7,6.14e+10,"10.0%"
"2096","P62342",1.38496e-05,-0.258,59.5671544,1.907,1.1048e-06,16.79498413,-1.1295,-1.063,-1.442,0.611,0.661,0.8145,"P62342","Selenot","P62342_Selenot","P62342","Selenot",1,16,5,5,"P62342","MOUSE",22449.2,22.5,1829,1829.1,58.08,58.08,NA,195,"Thioredoxin reductase-like selenoprotein T","endoplasmic reticulum|","response to glucose|pancreas development|insulin secretion involved in cellular response to glucose stimulus|glucose homeostasis|cell redox homeostasis|","selenium binding|",5,16,1.56e+10,"22.5%"
"645","Q8VC60",9.50554e-06,-0.2965,62.36267192,1.903333333,5.80407e-07,18.54018043,-1.1475,-1.128,-1.469,0.618,0.621,0.7265,"Q8VC60","Glb1l","Q8VC60_Glb1l","Q8VC60","Glb1l",1,15,8,7,"Q8VC60|Q8VC60-2","MOUSE",73505.7,17,494,494.2,92.25,82.79,NA,646,"Beta-galactosidase-1-like protein","extracellular region|","carbohydrate metabolic process|","beta-galactosidase activity|",7,15,4.21e+09,"15.1%"
"2510","Q8K4T1",0.000111796,-0.224333333,47.78661494,1.899666667,1.66471e-05,11.01094988,-0.8405,-1.154,-1.528,0.804,0.572,0.8005,"Q8K4T1","St8sia6","Q8K4T1_St8sia6","Q8K4T1","St8sia6",1,6,5,5,"Q8K4T1","MOUSE",45998,16.3,2238,2238.1,37.37,37.37,NA,398,"Alpha-2,8-sialyltransferase 8F","integral component of Golgi membrane|","ganglioside biosynthetic process|protein O-linked glycosylation|glycoprotein metabolic process|glycolipid biosynthetic process|oligosaccharide metabolic process|carbohydrate biosynthetic process|sialylation|","sialyltransferase activity|",5,6,4.42e+08,"16.3%"
"3455","E9Q0Y4",0.000100329,-0.118,48.41051522,1.897666667,1.44194e-05,11.26347399,-1.0055,-1.009,-1.186,0.806,1.187,0.4995,"E9Q0Y4","Sipa1","E9Q0Y4_Sipa1","E9Q0Y4","Sipa1",1,6,2,2,"E9Q0Y4|P46062","MOUSE",112964,3.5,3437,3437.1,12.62,12.62,NA,1038,"Signal-induced proliferation-associated protein 1","nucleus|nucleolus|Golgi apparatus|plasma membrane|transport vesicle|protein complex|","cellular response to water deprivation|positive regulation of GTPase activity|regulation of small GTPase mediated signal transduction|regulation of cell cycle|","GTPase activator activity|protein C-terminus binding|",2,6,2.88e+10,"3.5%"
"2741","F8WJ05",1.83516e-05,-0.237333333,57.71755155,1.894333333,1.69139e-06,15.72822719,-1.3145,-1.262,-0.977,0.859,0.738,0.5325,"F8WJ05","Itih1","F8WJ05_Itih1","F8WJ05","Itih1",1,2,2,2,"F8WJ05|Q61702","MOUSE",102089.1,4.7,2471,2471.1,30.39,30.39,NA,911,"Inter-alpha-trypsin inhibitor heavy chain H1","extracellular exosome|blood microparticle|","negative regulation of endopeptidase activity|hyaluronan metabolic process|","serine-type endopeptidase inhibitor activity|",2,2,27800000,"4.7%"
"1297","P54818",6.02967e-06,-0.296166667,65.99289901,1.890666667,2.516e-07,21.06978914,-1.2025,-1.141,-1.381,0.596,0.778,0.5735,"P54818","Galc","P54818_Galc","P54818","Galc",1,25,10,10,"P54818","MOUSE",77483.2,14.9,1071,1071.1,124.97,124.97,NA,684,"Galactocerebrosidase","mitochondrion|lysosome|extracellular exosome|","carbohydrate metabolic process|galactosylceramide catabolic process|","galactosylceramidase activity|",10,25,8.14e+09,"14.9%"
"1717","P39098",7.12606e-06,-0.244333333,64.49683921,1.890333333,3.55072e-07,19.9891417,-1.0915,-1.245,-1.232,0.777,0.518,0.8075,"P39098","Man1a2","P39098_Man1a2","P39098","Man1a2",1,11,7,7,"P39098|P39098-2|A0A0G2JGT9","MOUSE",73098.3,12.3,1470,1470.1,83.98,83.98,NA,641,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","Golgi membrane|endoplasmic reticulum|Golgi apparatus|membrane|integral component of membrane|extracellular exosome|","N-glycan processing|respiratory gaseous exchange|glycoprotein metabolic process|lung alveolus development|","mannosyl-oligosaccharide 1,2-alpha-mannosidase activity|calcium ion binding|",7,11,2.3e+09,"12.3%"
"1730","Q61001",3.83205e-05,-0.1825,53.33783139,1.89,4.63678e-06,13.45321661,-1.0805,-0.927,-1.375,0.751,0.583,0.9535,"Q61001","Lama5","Q61001_Lama5","Q61001","Lama5",1,19,10,10,"Q61001","MOUSE",416427.3,3.6,1483,1483.1,82.52,82.52,NA,3718,"Laminin subunit alpha-5","extracellular region|proteinaceous extracellular matrix|basement membrane|basal lamina|laminin-5 complex|extracellular space|nucleus|extracellular matrix|laminin-10 complex|extracellular exosome|extracellular matrix|","branching involved in ureteric bud morphogenesis|morphogenesis of a polarized epithelium|neural crest cell migration|hair follicle development|integrin-mediated signaling pathway|muscle organ development|organ morphogenesis|morphogenesis of embryonic epithelium|cell migration|regulation of cell adhesion|lung development|regulation of cell migration|substrate adhesion-dependent cell spreading|regulation of cell proliferation|cilium assembly|odontogenesis of dentin-containing tooth|regulation of embryonic development|branching morphogenesis of an epithelial tube|branching involved in salivary gland morphogenesis|establishment of protein localization to plasma membrane|","integrin binding|protein binding|",10,19,6.42e+08,"3.6%"
"826","Q8BGD9",2.13739e-05,-0.238833333,56.5924589,1.889333333,2.19156e-06,15.11130774,-1.0525,-1.055,-1.443,0.848,0.622,0.6475,"Q8BGD9","Eif4b","Q8BGD9_Eif4b","Q8BGD9","Eif4b",1,40,18,18,"Q8BGD9","MOUSE",69009.9,27.8,659,659.1,195.88,195.88,NA,611,"Eukaryotic translation initiation factor 4B","","translational initiation|","nucleotide binding|translation initiation factor activity|poly(A) RNA binding|",18,40,6.21e+09,"27.8%"
"1047","Q9WV54",2.5176e-06,-0.237,74.37685901,1.887666667,3.65018e-08,27.7338437,-1.2075,-1.147,-1.188,0.769,0.591,0.7605,"Q9WV54","Asah1","Q9WV54_Asah1","Q9WV54","Asah1",1,24,14,14,"Q9WV54","MOUSE",45068.1,30.9,860,860.1,156.4,156.4,NA,394,"Acid ceramidase","lysosome|extracellular exosome|","lipid metabolic process|","ceramidase activity|",14,24,9.66e+09,"30.9%"
"2161","G3X9Z5",1.85509e-05,-0.234333333,57.63152765,1.879666667,1.72523e-06,15.68022343,-0.9945,-1.141,-1.387,0.693,0.57,0.8535,"G3X9Z5","Serpina1f","G3X9Z5_Serpina1f","G3X9Z5","Serpina1f",1,14,5,5,"G3X9Z5|E9PUC6|Q9DCQ7|Q9DCQ7-2","MOUSE",46862.5,15.3,1892,1892.1,54.51,54.51,NA,411,"Alpha-1-antitrypsin 1-6","extracellular space|","negative regulation of endopeptidase activity|","serine-type endopeptidase inhibitor activity|",5,14,7.38e+09,"15.3%"
"459","Q6ZQI3",1.43287e-05,-0.280333333,59.38683344,1.872333333,1.15164e-06,16.68801176,-0.9715,-1.291,-1.387,0.686,0.589,0.6925,"Q6ZQI3","Mlec","Q6ZQI3_Mlec","Q6ZQI3","Mlec",1,86,21,21,"Q6ZQI3","MOUSE",32512.6,56.3,346,346.1,289.53,289.53,NA,291,"Malectin","endoplasmic reticulum|endoplasmic reticulum membrane|membrane|integral component of membrane|","carbohydrate metabolic process|","enzyme binding|carbohydrate binding|",21,86,2.28e+11,"56.3%"
"1427","O88819",4.22954e-05,-0.1415,52.8385839,1.872,5.20166e-06,13.21456287,-0.8385,-1.217,-1.177,0.744,0.613,1.0265,"O88819","Fut9","O88819_Fut9","O88819","Fut9",1,14,7,7,"O88819","MOUSE",42553.7,35.6,1196,1196.1,108.64,108.64,NA,359,"Alpha-(1,3)-fucosyltransferase 9","integral component of membrane|Golgi cisterna membrane|","protein glycosylation|nervous system development|fucosylation|","alpha-(1->3)-fucosyltransferase activity|",7,14,1.77e+09,"35.6%"
"2687","Q9JHY4",0.000143493,-0.233666667,46.54583266,1.865666667,2.21522e-05,10.5239474,-1.1025,-0.845,-1.552,0.761,0.552,0.7845,"Q9JHY4","Wfdc15b","Q9JHY4_Wfdc15b","Q9JHY4","Wfdc15b",1,5,3,3,"Q9JHY4","MOUSE",9807.6,40,2416,2416.1,31.86,31.86,NA,80,"WAP four-disulfide core domain protein 15B","extracellular region|","negative regulation of peptidase activity|defense response to bacterium|","peptidase inhibitor activity|",3,5,1.7e+09,"40.0%"
"3285","Q6P9S7",1.9032e-05,-0.1445,57.42581158,1.863333333,1.80892e-06,15.56599391,-0.8865,-1.05,-1.292,0.938,0.686,0.7375,"Q6P9S7","Galnt10","Q6P9S7_Galnt10","Q6P9S7","Galnt10",1,2,2,2,"Q6P9S7","MOUSE",69856.5,2.9,3067,3067.1,17.21,17.21,NA,603,"Polypeptide N-acetylgalactosaminyltransferase 10","Golgi membrane|integral component of membrane|","protein O-linked glycosylation|O-glycan processing|","polypeptide N-acetylgalactosaminyltransferase activity|carbohydrate binding|metal ion binding|",2,2,5540000,"2.9%"
"1220","P70302",8.85255e-06,-0.187333333,62.92481542,1.859,5.09939e-07,18.9116525,-1.0585,-1.044,-1.248,0.912,0.618,0.6965,"P70302","Stim1","P70302_Stim1","P70302","Stim1",1,25,13,12,"A0A1B0GRA5|P70302|A0A1B0GR78","MOUSE",77850.5,17.5,1003,1003.1,134.96,119.45,NA,685,"Stromal interaction molecule 1","endoplasmic reticulum|microtubule|integral component of plasma membrane|integral component of endoplasmic reticulum membrane|cortical endoplasmic reticulum|protein complex|","store-operated calcium entry|detection of calcium ion|cation transport|myotube differentiation|activation of store-operated calcium channel activity|regulation of calcium ion transport|enamel mineralization|","protease binding|calcium channel regulator activity|calcium ion binding|protein binding|identical protein binding|microtubule plus-end binding|",13,25,5.87e+09,"17.5%"
"1113","P51655",0.000120163,-0.030666667,47.41476571,1.853,1.81352e-05,10.86290279,-0.8955,-0.834,-1.142,1.127,0.523,1.0375,"P51655","Gpc4","P51655_Gpc4","P51655","Gpc4",1,20,10,10,"P51655","MOUSE",63669.2,29.6,914,914.1,146.92,146.92,NA,557,"Glypican-4","proteinaceous extracellular matrix|extracellular space|nucleus|Golgi lumen|external side of plasma membrane|anchored component of membrane|extracellular exosome|","","heparan sulfate proteoglycan binding|",10,20,9.16e+09,"29.6%"
