id,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome.unique_peptides,Proteome.numSpectra,Proteome.totalIntensity,Proteome.pct_cov
Q9DAU1,5.28726E-06,-0.4455,67.43679798,3.058666667,1.80435E-07,22.16661009,-1.8965,-1.958,-2.07,1.257,0.768,1.2265,Q9DAU1,Cnpy3,Q9DAU1_Cnpy3,Q9DAU1,Cnpy3,1,34,7,7,Q9DAU1|Q9DAU1-2|B0V2V1,MOUSE,30936.7,27.5,1194,1194.1,108.81,108.81,,276,Protein canopy homolog 3,endoplasmic reticulum|,innate immune response|,receptor binding|,7,34,78800000000,27.5%
Q3U0I9,0.08695363,0.019333333,13.28986153,-0.162333333,0.046882833,-2.431154119,0.0255,0.203,0.073,-0.086,-0.014,-0.0855,Q3U0I9,NotFound,Q3U0I9_NotFound,Q3U0I9,Snx8,1,20,9,9,Q3U0I9|Q8CFD4|A0A0G2JDJ6,MOUSE,47456.9,25,1195,1195.1,108.75,108.75,,411,Sorting nexin-8,,,,10,20,3000000000,25.0%
O88819,4.22954E-05,-0.1415,52.8385839,1.872,5.20166E-06,13.21456287,-0.8385,-1.217,-1.177,0.744,0.613,1.0265,O88819,Fut9,O88819_Fut9,O88819,Fut9,1,14,7,7,O88819,MOUSE,42553.7,35.6,1196,1196.1,108.64,108.64,,359,"Alpha-(1,3)-fucosyltransferase 9",integral component of membrane|Golgi cisterna membrane|,protein glycosylation|nervous system development|fucosylation|,alpha-(1->3)-fucosyltransferase activity|,7,14,1770000000,35.6%
P67984,0.120076972,0.011,11.54962994,-0.121,0.069990163,-2.153684987,0.0095,0.123,0.082,-0.029,-0.059,-0.0605,P67984,Rpl22,P67984_Rpl22,P67984,Rpl22,1,26,9,9,P67984,MOUSE,14815.7,62.5,1197,1197.1,108.6,108.6,,128,60S ribosomal protein L22,nucleus|cytoplasm|ribosome|focal adhesion|cytosolic large ribosomal subunit|ribonucleoprotein complex|extracellular exosome|,translation|alpha-beta T cell differentiation|,structural constituent of ribosome|heparin binding|poly(A) RNA binding|,9,26,34700000000,62.5%
P35980,0.93238418,-0.012166667,0.430972544,-0.024,0.905529797,-0.123289194,-0.1265,-0.02,0.146,-0.474,0.278,0.1235,P35980,Rpl18,P35980_Rpl18,P35980,Rpl18,1,29,8,8,P35980|A0A1B0GQU8|A0A1B0GSF7|A0A1B0GSS8,MOUSE,21701.2,36.7,1198,1198.1,108.55,108.55,,188,60S ribosomal protein L18,nucleus|nucleolus|cytoplasm|focal adhesion|membrane|cytosolic large ribosomal subunit|,translation|,structural constituent of ribosome|,8,29,29300000000,36.7%
Q9QZQ8,0.338315805,0.0435,5.934537066,0.17,0.255003589,1.245886688,-0.1725,0.009,0.039,0.403,-0.114,0.0965,Q9QZQ8,H2afy,Q9QZQ8_H2afy,Q9QZQ8,H2afy,1,15,8,6,Q9QZQ8|Q9QZQ8-2,MOUSE,39905.6,25.5,1199,1199.1,108.48,78.3,,372,Core histone macro-H2A.1,nuclear chromosome|nucleosome|nuclear chromatin|condensed chromosome|Barr body|nucleus|nucleoplasm|pericentric heterochromatin|nucleolus|centrosome|extracellular exosome|ESC/E(Z) complex|,"negative regulation of transcription from RNA polymerase II promoter|nucleosome assembly|dosage compensation|chromatin modification|regulation of lipid metabolic process|negative regulation of histone phosphorylation|regulation of gene expression, epigenetic|positive regulation of keratinocyte differentiation|negative regulation of gene expression, epigenetic|positive regulation of gene expression, epigenetic|negative regulation of histone H3-K4 methylation|negative regulation of histone H3-K27 methylation|establishment of protein localization to chromatin|negative regulation of protein serine/threonine kinase activity|negative regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter|negative regulation of cell cycle G2/M phase transition|",rDNA binding|RNA polymerase II regulatory region sequence-specific DNA binding|RNA polymerase II core promoter sequence-specific DNA binding|core promoter sequence-specific DNA binding|chromatin binding|double-stranded methylated DNA binding|protein kinase binding|protein serine/threonine kinase inhibitor activity|chromatin DNA binding|nucleosomal DNA binding|transcription regulatory region DNA binding|protein heterodimerization activity|,8,15,9640000000,25.5%
Q8CCK0,0.291258763,0.13,6.73916787,0.175,0.211876706,1.381437336,-0.0335,0.138,0.023,0.438,-0.047,0.2615,Q8CCK0,H2afy2,Q8CCK0_H2afy2,Q8CCK0,H2afy2,1,3,5,3,Q8CCK0,MOUSE,40319.7,17.2,1199,1199.2,57.35,27.17,,372,Core histone macro-H2A.2,nucleosome|nuclear chromatin|Barr body|nucleus|nucleoplasm|extracellular exosome|ESC/E(Z) complex|,"negative regulation of transcription from RNA polymerase II promoter|nucleosome assembly|brain development|dosage compensation|chromatin modification|positive regulation of keratinocyte differentiation|negative regulation of gene expression, epigenetic|establishment of protein localization to chromatin|negative regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter|",RNA polymerase II regulatory region sequence-specific DNA binding|chromatin DNA binding|transcription regulatory region DNA binding|protein heterodimerization activity|,3,3,68000000,10.2%
Q5SSE9,7.38181E-05,-0.0485,50.04963753,1.298666667,9.88636E-06,11.95235281,-0.7295,-0.643,-0.721,0.411,0.828,0.5635,Q5SSE9,Abca13,Q5SSE9_Abca13,Q5SSE9,Abca13,1,13,9,9,Q5SSE9|Q5SSE9-2|Q5SSE9-3,MOUSE,573565.2,2.9,1200,1200.1,108.43,108.43,,5034,ATP-binding cassette sub-family A member 13,integral component of plasma membrane|intracellular membrane-bounded organelle|,metabolic process|cholesterol efflux|phospholipid efflux|transmembrane transport|,"ATP binding|phospholipid transporter activity|cholesterol transporter activity|ATPase activity, coupled to transmembrane movement of substances|",9,13,1120000000,2.9%
Q3U4I7,0.010497338,0.044166667,24.72225651,-0.44,0.003371121,-4.454799732,0.3395,0.096,0.357,-0.286,-0.042,-0.1995,Q3U4I7,Pyroxd2,Q3U4I7_Pyroxd2,Q3U4I7,Pyroxd2,1,22,9,9,Q3U4I7,MOUSE,63509.5,16,1201,1201.1,108.24,108.24,,581,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2,,oxidation-reduction process|,oxidoreductase activity|,9,22,6300000000,16.0%
Q9DBE0,0.258177751,-0.0315,7.407374363,0.228,0.181661361,1.491949075,0.0985,-0.13,-0.405,0.024,0.307,-0.0835,Q9DBE0,Csad,Q9DBE0_Csad,Q9DBE0,Csad,1,20,8,8,Q9DBE0,MOUSE,55771.1,22.1,1202,1202.1,108.01,108.01,,493,Cysteine sulfinic acid decarboxylase,,L-cysteine catabolic process to taurine|taurine metabolic process|taurine biosynthetic process|,sulfinoalanine decarboxylase activity|carboxy-lyase activity|pyridoxal phosphate binding|,8,20,3450000000,22.1%
Q8CFE4,0.935777203,0.017666667,0.40876195,0.007,0.9101727,0.117154478,0.0605,0.042,-0.06,-0.023,0.048,0.0385,Q8CFE4,Scyl2,Q8CFE4_Scyl2,Q8CFE4,Scyl2,1,24,9,9,Q8CFE4|G5E8J9,MOUSE,104000,10.3,1203,1203.1,107.96,107.96,,930,SCY1-like protein 2,Golgi apparatus|endosome membrane|clathrin-coated vesicle|perinuclear region of cytoplasm|,positive regulation of receptor internalization|protein phosphorylation|endosome to lysosome transport|negative regulation of canonical Wnt signaling pathway|receptor internalization involved in canonical Wnt signaling pathway|positive regulation of clathrin-mediated endocytosis|,protein kinase activity|receptor binding|protein binding|ATP binding|,9,24,9310000000,10.3%
Q68FH4,0.138871986,-0.013,10.76159587,0.139666667,0.083915157,2.028536983,-0.1675,-0.074,-0.007,0.04,0.135,-0.0045,Q68FH4,Galk2,Q68FH4_Galk2,Q68FH4,Galk2,1,18,10,10,Q68FH4|Q8BUU7,MOUSE,51472.3,29.9,1204,1204.1,107.92,107.92,,458,N-acetylgalactosamine kinase,cytoplasm|,galactose metabolic process|carbohydrate phosphorylation|,galactokinase activity|ATP binding|N-acetylgalactosamine kinase activity|,10,18,7680000000,29.9%
Q8CGP2-2,0.514013719,0.002666667,3.706651445,-0.142333333,0.42592669,-0.848088676,-0.2495,0.24,0.231,0.175,-0.263,-0.1175,Q8CGP2,Hist1h2bp,Q8CGP2-2_Hist1h2bp,Q8CGP2-2,Hist1h2bp,1,36,8,8,Q8CGP2-2|Q8CBB6|Q8CGP2|Q64475|P10853|P10854|Q64478|Q64525|Q8CGP1|Q6ZWY9|Q9D2U9|Q64524|Q8CGP0|P70696,MOUSE,15564.9,45.6,1205,1205.1,107.83,107.83,,126,Isoform 2 of Histone H2B type 1-P,nuclear nucleosome|nucleus|nucleoplasm|,nucleosome assembly|,DNA binding|protein heterodimerization activity|,8,36,2.54E+11,45.6%
Q99LB7,0.223158986,0.023166667,8.183178641,-0.199333333,0.151943503,-1.618513816,0.3075,0.042,0.019,-0.192,0.148,-0.1855,Q99LB7,Sardh,Q99LB7_Sardh,Q99LB7,Sardh,1,18,8,8,Q99LB7,MOUSE,102707.4,9.7,1206,1206.1,107.76,107.76,,919,"Sarcosine dehydrogenase, mitochondrial",mitochondrion|mitochondrial matrix|,tetrahydrofolate interconversion|oxidation-reduction process|,folic acid binding|sarcosine dehydrogenase activity|flavin adenine dinucleotide binding|,8,18,1770000000,9.7%
P52760,0.000473177,-0.028,40.40129822,-1.044333333,9.11738E-05,-8.382864146,0.7075,0.491,0.284,-0.391,-0.592,-0.6675,P52760,Rida,P52760_Rida,P52760,Rida,1,17,8,8,P52760,MOUSE,14312.2,65.1,1207,1207.1,107.68,107.68,,135,2-iminobutanoate/2-iminopropanoate deaminase,nucleus|mitochondrion|peroxisome|cytosol|extracellular exosome|,"kidney development|brain development|negative regulation of translation|lung development|response to lipid|negative regulation of epithelial cell proliferation|G1 to G0 transition|RNA phosphodiester bond hydrolysis, endonucleolytic|response to salt|","endoribonuclease activity, producing 3'-phosphomonoesters|deaminase activity|long-chain fatty acid binding|protein homodimerization activity|poly(A) RNA binding|transition metal ion binding|platinum binding|xenon atom binding|",8,17,3060000000,65.1%
Q99KD5,0.125082569,0.0115,11.32796844,-0.122,0.073655156,-2.118474377,0.0905,0.114,0.013,-0.079,-0.066,-0.0035,Q99KD5,Unc45a,Q99KD5_Unc45a,Q99KD5,Unc45a,1,17,10,10,Q99KD5|D6RIN1,MOUSE,104643.5,12.6,1208,1208.1,107.59,107.59,,944,Protein unc-45 homolog A,nucleoplasm|cytoplasm|Golgi apparatus|perinuclear region of cytoplasm|,muscle organ development|cell differentiation|chaperone-mediated protein folding|,protein binding|Hsp90 protein binding|,10,17,2890000000,12.6%
P10639,0.016456195,0.001166667,22.28035712,0.428,0.00591513,3.983208723,-0.0165,-0.327,-0.295,0.234,0.079,0.3325,P10639,Txn1,P10639_Txn1,P10639,Txn,1,28,8,8,P10639,MOUSE,12017.6,52.3,1209,1209.1,107.55,107.55,,105,Thioredoxin,nucleus|cytoplasm|mitochondrion|cytosol|extracellular exosome|,"sulfate assimilation|negative regulation of transcription from RNA polymerase II promoter|transcription, DNA-templated|protein folding|glycerol ether metabolic process|response to radiation|positive regulation of peptidyl-serine phosphorylation|regulation of protein import into nucleus, translocation|cellular response to oxidative stress|positive regulation of DNA binding|cell redox homeostasis|negative regulation of protein export from nucleus|oxidation-reduction process|negative regulation of hydrogen peroxide-induced cell death|","protein binding|protein disulfide oxidoreductase activity|peptide disulfide oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor|poly(A) RNA binding|",8,28,63100000000,52.3%
Q3U3K9,0.342685458,0.006,5.870513533,-0.076333333,0.258790689,-1.23385517,0.0445,0.067,0.021,-0.027,-0.115,0.0455,Q3U3K9,Aup1,Q3U3K9_Aup1,Q3U3K9,Aup1,1,23,9,9,Q3U3K9|P70295,MOUSE,49749.5,22.7,1210,1210.1,107.5,107.5,,439,Ancient ubiquitous protein 1,cytoplasm|membrane|extracellular exosome|,"retrograde protein transport, ER to cytosol|","transferase activity, transferring acyl groups|",9,23,6680000000,22.7%
A2AQR0,0.72729034,-0.011333333,1.809751546,-0.050333333,0.659211607,-0.461467005,0.0995,0.17,-0.228,0.01,-0.037,-0.0825,A2AQR0,NotFound,A2AQR0_NotFound,A2AQR0,Gpd2,1,14,9,9,A2AQR0|Q64521,MOUSE,83398.7,19.4,1211,1211.1,107.46,107.46,,745,Glycerol-3-phosphate dehydrogenase,mitochondrion|mitochondrial inner membrane|glycerol-3-phosphate dehydrogenase complex|,glycerol-3-phosphate metabolic process|gluconeogenesis|multicellular organism growth|camera-type eye development|oxidation-reduction process|,calcium ion binding|sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity|,9,14,934000000,19.4%
Q7TQI3,0.038287193,0.018333333,17.77400314,-0.197666667,0.01669551,-3.168250823,0.0595,0.204,0.088,-0.061,-0.056,-0.1245,Q7TQI3,Otub1,Q7TQI3_Otub1,Q7TQI3,Otub1,1,21,8,8,Q7TQI3|D3YWF6,MOUSE,31497.7,30.6,1212,1212.1,107.43,107.43,,271,Ubiquitin thioesterase OTUB1,nucleus|cytoplasm|extracellular exosome|,immune system process|DNA repair|cellular response to DNA damage stimulus|protein K48-linked deubiquitination|cellular response to interleukin-1|negative regulation of histone H2A K63-linked ubiquitination|negative regulation of double-strand break repair|,ubiquitin-specific protease activity|NEDD8-specific protease activity|ubiquitin protein ligase binding|ubiquitin binding|,8,21,13300000000,30.6%
C0HKG5,7.93827E-06,-0.203166667,63.73618438,1.948666667,4.2304E-07,19.46054732,-1.2125,-1.037,-1.283,0.843,0.601,0.8695,C0HKG5,Rnaset2b,C0HKG5_Rnaset2b,C0HKG5,Rnaset2a,1,31,7,7,C0HKG5,MOUSE,30178.8,26.2,1213,1213.1,107.3,107.3,,259,Ribonuclease T2-A,,,,7,31,63900000000,26.2%
Q9WUQ2,0.959608224,0.010666667,0.254767328,-0.004333333,0.943025132,-0.074191061,0.0115,0.07,-0.043,0.006,0.051,-0.0315,Q9WUQ2,Preb,Q9WUQ2_Preb,Q9WUQ2,Preb,1,15,8,8,Q9WUQ2|D3Z3S1,MOUSE,46007.1,31.8,1214,1214.1,107.13,107.13,,417,Prolactin regulatory element-binding protein,nucleus|endoplasmic reticulum|membrane|integral component of membrane|,"transcription, DNA-templated|regulation of transcription, DNA-templated|protein transport|vesicle-mediated transport|",DNA binding|sequence-specific DNA binding transcription factor activity|,8,15,2770000000,31.8%
E9Q4P1,0.174359103,-0.175333333,9.539574751,0.626333333,0.111184059,1.836838067,-0.1365,0.021,-1.35,0.135,0.2,0.0785,E9Q4P1,Wdfy1,E9Q4P1_Wdfy1,E9Q4P1,Wdfy1,1,12,8,8,E9Q4P1|Q9DAD3|A0A087WPX9,MOUSE,47243.8,22.4,1215,1215.1,107.08,107.08,,410,WD repeat and FYVE domain-containing protein 1,nucleus|early endosome|cytosol|,,1-phosphatidylinositol binding|metal ion binding|,8,12,1610000000,22.4%
Q3U9G9,0.008697502,-0.042833333,25.72207491,0.337333333,0.002677889,4.637211792,-0.2705,-0.194,-0.17,0.003,0.204,0.1705,Q3U9G9,Lbr,Q3U9G9_Lbr,Q3U9G9,Lbr,1,17,9,9,Q3U9G9,MOUSE,72009.4,14.2,1216,1216.1,107.08,107.08,,626,Lamin-B receptor,nuclear envelope|nuclear inner membrane|nuclear lamina|membrane|integral component of membrane|nuclear membrane|,oxidation-reduction process|,"DNA binding|oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor|poly(A) RNA binding|chromo shadow domain binding|",9,17,7400000000,14.2%
Q8K4Z3,0.031247692,0.01,18.85893923,0.205,0.013004872,3.35418604,-0.1675,-0.036,-0.074,0.129,0.146,0.0625,Q8K4Z3,Naxe,Q8K4Z3_Naxe,Q8K4Z3,Naxe,1,26,8,8,Q8K4Z3,MOUSE,31314.6,28,1217,1217.1,107.05,107.05,,282,NAD(P)H-hydrate epimerase,extracellular region|extracellular space|nucleus|nucleoplasm|cytoplasm|mitochondrion|cytosol|cilium|intracellular membrane-bounded organelle|cell body|extracellular exosome|,NADH metabolic process|NADP metabolic process|protein homotetramerization|,nucleotide binding|protein homodimerization activity|metal ion binding|NADHX epimerase activity|NADPHX epimerase activity|,8,26,10900000000,28.0%
Q9CRB8,0.218007656,0.018333333,8.314098787,-0.097666667,0.147431445,-1.63766097,0.0215,0.125,0.055,-0.085,-0.028,0.0215,Q9CRB8,Mtfp1,Q9CRB8_Mtfp1,Q9CRB8,Mtfp1,1,18,8,8,Q9CRB8,MOUSE,18370.8,46.3,1218,1218.1,107.04,107.04,,166,Mitochondrial fission process protein 1,mitochondrion|mitochondrial inner membrane|integral component of membrane|,mitochondrial fission|apoptotic process|mitochondrial membrane organization|,,8,18,11100000000,46.3%
Q8C0D5,0.035012953,0.015166667,18.27264614,0.192,0.014884539,3.253258942,-0.1015,-0.05,-0.091,0.175,0.041,0.1175,Q8C0D5,Efl1,Q8C0D5_Efl1,Q8C0D5,Efl1,1,12,9,9,Q8C0D5,MOUSE,127201.1,10.9,1219,1219.1,106.99,106.99,,1127,Elongation factor-like GTPase 1,,translational elongation|mature ribosome assembly|,translation elongation factor activity|GTPase activity|GTP binding|ribosome binding|,9,12,1380000000,10.9%
Q6PDJ1,0.000248484,-0.405833333,43.7664315,2.267333333,4.20104E-05,9.502430166,-1.4475,-1.077,-2.094,0.702,0.664,0.8175,Q6PDJ1,Cachd1,Q6PDJ1_Cachd1,Q6PDJ1,Cachd1,1,16,9,9,Q6PDJ1|Q6PDJ1-2|Z4YK18,MOUSE,145978,7.7,1220,1220.1,106.78,106.78,,1288,VWFA and cache domain-containing protein 1,integral component of membrane|,calcium ion transport|,,9,16,870000000,7.7%
Q80SU7,0.042171989,0.0695,17.20486634,-0.569333333,0.019033268,-3.081023584,0.3725,0.035,0.655,-0.5,-0.1,-0.0455,Q80SU7,Gm4070,Q80SU7_Gm4070,Q80SU7,Gvin1,1,13,9,9,Q80SU7|L7N451|H3BL64,MOUSE,283433.9,4.8,1221,1221.1,106.61,106.61,,2427,Interferon-induced very large GTPase 1,nucleus|cytosol|,,GTP binding|,9,13,2050000000,4.8%
Q9CZU6,0.9228172,0.015,0.489955234,0.007666667,0.893314692,0.139291795,0.0205,0.034,-0.021,0.024,-0.03,0.0625,Q9CZU6,Cs,Q9CZU6_Cs,Q9CZU6,Cs,1,22,8,8,Q9CZU6|Q80X68,MOUSE,52021,16.3,1222,1222.1,106.44,106.44,,464,"Citrate synthase, mitochondrial",nucleus|mitochondrion|mitochondrial matrix|extracellular exosome|,carbohydrate metabolic process|tricarboxylic acid cycle|cellular carbohydrate metabolic process|,"citrate (Si)-synthase activity|poly(A) RNA binding|transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer|",8,22,1.66E+11,16.3%
Q9Z160,0.161738254,0.0105,9.943077039,-0.147333333,0.101319327,-1.89951701,0.0415,0.224,-0.013,-0.006,-0.103,-0.0805,Q9Z160,Cog1,Q9Z160_Cog1,Q9Z160,Cog1,1,16,8,8,Q9Z160|Q810S7,MOUSE,110360.4,11.1,1223,1223.1,106.39,106.39,,980,Conserved oligomeric Golgi complex subunit 1,Golgi membrane|Golgi apparatus|Golgi transport complex|,protein transport|,,8,16,2500000000,11.1%
P14206,0.439639958,0.006666667,4.546893333,-0.069666667,0.351002869,-1.002345409,-0.0365,0.16,0.001,0.004,-0.025,-0.0635,P14206,Rpsa,P14206_Rpsa,P14206,Rpsa,1,17,8,8,P14206|A0A1L1SUK3,MOUSE,32951.6,38.3,1224,1224.1,106.3,106.3,,295,40S ribosomal protein SA,basement membrane|nucleus|cytoplasm|plasma membrane|small ribosomal subunit|membrane|cytosolic small ribosomal subunit|90S preribosome|neuronal cell body|extracellular exosome|,"ribosomal small subunit assembly|endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|rRNA export from nucleus|translation|single organismal cell-cell adhesion|epithelial cell differentiation|",structural constituent of ribosome|laminin receptor activity|ribosome binding|laminin binding|poly(A) RNA binding|,8,17,5600000000,38.3%
Q9CZU3,0.094607258,0.016166667,12.83147531,-0.143333333,0.052101769,-2.357812303,0.0755,0.048,0.14,-0.12,0.008,-0.0545,Q9CZU3,Mtrex,Q9CZU3_Mtrex,Q9CZU3,Skiv2l2,1,15,10,10,Q9CZU3,MOUSE,118661.3,11.6,1225,1225.1,106.29,106.29,,1040,Superkiller viralicidic activity 2-like 2,nucleus|nucleoplasm|nucleolus|catalytic step 2 spliceosome|exosome (RNase complex)|,maturation of 5.8S rRNA|mRNA processing|RNA catabolic process|RNA splicing|,RNA helicase activity|ATP binding|poly(A) RNA binding|,10,15,20600000000,11.6%
F8VQF9,0.010472987,0.015,24.7440438,-0.307,0.003354251,-4.438792438,0.0715,0.226,0.208,-0.165,-0.061,-0.1895,F8VQF9,Trappc10,F8VQF9_Trappc10,F8VQF9,Trappc10,1,16,11,11,F8VQF9|Q3TLI0,MOUSE,143202.3,10.7,1226,1226.1,106.25,106.25,,1258,Trafficking protein particle complex subunit 10,TRAPPII protein complex|,intra-Golgi vesicle-mediated transport|early endosome to Golgi transport|,,11,16,2020000000,10.7%
Q8BKZ9,0.422297704,0.013166667,4.77844903,-0.078,0.332778375,-1.044013254,0.0605,0.01,0.086,-0.056,0.106,-0.1275,Q8BKZ9,Pdhx,Q8BKZ9_Pdhx,Q8BKZ9,Pdhx,1,24,9,9,Q8BKZ9|A2AWH8,MOUSE,54283.3,20.5,1227,1227.1,106.24,106.24,,501,"Pyruvate dehydrogenase protein X component, mitochondrial",mitochondrion|mitochondrial matrix|pyruvate dehydrogenase complex|,metabolic process|,"transferase activity, transferring acyl groups|",9,24,8290000000,20.5%
Q9DCJ5,0.810297399,-0.000166667,1.18451315,0.022666667,0.761287476,0.316460062,-0.0035,0.099,-0.13,0.029,0.014,-0.0095,Q9DCJ5,Ndufa8,Q9DCJ5_Ndufa8,Q9DCJ5,Ndufa8,1,32,10,10,Q9DCJ5,MOUSE,20448.1,49.4,1228,1228.1,106.11,106.11,,172,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,mitochondrion|mitochondrial inner membrane|mitochondrial respiratory chain complex I|mitochondrial intermembrane space|,oxidation-reduction process|,protein complex binding|,10,32,6680000000,49.4%
Q3UER8,0.003991633,0.053833333,29.79434265,0.638,0.001048493,5.53504916,-0.1585,-0.403,-0.234,0.538,0.156,0.4245,Q3UER8,Fgg,Q3UER8_Fgg,Q3UER8,Fgg,1,22,9,9,Q3UER8|Q8VCM7|P12799|F1MGU7|Q3SZZ9,MOUSE,51033.2,25.2,1229,1229.1,106.08,106.08,,443,Fibrinogen gamma chain,fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|,"cell-matrix adhesion|signal transduction|protein secretion|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|cellular protein complex assembly|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","receptor binding|structural molecule activity|protein binding, bridging|cell adhesion molecule binding|",9,22,1070000000,25.2%
P52503,0.789945369,0.025833333,1.329741461,-0.025333333,0.736250926,-0.351168033,0.0175,0.133,-0.035,0.063,-0.08,0.0565,P52503,Ndufs6,P52503_Ndufs6,P52503,Ndufs6,1,19,7,7,P52503|A0A1Y7VM38|A0A1Y7VKP8,MOUSE,13190.7,65.5,1230,1230.1,106.02,106.02,,116,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",mitochondrion|mitochondrial respiratory chain complex I|,fatty acid metabolic process|muscle contraction|multicellular organismal aging|respiratory electron transport chain|multicellular organism growth|reproductive system development|mitochondrion morphogenesis|cardiovascular system development|,,7,19,8600000000,65.5%
Q5SW19,0.838912671,0.013166667,1.007543363,-0.016,0.792949745,-0.273173514,-0.0115,0.084,-0.009,-0.03,0.056,-0.0105,Q5SW19,Cluh,Q5SW19_Cluh,Q5SW19,Cluh,1,14,8,8,A0A0R4J140|Q5SW19|Z4YLI8|Q5SW19-3|Q5SW19-2,MOUSE,149549.2,9.5,1231,1231.1,106,106,,1315,Clustered mitochondria protein homolog,cytoplasm|,mitochondrion organization|intracellular distribution of mitochondria|,mRNA binding|,8,14,1480000000,9.5%
P39876,8.03673E-05,-0.273166667,49.58806474,2.554666667,1.0995E-05,11.75455591,-1.3955,-1.366,-1.89,0.996,0.639,1.3775,P39876,Timp3,P39876_Timp3,P39876,Timp3,1,25,9,9,P39876,MOUSE,24923.3,33.1,1232,1232.1,105.96,105.96,,211,Metalloproteinase inhibitor 3,proteinaceous extracellular matrix|basement membrane|extracellular space|nucleus|cytoplasm|extracellular exosome|extracellular matrix|,central nervous system development|aging|response to mechanical stimulus|response to hormone|negative regulation of endopeptidase activity|response to cytokine|tissue regeneration|response to estrogen|negative regulation of metalloenzyme activity|negative regulation of membrane protein ectodomain proteolysis|response to folic acid|cellular response to organic substance|,protease binding|metalloendopeptidase inhibitor activity|metal ion binding|,9,25,17500000000,33.1%
Q99KH8,0.442180245,0.013833333,4.518498453,0.064,0.353305302,0.997229645,0.0275,-0.071,-0.011,0.017,-0.013,0.1335,Q99KH8,Stk24,Q99KH8_Stk24,Q99KH8,Stk24,1,20,9,5,Q99KH8|Q99JT2|A2AD84,MOUSE,48238,20.4,1233,1233.1,105.68,52.93,,431,Serine/threonine-protein kinase 24,nucleus|nucleolus|cytoplasm|membrane|extracellular exosome|,protein phosphorylation|regulation of mitotic cell cycle|intrinsic apoptotic signaling pathway in response to oxidative stress|signal transduction by protein phosphorylation|negative regulation of cell migration|stress-activated protein kinase signaling cascade|activation of protein kinase activity|response to hydrogen peroxide|regulation of apoptotic process|protein autophosphorylation|regulation of axon regeneration|execution phase of apoptosis|,protein serine/threonine kinase activity|ATP binding|metal ion binding|,9,20,4490000000,20.4%
