Brain_Searched, 126:127, XBirA_2:No_BirA_6	Brain_Searched, 126:128, XBirA_2:No_BirA_5	Brain_Searched, 126:129, XBirA_2:XBirA_3	Brain_Searched, 126:130, XBirA_2:XBirA_1	Brain_Searched, 126:131, XBirA_2:No_BirA_4	Brain_Searched, 127:126, No_BirA_6:XBirA_2	Brain_Searched, 127:128, No_BirA_6:No_BirA_5	Brain_Searched, 127:129, No_BirA_6:XBirA_3	Brain_Searched, 127:130, No_BirA_6:XBirA_1	Brain_Searched, 127:131, No_BirA_6:No_BirA_4	Brain_Searched, 128:126, No_BirA_5:XBirA_2	Brain_Searched, 128:127, No_BirA_5:No_BirA_6	Brain_Searched, 128:129, No_BirA_5:XBirA_3	Brain_Searched, 128:130, No_BirA_5:XBirA_1	Brain_Searched, 128:131, No_BirA_5:No_BirA_4	Brain_Searched, 129:126, XBirA_3:XBirA_2	Brain_Searched, 129:127, XBirA_3:No_BirA_6	Brain_Searched, 129:128, XBirA_3:No_BirA_5	Brain_Searched, 129:130, XBirA_3:XBirA_1	Brain_Searched, 129:131, XBirA_3:No_BirA_4	Brain_Searched, 130:126, XBirA_1:XBirA_2	Brain_Searched, 130:127, XBirA_1:No_BirA_6	Brain_Searched, 130:128, XBirA_1:No_BirA_5	Brain_Searched, 130:129, XBirA_1:XBirA_3	Brain_Searched, 130:131, XBirA_1:No_BirA_4	Brain_Searched, 131:126, No_BirA_4:XBirA_2	Brain_Searched, 131:127, No_BirA_4:No_BirA_6	Brain_Searched, 131:128, No_BirA_4:No_BirA_5	Brain_Searched, 131:129, No_BirA_4:XBirA_3	Brain_Searched, 131:130, No_BirA_4:XBirA_1	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Brain_Searched unique_peptides	Brain_Searched numSpectra	Brain_Searched totalIntensity	Brain_Searched pct_cov
1.001	1.19	0.075	0.336	0.385	-1.001	0.188	-0.927	-0.665	-0.617	-1.19	-0.188	-1.115	-0.853	-0.805	-0.075	0.927	1.115	0.261	0.31	-0.336	0.665	0.853	-0.261	0.049	-0.385	0.617	0.805	-0.31	-0.049	Q91XY8	Q91XY8	Pcdhga11	1	2	6	2	Q91XY8	MOUSE	101521.9	7.1	847	847.6	58.08	12.52		933	Protocadherin gamma A11	plasma membrane|membrane|integral component of membrane|	homophilic cell adhesion via plasma membrane adhesion molecules|	calcium ion binding|	2	2	46900000	3.0%
0.722	0.656	-0.008	0.204	0.004	-0.722	-0.066	-0.73	-0.518	-0.718	-0.656	0.066	-0.665	-0.452	-0.652	0.008	0.73	0.665	0.212	0.012	-0.204	0.518	0.452	-0.212	-0.2	-0.004	0.718	0.652	-0.012	0.2	O88689-3	O88689-3	Pcdha4	1	4	5	4	O88689-3|O88689-2|A0A0A6YY44|Q641K6|B9EKB6|B9EJ92|A0A0A6YY55	MOUSE	100234.8	5.9	847	847.7	58.66	33		947	Isoform 3 of Protocadherin alpha-4	plasma membrane|integral component of membrane|	homophilic cell adhesion via plasma membrane adhesion molecules|	calcium ion binding|	4	4	1.05e+08	2.3%
1.104	1.062	-0.016	0.294	0.388	-1.104	-0.042	-1.12	-0.81	-0.716	-1.062	0.042	-1.078	-0.768	-0.673	0.016	1.12	1.078	0.31	0.405	-0.294	0.81	0.768	-0.31	0.094	-0.388	0.716	0.673	-0.405	-0.094	Q91XZ9	Q91XZ9	Pcdhb20	1	2	4	2	Q91XZ9	MOUSE	88255.1	6.8	847	847.1	37.74	14.74		799	Protocadherin beta 20	plasma membrane|integral component of membrane|	homophilic cell adhesion via plasma membrane adhesion molecules|	calcium ion binding|	2	2	10900000	4.3%
0.579	0.585	0.125	0.206	0.214	-0.579	0.009	-0.477	-0.303	-0.493	-0.585	-0.009	-0.462	-0.24	-0.36	-0.125	0.477	0.462	0.084	0.059	-0.206	0.303	0.24	-0.084	-0.078	-0.214	0.493	0.36	-0.059	0.078	E9Q634	E9Q634	Myo1e	1	30	15	15	E9Q634|P70248|Q8CG29|G3V011	MOUSE	127443.2	17.7	848	848.1	149.29	149.29		1107	Unconventional myosin-Ie	cytoplasm|cytoskeleton|brush border|cell-cell junction|adherens junction|myosin complex|extracellular exosome|clathrin-coated endocytic vesicle|	vasculogenesis|in utero embryonic development|kidney development|glomerular filtration|nitrogen compound metabolic process|endocytosis|hemopoiesis|glomerular basement membrane development|post-embryonic hemopoiesis|platelet-derived growth factor receptor signaling pathway|glomerular visceral epithelial cell development|	motor activity|calmodulin binding|ATP binding|phosphatidylinositol binding|ATPase activity, coupled|actin filament binding|	16	30	2.42e+09	17.7%
1.26	0.863	-0.121	-0.213	0.236	-1.26	-0.345	-1.386	-1.501	-1.014	-0.863	0.345	-0.957	-1.091	-0.673	0.121	1.386	0.957	-0.095	0.351	0.213	1.501	1.091	0.095	0.459	-0.236	1.014	0.673	-0.351	-0.459	Q80XD3	Q80XD3	Rgs7	1	16	12	11	Q80XD3|A0A0A6YW36|O54829	MOUSE	55241.5	29.7	849	849.1	148.85	140.27		470	Regulator of G-protein-signaling 7	nucleus|cytoplasm|heterotrimeric G-protein complex|plasma membrane|dendrite terminus|	G-protein coupled receptor signaling pathway|regulation of G-protein coupled receptor protein signaling pathway|intracellular signal transduction|termination of G-protein coupled receptor signaling pathway|positive regulation of GTPase activity|	signal transducer activity|GTPase activator activity|protein binding|G-protein beta-subunit binding|	12	16	3.25e+09	29.7%
1.046	0.683	-0.044	-0.184	0.138	-1.046	-0.379	-1.051	-1.154	-0.831	-0.683	0.379	-0.715	-0.801	-0.573	0.044	1.051	0.715	-0.052	0.079	0.184	1.154	0.801	0.052	0.31	-0.138	0.831	0.573	-0.079	-0.31	Q9D0K2	Q9D0K2	Oxct1	1	20	12	12	Q9D0K2|Q3UJQ9	MOUSE	56387	29.6	850	850.1	148.64	148.64		520	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	mitochondrion|mitochondrial matrix|	brain development|heart development|response to nutrient|response to hormone|response to activity|positive regulation of insulin secretion involved in cellular response to glucose stimulus|ketone catabolic process|response to drug|response to starvation|response to ethanol|cellular ketone body metabolic process|ketone body catabolic process|adipose tissue development|	3-oxoacid CoA-transferase activity|protein homodimerization activity|	12	20	2e+09	29.6%
3.099	2.44	0.203	0.374	1.844	-3.099	-0.422	-2.85	-2.491	-1.274	-2.44	0.422	-2.273	-2.028	-0.913	-0.203	2.85	2.273	0.151	1.695	-0.374	2.491	2.028	-0.151	1.399	-1.844	1.274	0.913	-1.695	-1.399	Q6PGJ3	Q6PGJ3	L1cam	1	21	11	11	Q6PGJ3|A2AFG8|A2AFG7|P11627	MOUSE	141883.8	13.8	851	851.1	148.57	148.57		1259	L1 cell adhesion molecule	focal adhesion|external side of plasma membrane|cell surface|membrane|presynaptic membrane|terminal bouton|	homophilic cell adhesion via plasma membrane adhesion molecules|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|leukocyte cell-cell adhesion|cell surface receptor signaling pathway|axon guidance|positive regulation of cell-cell adhesion|neuron projection development|cell-cell adhesion mediated by integrin|homotypic cell-cell adhesion|positive regulation of calcium-mediated signaling|	integrin binding|protein binding|sialic acid binding|identical protein binding|protein self-association|	11	21	1.14e+09	13.8%
1.063	0.926	0.241	0.039	0.137	-1.063	-0.092	-0.732	-1.011	-0.894	-0.926	0.092	-0.677	-0.924	-0.842	-0.241	0.732	0.677	-0.179	-0.179	-0.039	1.011	0.924	0.179	-0.023	-0.137	0.894	0.842	0.179	0.023	Q9CR68	Q9CR68	Uqcrfs1	1	29	11	11	Q9CR68	MOUSE	29652.4	46.3	852	852.1	148.1	148.1		274	Cytochrome b-c1 complex subunit Rieske, mitochondrial	mitochondrion|mitochondrial inner membrane|mitochondrial respiratory chain complex III|myelin sheath|	response to hormone|response to drug|response to antibiotic|oxidation-reduction process|hydrogen ion transmembrane transport|	protein binding|ubiquinol-cytochrome-c reductase activity|protein complex binding|metal ion binding|2 iron, 2 sulfur cluster binding|	11	29	1.46e+10	46.3%
1.013	0.335	-0.06	-0.259	-0.583	-1.013	-0.856	-1.106	-1.388	-1.607	-0.335	0.856	-0.42	-0.549	-0.836	0.06	1.106	0.42	-0.156	-0.402	0.259	1.388	0.549	0.156	-0.367	0.583	1.607	0.836	0.402	0.367	Q80TS7	Q80TS7	Ddn	1	22	12	12	Q80TS7	MOUSE	77090.5	20	853	853.1	147.9	147.9		710	Dendrin	nucleus|cytoplasm|endoplasmic reticulum membrane|plasma membrane|dendrite|dendritic spine membrane|cell projection|perikaryon|	positive regulation of transcription from RNA polymerase II promoter|	RNA polymerase II core promoter proximal region sequence-specific DNA binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity|	12	22	2.64e+09	20.0%
2.804	2.394	0.282	0.157	1.779	-2.804	-0.472	-2.603	-2.709	-1.299	-2.394	0.472	-2.221	-2.317	-0.838	-0.282	2.603	2.221	-0.101	1.576	-0.157	2.709	2.317	0.101	1.74	-1.779	1.299	0.838	-1.576	-1.74	Q8VEH8	Q8VEH8	Erlec1	1	24	10	10	Q8VEH8	MOUSE	55704	27.7	854	854.1	147.72	147.72		483	Endoplasmic reticulum lectin 1	endoplasmic reticulum lumen|	ER-associated ubiquitin-dependent protein catabolic process|negative regulation of retrograde protein transport, ER to cytosol|	glycoprotein binding|	10	24	3.41e+09	27.7%
1.056	1.038	-0.214	0.037	0.398	-1.056	0.218	-1.226	-0.89	-0.472	-1.038	-0.218	-1.286	-0.995	-0.655	0.214	1.226	1.286	0.258	0.638	-0.037	0.89	0.995	-0.258	0.357	-0.398	0.472	0.655	-0.638	-0.357	D3YWN7	D3YWN7	Map7	1	25	15	15	D3YWN7|O88735-2|E9QMU3|O88735	MOUSE	83009.3	20.1	855	855.1	147.69	147.69		738	Ensconsin	cytoplasm|microtubule cytoskeleton|	microtubule cytoskeleton organization|	structural molecule activity|	15	25	4.67e+09	20.1%
1.627	1.403	0.213	0.577	0.782	-1.627	-0.399	-1.366	-1.09	-0.936	-1.403	0.399	-1.219	-1.014	-0.555	-0.213	1.366	1.219	0.272	0.729	-0.577	1.09	1.014	-0.272	0.313	-0.782	0.936	0.555	-0.729	-0.313	P80560	P80560	Ptprn2	1	22	13	13	P80560|Q3UU93	MOUSE	112293.5	14.6	856	856.1	147.37	147.37		1001	Receptor-type tyrosine-protein phosphatase N2	endoplasmic reticulum lumen|integral component of membrane|secretory granule|transport vesicle membrane|terminal bouton|receptor complex|	negative regulation of GTPase activity|peptidyl-tyrosine dephosphorylation|	protein tyrosine phosphatase activity|protein binding|	13	22	1.4e+09	14.6%
2.68	2.692	0.393	0.108	2.007	-2.68	-0.651	-2.517	-2.455	-1.372	-2.692	0.651	-2.365	-2.577	-0.691	-0.393	2.517	2.365	-0.317	1.599	-0.108	2.455	2.577	0.317	1.93	-2.007	1.372	0.691	-1.599	-1.93	P24668	P24668	M6pr	1	23	10	10	P24668	MOUSE	31685.3	33.8	857	857.1	147.24	147.24		278	Cation-dependent mannose-6-phosphate receptor	lysosomal membrane|endosome|late endosome|membrane|integral component of membrane|perinuclear region of cytoplasm|	intracellular protein transport|mannose transport|	mannose transmembrane transporter activity|	10	23	7.11e+09	33.8%
1.376	0.821	-0.137	0.003	0.048	-1.376	-0.519	-1.442	-1.34	-1.203	-0.821	0.519	-0.943	-0.856	-0.637	0.137	1.442	0.943	0.158	0.244	-0.003	1.34	0.856	-0.158	0.089	-0.048	1.203	0.637	-0.244	-0.089	Z4YJT3	Z4YJT3	Larp1	1	21	12	12	Z4YJT3|Q6ZQ58|Q6ZQ58-2	MOUSE	121548.9	17.4	858	858.1	147.22	147.22		1072	La-related protein 1	nucleoplasm|cytoplasm|membrane|TORC1 complex|	translational initiation|cell proliferation|positive regulation of macroautophagy|TOR signaling|positive regulation of translation|	RNA cap binding|mRNA 3'-UTR binding|eukaryotic initiation factor 4E binding|translation activator activity|translation initiation factor binding|poly(A) RNA binding|mRNA 5'-UTR binding|	12	21	1.61e+09	17.4%
1.047	0.887	0.136	0.103	0.279	-1.047	-0.196	-0.893	-0.928	-0.705	-0.887	0.196	-0.76	-0.713	-0.605	-0.136	0.893	0.76	-0.058	0.148	-0.103	0.928	0.713	0.058	0.239	-0.279	0.705	0.605	-0.148	-0.239	Q9DBL1	Q9DBL1	Acadsb	1	24	11	11	Q9DBL1|E9Q5L3	MOUSE	48329.7	35.6	859	859.1	147.22	147.22		432	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	mitochondrion|mitochondrial matrix|extracellular exosome|	fatty acid metabolic process|acyl-CoA metabolic process|oxidation-reduction process|	acyl-CoA dehydrogenase activity|short-branched-chain-acyl-CoA dehydrogenase activity|flavin adenine dinucleotide binding|	11	24	4.44e+09	35.6%
4.256	3.344	0.538	0.332	2.666	-4.256	-1.099	-3.828	-3.897	-1.845	-3.344	1.099	-2.757	-3.005	-0.721	-0.538	3.828	2.757	-0.197	2.122	-0.332	3.897	3.005	0.197	2.237	-2.666	1.845	0.721	-2.122	-2.237	P57759	P57759	Erp29	1	33	12	12	P57759|D6RG87|F8WIM7|F8WJI4	MOUSE	28879.8	48.8	860	860.1	147.08	147.08		262	Endoplasmic reticulum resident protein 29	endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|cell surface|membrane|transport vesicle|melanosome|extracellular exosome|	activation of MAPK activity|positive regulation of protein phosphorylation|ER to Golgi vesicle-mediated transport|protein secretion|positive regulation of gene expression|negative regulation of gene expression|negative regulation of protein secretion|regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway|	protein homodimerization activity|chaperone binding|	12	33	8.99e+09	48.8%
1.183	0.911	0.149	0.043	0.363	-1.183	-0.23	-1.051	-1.132	-0.841	-0.911	0.23	-0.777	-0.879	-0.546	-0.149	1.051	0.777	-0.102	0.229	-0.043	1.132	0.879	0.102	0.396	-0.363	0.841	0.546	-0.229	-0.396	A2AKD7	A2AKD7	Snta1	1	22	13	13	A2AKD7|Q61234	MOUSE	53738.1	27.4	861	861.1	146.98	146.98		499	Alpha-1-syntrophin	intracellular|neuromuscular junction|sarcolemma|protein complex|postsynaptic membrane|	regulation of heart rate|regulation of vasoconstriction by circulating norepinephrine|neuromuscular junction development|regulation of ventricular cardiac muscle cell membrane repolarization|ventricular cardiac muscle cell action potential|negative regulation of peptidyl-cysteine S-nitrosylation|regulation of sodium ion transmembrane transport|	structural molecule activity|protein binding|PDZ domain binding|ion channel binding|nitric-oxide synthase binding|ATPase binding|sodium channel regulator activity|	13	22	3.58e+09	27.4%
1.101	0.705	-0.073	0.037	0.194	-1.101	-0.361	-1.105	-0.963	-0.879	-0.705	0.361	-0.786	-0.614	-0.507	0.073	1.105	0.786	0.091	0.198	-0.037	0.963	0.614	-0.091	0.105	-0.194	0.879	0.507	-0.198	-0.105	Q80U78	Q80U78	Pum1	1	25	15	2	Q80U78|Q80U78-3|Q3TTW5|Q80U58|Q3UR91|Q80U58-2|Q3TQ29|Q80U58-3|Q80U78-4	MOUSE	127301.8	16.4	862	862.1	146.79	21.18		1189	Pumilio homolog 1	cytoplasmic mRNA processing body|cytoplasm|cytoplasmic stress granule|	spermatogenesis|adult locomotory behavior|posttranscriptional gene silencing|stem cell differentiation|regulation of cell cycle|mRNA destabilization|positive regulation of RIG-I signaling pathway|positive regulation of gene silencing by miRNA|	mRNA 3'-UTR binding|poly(A) RNA binding|	16	25	1.6e+09	16.4%
1.281	0.883	0.125	0.048	0.152	-1.281	-0.388	-1.224	-1.151	-1.16	-0.883	0.388	-0.725	-0.823	-0.741	-0.125	1.224	0.725	-0.077	0.005	-0.048	1.151	0.823	0.077	0.128	-0.152	1.16	0.741	-0.005	-0.128	P61222	P61222	Abce1	1	12	11	11	P61222	MOUSE	68283	22.7	863	863.1	146.58	146.58		599	ATP-binding cassette sub-family E member 1	cytoplasm|mitochondrion|membrane|	metabolic process|	ATP binding|ATPase activity|iron-sulfur cluster binding|	11	12	1.72e+09	22.7%
1.163	0.896	-0.008	0.12	0.2	-1.163	-0.255	-1.198	-1.089	-0.971	-0.896	0.255	-0.94	-0.815	-0.662	0.008	1.198	0.94	0.126	0.295	-0.12	1.089	0.815	-0.126	0.107	-0.2	0.971	0.662	-0.295	-0.107	Q9QYI3	Q9QYI3	Dnajc7	1	20	15	15	Q9QYI3	MOUSE	57273.6	27.5	864	864.1	146.57	146.57		494	DnaJ homolog subfamily C member 7	nucleoplasm|cytoplasm|cytoskeleton|membrane|extracellular exosome|	chaperone cofactor-dependent protein refolding|	heat shock protein binding|	15	20	8.7e+08	27.5%
1.091	0.957	0.021	0.102	0.43	-1.091	-0.133	-1.052	-1.036	-0.697	-0.957	0.133	-0.948	-0.868	-0.524	-0.021	1.052	0.948	0.072	0.397	-0.102	1.036	0.868	-0.072	0.311	-0.43	0.697	0.524	-0.397	-0.311	Q60714	Q60714	Slc27a1	1	20	11	11	Q60714	MOUSE	72244.7	24.1	865	865.1	146.37	146.37		646	Long-chain fatty acid transport protein 1	mitochondrial inner membrane|endoplasmic reticulum|plasma membrane|caveola|membrane|integral component of membrane|cytoplasmic vesicle|	medium-chain fatty acid transport|long-chain fatty acid metabolic process|phosphatidylethanolamine biosynthetic process|phosphatidic acid biosynthetic process|phosphatidylglycerol biosynthetic process|phosphatidylcholine biosynthetic process|phosphatidylserine biosynthetic process|phosphatidylinositol biosynthetic process|response to cold|fatty acid transport|long-chain fatty acid transport|positive regulation of heat generation|cardiolipin biosynthetic process|response to insulin|adiponectin-activated signaling pathway|negative regulation of phospholipid biosynthetic process|positive regulation of protein serine/threonine kinase activity|	nucleotide binding|long-chain fatty acid-CoA ligase activity|fatty acid transporter activity|very long-chain fatty acid-CoA ligase activity|protein homodimerization activity|	11	20	1.49e+09	24.1%
1.182	1.176	-0.09	0.303	0.546	-1.182	0.084	-1.292	-0.764	-0.507	-1.176	-0.084	-1.345	-0.879	-0.661	0.09	1.292	1.345	0.374	0.66	-0.303	0.764	0.879	-0.374	0.238	-0.546	0.507	0.661	-0.66	-0.238	P84104	P84104	Srsf3	1	37	12	11	P84104|P84104-2|A2A4X6	MOUSE	19557.5	46.9	866	866.1	146.14	131.35		164	Serine/arginine-rich splicing factor 3	cytoplasm|nuclear speck|	mRNA processing|insulin receptor signaling pathway|RNA splicing|mRNA transport|	nucleotide binding|RNA binding|phospholipase binding|poly(A) RNA binding|	12	37	1.84e+10	46.9%
1.314	1.266	-0.173	0.04	0.555	-1.314	-0.137	-1.456	-1.243	-0.734	-1.266	0.137	-1.415	-1.202	-0.621	0.173	1.456	1.415	0.252	0.687	-0.04	1.243	1.202	-0.252	0.444	-0.555	0.734	0.621	-0.687	-0.444	Q8BL97	Q8BL97	Srsf7	1	15	12	11	Q8BL97|Q8BL97-2|Q8BL97-4|Q8BL97-3	MOUSE	31045.2	32.5	866	866.2	112.67	97.88		267	Serine/arginine-rich splicing factor 7	nucleoplasm|cytoplasm|extracellular exosome|	mRNA processing|RNA splicing|negative regulation of mRNA splicing, via spliceosome|mRNA transport|	nucleotide binding|protein binding|zinc ion binding|poly(A) RNA binding|	11	15	1.03e+10	32.5%
1.199	1.08	-0.046	0.139	0.399	-1.199	-0.082	-1.202	-0.96	-0.731	-1.08	0.082	-1.063	-0.973	-0.643	0.046	1.202	1.063	0.271	0.396	-0.139	0.96	0.973	-0.271	0.321	-0.399	0.731	0.643	-0.396	-0.321	Q8CH09	Q8CH09	Sugp2	1	19	12	12	Q8CH09	MOUSE	118956.3	14.4	867	867.1	145.68	145.68		1067	SURP and G-patch domain-containing protein 2	nucleoplasm|	mRNA processing|RNA splicing|	poly(A) RNA binding|	12	19	1.47e+10	14.4%
2.023	1.739	0.174	0.12	0.952	-2.023	-0.466	-1.849	-1.785	-1.047	-1.739	0.466	-1.565	-1.616	-0.717	-0.174	1.849	1.565	-0.051	0.886	-0.12	1.785	1.616	0.051	1.003	-0.952	1.047	0.717	-0.886	-1.003	P41234	P41234	Abca2	1	17	13	13	P41234|A2AJ26	MOUSE	272957	7.9	868	868.1	145.68	145.68		2434	ATP-binding cassette sub-family A member 2	lysosome|lysosomal membrane|endosome|microtubule organizing center|endosome membrane|membrane|integral component of membrane|cytoplasmic membrane-bounded vesicle|intracellular membrane-bounded organelle|	regulation of transcription from RNA polymerase II promoter|lipid transport|metabolic process|regulation of intracellular cholesterol transport|cholesterol homeostasis|response to steroid hormone|transmembrane transport|	ATP binding|ATPase activity|ATPase activity, coupled to transmembrane movement of substances|	13	17	4.87e+08	7.9%
0.938	0.492	0.17	0.111	0.071	-0.938	-0.43	-0.827	-0.862	-0.814	-0.492	0.43	-0.439	-0.474	-0.395	-0.17	0.827	0.439	-0.007	0.028	-0.111	0.862	0.474	0.007	0.04	-0.071	0.814	0.395	-0.028	-0.04	Q9CQI3	Q9CQI3	Gmfb	1	23	10	10	Q9CQI3|Q9ERL7|D3YY16	MOUSE	16894	63.3	869	869.1	145.65	145.65		142	Glia maturation factor beta	intracellular|	learning|locomotory behavior|negative regulation of Arp2/3 complex-mediated actin nucleation|	actin binding|growth factor activity|Arp2/3 complex binding|	10	23	4.89e+09	63.3%
1.062	0.951	0.005	0.039	0.279	-1.062	-0.011	-0.956	-0.994	-0.765	-0.951	0.011	-0.977	-1.042	-0.619	-0.005	0.956	0.977	0.014	0.31	-0.039	0.994	1.042	-0.014	0.312	-0.279	0.765	0.619	-0.31	-0.312	E9QNN1	E9QNN1	Dhx9	1	21	14	14	E9QNN1|A0A087WPL5|O70133-2|O70133|O70133-3|A0A0R4J2C3	MOUSE	150999.6	13.8	870	870.1	145.53	145.53		1384	ATP-dependent RNA helicase A	nucleus|nucleoplasm|nucleolus|cytoplasm|centrosome|membrane|ribonucleoprotein complex|cytoplasmic ribonucleoprotein granule|CRD-mediated mRNA stability complex|	osteoblast differentiation|RNA processing|circadian rhythm|cellular response to heat|CRD-mediated mRNA stabilization|	RNA polymerase II transcription factor binding|ATP-dependent RNA helicase activity|protein binding|ATP binding|poly(A) RNA binding|	14	21	2.46e+09	13.8%
1.122	0.899	0.128	0.109	0.374	-1.122	-0.243	-0.997	-0.982	-0.709	-0.899	0.243	-0.774	-0.816	-0.521	-0.128	0.997	0.774	-0.005	0.292	-0.109	0.982	0.816	0.005	0.268	-0.374	0.709	0.521	-0.292	-0.268	Q99LF4	Q99LF4	Rtcb	1	23	13	13	Q99LF4	MOUSE	55761.8	37.2	871	871.1	145.3	145.3		505	tRNA-splicing ligase RtcB homolog	nucleus|nuclear envelope|cytoplasm|endoplasmic reticulum membrane|tRNA-splicing ligase complex|	in utero embryonic development|placenta development|tRNA splicing, via endonucleolytic cleavage and ligation|	RNA ligase (ATP) activity|ATP binding|vinculin binding|poly(A) RNA binding|metal ion binding|	13	23	4.59e+09	37.2%
1.141	0.727	0.083	0.069	0.031	-1.141	-0.424	-1.124	-1.101	-1.134	-0.727	0.424	-0.679	-0.666	-0.635	-0.083	1.124	0.679	0.028	-0.093	-0.069	1.101	0.666	-0.028	-0.039	-0.031	1.134	0.635	0.093	0.039	Q6QI06	Q6QI06	Rictor	1	19	14	14	Q6QI06|Q6QI06-2	MOUSE	193677.2	9.5	872	872.1	145.23	145.23		1708	Rapamycin-insensitive companion of mTOR	TORC2 complex|TORC2 complex|	regulation of protein phosphorylation|positive regulation of endothelial cell proliferation|embryo development|regulation of gene expression|peptidyl-serine phosphorylation|positive regulation of actin filament polymerization|actin cytoskeleton reorganization|TOR signaling|positive regulation of TOR signaling|regulation of actin cytoskeleton organization|regulation of peptidyl-serine phosphorylation|regulation of GTPase activity|regulation of inflammatory response|positive regulation of peptidyl-tyrosine phosphorylation|regulation of protein kinase B signaling|positive regulation of protein kinase B signaling|regulation of establishment of cell polarity|	protein binding|protein kinase binding|ribosome binding|	14	19	8.69e+08	9.5%
1.268	1.246	0.513	0.18	0.421	-1.268	0.002	-0.608	-1.078	-0.778	-1.246	-0.002	-0.748	-0.954	-0.814	-0.513	0.608	0.748	-0.433	-0.125	-0.18	1.078	0.954	0.433	0.284	-0.421	0.778	0.814	0.125	-0.284	Q3UH99	Q3UH99	Shisa6	1	23	12	12	Q3UH99	MOUSE	59052.5	28.9	873	873.1	145.15	145.15		525	Protein shisa-6 homolog	alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|			12	23	2.66e+09	28.9%
0.851	1.194	0.113	0.471	0	-0.851	0.362	-0.746	-0.278	-0.869	-1.194	-0.362	-1.209	-0.707	-1.301	-0.113	0.746	1.209	0.432	-0.05	-0.471	0.278	0.707	-0.432	-0.595	0	0.869	1.301	0.05	0.595	Q8BZN6-4	Q8BZN6-4	Dock10	1	20	15	15	Q8BZN6-4|A0A087WQ86|Q8BZN6-3|Q8BZN6-2|E9QM99|A0A087WRP5|Q8BZN6	MOUSE	251115.1	8.5	874	874.1	144.93	144.93		2150	Isoform 4 of Dedicator of cytokinesis protein 10	intracellular|membrane|extracellular exosome|	small GTPase mediated signal transduction|regulation of cell migration|positive regulation of GTPase activity|	Rho guanyl-nucleotide exchange factor activity|Rho GTPase binding|	15	20	8.31e+08	8.5%
1.23	0.809	-0.017	0.053	0.332	-1.23	-0.376	-1.28	-1.234	-0.878	-0.809	0.376	-0.845	-0.73	-0.502	0.017	1.28	0.845	0.087	0.336	-0.053	1.234	0.73	-0.087	0.256	-0.332	0.878	0.502	-0.336	-0.256	Q9D880	Q9D880	Timm50	1	26	10	10	Q9D880	MOUSE	40003.9	28	875	875.1	144.93	144.93		353	Mitochondrial import inner membrane translocase subunit TIM50	nucleoplasm|mitochondrion|mitochondrial inner membrane|mitochondrial inner membrane presequence translocase complex|integral component of membrane|nuclear speck|	release of cytochrome c from mitochondria|protein dephosphorylation|mitochondrial membrane organization|protein transport|peptidyl-tyrosine dephosphorylation|	phosphoprotein phosphatase activity|protein serine/threonine phosphatase activity|protein tyrosine phosphatase activity|interleukin-2 receptor binding|ribonucleoprotein complex binding|	10	26	5.79e+09	28.0%
1.052	0.756	-0.072	0.088	-0.025	-1.052	-0.337	-1.124	-1.111	-1.142	-0.756	0.337	-0.786	-0.638	-0.812	0.072	1.124	0.786	0.073	-0.016	-0.088	1.111	0.638	-0.073	-0.151	0.025	1.142	0.812	0.016	0.151	G3X9K4	G3X9K4	Ppp6r2	1	19	12	12	G3X9K4|Q8R3Q2	MOUSE	101884.6	21.6	876	876.1	144.89	144.89		923	SAPS domain family, member 2, isoform CRA_a	cytoplasm|intracellular membrane-bounded organelle|	regulation of phosphoprotein phosphatase activity|	protein phosphatase binding|	12	19	1.72e+09	21.6%
1.246	0.77	-0.081	0.041	-0.124	-1.246	-0.463	-1.403	-1.172	-1.458	-0.77	0.463	-0.809	-0.7	-0.93	0.081	1.403	0.809	0.113	-0.079	-0.041	1.172	0.7	-0.113	-0.156	0.124	1.458	0.93	0.079	0.156	Q505D1	Q505D1	Ankrd28	1	16	11	11	Q505D1	MOUSE	114607.3	16.5	877	877.1	144.62	144.62		1053	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	nucleoplasm|			11	16	1.84e+09	16.5%
