R126127,R126128,R126131,R129127,R129128,R129131,R130127,R130128,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,PCorNC,ES_score,signalP,TM
0.786,0.541,0.092,-0.22,-0.468,-0.863,1.077,0.812,0.458,P43006,P43006,Slc1a2,1,70,14,14,P43006|P43006-2|A2APL5|P43006-3,MOUSE,62542.6,19,537,537.1,225,225,NA,572,Excitatory amino acid transporter 2,integral component of plasma membrane|cell surface|axon|axolemma|,nervous system development|visual behavior|response to light stimulus|response to wounding|multicellular organismal aging|L-glutamate transport|telencephalon development|adult behavior|cellular response to extracellular stimulus|multicellular organism growth|response to drug|response to amino acid|positive regulation of glucose import|L-glutamate import|D-aspartate import|L-glutamate transmembrane transport|,L-glutamate transmembrane transporter activity|glutamate:sodium symporter activity|sodium:dicarboxylate symporter activity|,14,70,1.37E+11,0.19,0.800622722,0.120833333,2.590338719,0.203666667,0.550764739,0.624655855,-0.175,-0.116,0.348,0.422,-0.551,0.797,undefined,5,NA,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.778,2.328,2.257,2.527,2.023,2.029,2.876,2.483,2.537,O35887,O35887,Calu,1,38,16,16,O35887|Q6XLQ8|G3V004|G3UWV3|G3UWR0,MOUSE,37177.2,50.1,540,540.1,223.84,223.84,NA,315,Calumenin,extracellular region|endoplasmic reticulum|endoplasmic reticulum lumen|membrane|sarcoplasmic reticulum lumen|melanosome|,peripheral nervous system axon regeneration|response to organic cyclic compound|negative regulation of catalytic activity|,enzyme inhibitor activity|calcium ion binding|enzyme binding|,16,38,1.55E+10,0.501,1.06E-05,-0.327333333,73.79131477,2.361333333,4.18E-08,21.40879947,-1.502,-1.426,-1.596,0.881,0.666,1.013,PC,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.248,0.526,0.489,0.261,0.561,0.458,0.393,0.742,0.72,P14733,P14733,Lmnb1,1,33,18,18,P14733,MOUSE,67012.7,34.6,558,558.1,217.33,217.33,NA,588,Lamin-B1,nucleus|nuclear envelope|nuclear inner membrane|lamin filament|nucleoplasm|membrane|nuclear matrix|nuclear membrane|,positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G2/M transition of mitotic cell cycle|positive regulation of JNK cascade|,structural molecule activity|JUN kinase binding|phospholipase binding|,18,33,3.95E+09,0.346,0.030523175,0.007,25.29441399,0.492,0.002955008,4.285772057,-0.059,-0.353,-0.305,0.162,0.186,0.411,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.653,0.955,0.901,-0.005,0.294,0.239,0.363,0.648,0.615,P70181,P70181,Pip5k1b,1,2,3,2,P70181|P70181-2,MOUSE,61030.4,8.7,560,560.3,28.93,17.8,NA,539,Phosphatidylinositol 4-phosphate 5-kinase type-1 beta,uropod|endomembrane system|membrane|,phosphatidylinositol metabolic process|phosphatidylinositol phosphorylation|,protein binding|ATP binding|1-phosphatidylinositol-4-phosphate 5-kinase activity|,2,2,21400000,0.061,0.135057099,0.180833333,16.2959524,0.519,0.023464146,2.83702292,0.173,-0.243,-0.166,0.756,0.099,0.466,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133,0.64,0.531,0.389,1,0.927,-0.086,0.377,0.303,H7BX95,H7BX95,Srsf1,1,44,15,15,H7BX95|Q6PDM2|Q6PDM2-2|Q6PDM2-3,MOUSE,28442.8,46.2,574,574.1,213.75,213.75,NA,253,Serine/arginine-rich-splicing factor 1,nucleus|nucleoplasm|nuclear speck|extracellular exosome|catalytic step 2 spliceosome|exon-exon junction complex|,"mRNA 5'-splice site recognition|in utero embryonic development|regulation of transcription, DNA-templated|regulation of translation|RNA splicing|regulation of mRNA stability|regulation of mRNA splicing, via spliceosome|cardiac muscle contraction|",nucleotide binding|RNA binding|mRNA binding|poly(A) RNA binding|RS domain binding|,15,44,1.13E+10,0.462,0.180101455,0.072833333,14.42057763,0.411,0.03613618,2.536760676,0.111,-0.288,-0.221,0.237,0.567,0.031,NC,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.001,0.832,0.586,1.109,0.699,0.506,1.311,1.114,0.863,Q9QYS2,Q9QYS2,Grm3,1,41,16,13,Q9QYS2,MOUSE,100995.4,20.5,577,577.1,211.77,170.08,NA,879,Metabotropic glutamate receptor 3,plasma membrane|integral component of plasma membrane|postsynaptic density|axon|presynaptic membrane|neuron projection|dendritic spine|postsynaptic membrane|presynaptic active zone|,"adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway|sensory perception of pain|synaptic transmission, glutamatergic|regulation of sensory perception of pain|regulation of synaptic transmission, glutamatergic|",group II metabotropic glutamate receptor activity|calcium channel regulator activity|group III metabotropic glutamate receptor activity|,16,41,9.90E+09,0.205,0.002899198,-0.096166667,36.95044337,0.825,0.000201816,6.622330869,-0.712,-0.475,-0.339,0.254,0.211,0.484,undefined,8,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.308,0.307,0.311,0.679,0.681,0.763,0.371,0.327,0.372,F8VQC1,F8VQC1,Srp72,1,28,15,15,F8VQC1|E9Q740,MOUSE,75226.4,34.1,594,594.1,207.97,207.97,NA,671,Signal recognition particle subunit SRP72,"nucleolus|cytoplasm|endoplasmic reticulum|signal recognition particle, endoplasmic reticulum targeting|plasma membrane|",SRP-dependent cotranslational protein targeting to membrane|response to drug|,signal recognition particle binding|7S RNA binding|poly(A) RNA binding|,15,28,1.53E+09,0.341,0.073027499,-0.011,20.20105153,0.456,0.009547614,3.432423014,-0.246,-0.192,-0.279,0.047,0.516,0.088,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.104,0.447,0.641,0.197,0.516,0.7,0.102,0.403,0.611,Q569Z5,Q569Z5,Ddx46,1,30,19,19,Q569Z5|F8WHR6|Q569Z5-2,MOUSE,117959.7,21.3,602,602.1,205.97,205.97,NA,1032,Probable ATP-dependent RNA helicase DDX46,nucleus|Cajal body|nuclear speck|,"mRNA splicing, via spliceosome|regulation of gene expression|RNA secondary structure unwinding|",ATP-dependent RNA helicase activity|ATP binding|poly(A) RNA binding|,19,30,4.36E+09,0.213,0.118154283,0.025833333,17.17939865,0.414333333,0.01914521,2.957389666,0.104,-0.207,-0.441,0.234,0.31,0.155,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.004,1.676,1.543,1.857,1.475,1.463,1.932,1.474,1.495,Q8K4Z0-2,Q8K4Z0,Lgi2,1,31,16,16,Q8K4Z0-2|Q8K4Z0,MOUSE,62638.4,30.6,604,604.1,205.75,205.75,NA,550,Isoform 2 of Leucine-rich repeat LGI family member 2,extracellular region|,NA,NA,16,31,9.90E+09,0.306,1.06E-05,-0.260333333,70.94720663,1.644,8.04E-08,19.62535728,-1.164,-1.066,-1.017,0.617,0.556,0.512,PC,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.503,0.42,0.366,0.613,0.52,0.468,0.768,0.722,0.677,Q9Z204,Q9Z204,Hnrnpc,1,39,16,15,Q9Z204|Q9Z204-2|Q9Z204-5|Q9Z204-3|Q9Z204-4,MOUSE,34441.2,43.4,622,622.1,200.32,189.48,NA,313,Heterogeneous nuclear ribonucleoproteins C1/C2,nuclear chromatin|nucleus|nucleoplasm|spliceosomal complex|cytosol|membrane|protein complex|pronucleus|extracellular exosome|catalytic step 2 spliceosome|,"mRNA splicing, via spliceosome|osteoblast differentiation|ATP-dependent chromatin remodeling|3'-UTR-mediated mRNA stabilization|",nucleotide binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding|RNA polymerase II distal enhancer sequence-specific DNA binding|mRNA binding|mRNA 3'-UTR binding|poly(U) RNA binding|nucleosomal DNA binding|identical protein binding|poly(A) RNA binding|N6-methyladenosine-containing RNA binding|,16,39,2.31E+10,0.434,0.007673228,-0.061333333,32.28965267,0.57,0.000590248,5.610663982,-0.396,-0.352,-0.291,0.072,0.214,0.385,NC,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.355,2.209,2.171,1.681,1.686,1.55,1.512,1.232,1.276,Q03517,Q03517,Scg2,1,39,15,15,Q03517|Q4W8U9,MOUSE,70642.7,30.3,624,624.1,199.64,199.64,NA,617,Secretogranin-2,extracellular space|secretory granule|,MAPK cascade|angiogenesis|positive regulation of endothelial cell proliferation|intracellular signal transduction|eosinophil chemotaxis|positive chemotaxis|induction of positive chemotaxis|negative regulation of endothelial cell apoptotic process|negative regulation of extrinsic apoptotic signaling pathway|,cytokine activity|chemoattractant activity|,15,39,4.70E+09,0.303,0.001080735,-0.027666667,41.9698367,1.831333333,6.35E-05,7.998358152,-0.917,-0.964,-0.949,1.398,0.894,0.372,PC,9,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.486,1.268,1.262,0.971,0.841,0.792,1.471,1.149,1.223,Q8K1S1,Q8K1S1,Lgi4,1,34,14,14,Q8K1S1,MOUSE,60174.2,34.2,625,625.1,199.53,199.53,NA,537,Leucine-rich repeat LGI family member 4,extracellular space|,adult locomotory behavior|glial cell proliferation|Schwann cell development|glial cell development|myelination in peripheral nervous system|gliogenesis|neuron maturation|myelination|,protein binding|,14,34,5.68E+09,0.342,0.0006831,0.039666667,44.46561655,1.151333333,3.58E-05,8.533065826,-0.464,-0.611,-0.533,0.805,0.32,0.721,PC,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.83,1.011,0.831,0.901,1.082,1.008,1.058,1.228,1.183,P43274,P43274,Hist1h1e,1,53,14,5,P43274|I7HFT9|Q07133,MOUSE,21976.9,36.5,631,631.1,197.53,74.24,NA,219,Histone H1.4,nucleosome|nucleus|nuclear heterochromatin|extracellular exosome|nucleolus|,negative regulation of transcription from RNA polymerase II promoter|nucleosome assembly|nucleosome positioning|,DNA binding|protein binding|chromatin DNA binding|poly(A) RNA binding|,14,53,4.49E+10,0.365,0.000327374,-0.081833333,48.48593179,0.983,1.42E-05,9.726644115,-0.419,-0.668,-0.633,0.317,0.41,0.502,undefined,9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.306,0.603,0.483,0.271,0.624,0.502,0.458,0.669,0.569,P43277,P43277,Hist1h1d,1,5,13,2,P43277,MOUSE,22099.1,35.7,631,631.2,187.45,31.19,NA,221,Histone H1.3,nucleosome|nuclear chromatin|nuclear euchromatin|,negative regulation of transcription from RNA polymerase II promoter|nucleosome assembly|nucleosome positioning|,DNA binding|protein binding|chromatin DNA binding|poly(A) RNA binding|,2,5,1.19E+09,0.09,0.013261498,-0.041166667,29.51914043,0.501666667,0.001117084,5.061096416,-0.121,-0.421,-0.334,0.187,0.204,0.238,NC,7,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.686,0.744,0.695,0.817,0.761,0.715,0.781,0.665,0.617,P15864,P15864,Hist1h1c,1,8,13,3,P15864,MOUSE,21266.3,37.2,631,631.3,187.32,35.27,NA,212,Histone H1.2,nucleosome|nucleus|nuclear euchromatin|transcriptionally active chromatin|,negative regulation of transcription from RNA polymerase II promoter|nucleosome assembly|nucleosome positioning|,DNA binding|protein binding|chromatin DNA binding|poly(A) RNA binding|,3,8,1.76E+09,0.15,0.000881855,-0.106166667,43.01882937,0.689,4.99E-05,8.134786568,-0.387,-0.517,-0.448,0.228,0.314,0.173,undefined,9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.656,0.92,1.111,0.648,0.915,1.159,0.844,1.159,1.469,P43276,P43276,Hist1h1b,1,10,7,5,P43276,MOUSE,22575.7,30.4,631,631.4,95.36,77.75,NA,223,Histone H1.5,nucleosome|nucleus|,nucleosome assembly|muscle organ development|,DNA binding|protein binding|,5,10,1.08E+09,0.237,0.009714953,0.01,31.11889497,1,0.000772877,5.440066511,-0.167,-0.46,-0.843,0.345,0.438,0.747,undefined,9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.895,0.852,1.132,0.836,0.779,0.975,0.815,0.828,0.813,Q80UG2,Q80UG2,Plxna4,1,27,18,12,Q80UG2|P70208|P70208-2,MOUSE,215922.4,11.1,643,643.1,194.2,135.69,NA,1893,Plexin-A4,plasma membrane|integral component of membrane|,nervous system development|axon guidance|motor neuron axon guidance|cranial nerve morphogenesis|facial nerve morphogenesis|facial nerve structural organization|glossopharyngeal nerve morphogenesis|trigeminal nerve morphogenesis|trigeminal nerve structural organization|vagus nerve morphogenesis|postganglionic parasympathetic fiber development|branchiomotor neuron axon guidance|chemorepulsion of branchiomotor axon|anterior commissure morphogenesis|sympathetic nervous system development|neuron projection morphogenesis|regulation of axon extension involved in axon guidance|regulation of negative chemotaxis|semaphorin-plexin signaling pathway|semaphorin-plexin signaling pathway involved in axon guidance|,protein binding|semaphorin receptor activity|,18,27,2.65E+09,0.111,0.000245611,-0.0345,50.08219061,0.870333333,9.81E-06,10.23886198,-0.415,-0.431,-0.563,0.457,0.397,0.348,undefined,9,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.117,0.417,0.425,0.448,0.7,0.769,0.166,0.484,0.451,Q8VIJ6,Q8VIJ6,Sfpq,1,20,14,12,Q8VIJ6,MOUSE,75554.5,22,654,654.2,143.38,129.66,NA,699,"Splicing factor, proline- and glutamine-rich",chromatin|nucleus|nucleoplasm|cytoplasm|nuclear matrix|paraspeckles|RNA polymerase II transcription factor complex|,"negative regulation of transcription from RNA polymerase II promoter|alternative mRNA splicing, via spliceosome|double-strand break repair via homologous recombination|transcription, DNA-templated|cellular response to DNA damage stimulus|regulation of circadian rhythm|negative regulation of circadian rhythm|positive regulation of sister chromatid cohesion|negative regulation of transcription, DNA-templated|rhythmic process|chromosome organization|regulation of cell cycle|histone H3 deacetylation|positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|",nucleotide binding|transcription regulatory region sequence-specific DNA binding|RNA polymerase II distal enhancer sequence-specific DNA binding|core promoter binding|chromatin binding|protein binding|histone deacetylase binding|transcription regulatory region DNA binding|poly(A) RNA binding|,12,20,9.28E+09,0.206,0.081472956,0.031166667,19.4894363,0.453,0.01124751,3.318826361,0.026,-0.269,-0.343,0.119,0.477,0.177,NC,7,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.438,1.16,1.046,1.311,1.036,0.891,1.462,1.113,1.096,Q06890,Q06890,Clu,1,44,12,12,Q06890,MOUSE,52282.3,26.1,663,663.1,189.04,189.04,NA,448,Clusterin,extracellular space|intracellular|nucleus|cytoplasm|mitochondrion|endoplasmic reticulum|cytosol|extracellular matrix|mitochondrial membrane|spherical high-density lipoprotein particle|chromaffin granule|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|neurofibrillary tangle|apical dendrite|extracellular matrix|,cell morphogenesis|microglial cell activation|response to virus|protein import|central nervous system myelin maintenance|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|negative regulation of protein homooligomerization|positive regulation of tumor necrosis factor production|positive regulation of apoptotic process|positive regulation of nitric oxide biosynthetic process|protein stabilization|positive regulation of NF-kappaB transcription factor activity|chaperone-mediated protein complex assembly|response to misfolded protein|chaperone-mediated protein folding|microglial cell proliferation|intrinsic apoptotic signaling pathway|regulation of beta-amyloid clearance|regulation of neuron death|positive regulation of neuron death|positive regulation of beta-amyloid formation|negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage|negative regulation of beta-amyloid formation|regulation of neuronal signal transduction|positive regulation of tau-protein kinase activity|positive regulation of neurofibrillary tangle assembly|positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process|positive regulation of intrinsic apoptotic signaling pathway|,protein binding|ubiquitin protein ligase binding|misfolded protein binding|ATPase activity|,12,44,1.40E+10,0.261,6.11E-05,-0.141666667,57.8891609,1.094,1.63E-06,13.1073012,-0.749,-0.714,-0.603,0.411,0.355,0.45,PC,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079,0.301,0.326,0.426,0.645,0.75,0.389,0.566,0.731,P47911,P47911,Rpl6,1,33,17,17,P47911,MOUSE,33566.1,31,674,674.1,186.58,186.58,NA,296,60S ribosomal protein L6,nucleus|nucleolus|cytoplasm|focal adhesion|membrane|cytosolic large ribosomal subunit|cytoplasmic ribonucleoprotein granule|,translation|,structural constituent of ribosome|poly(A) RNA binding|,17,33,1.68E+10,0.31,0.082192925,0.073666667,19.39444691,0.468,0.011496226,3.303750362,0.001,-0.177,-0.305,0.027,0.472,0.424,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.485,0.649,0.248,0.856,1.049,0.628,0.482,0.684,0.312,Q60996,Q60996,Ppp2r5c,1,4,5,2,Q60996|Q60996-4|Q60996-3|Q60996-2,MOUSE,61222.7,11,713,713.2,56.77,21.89,NA,524,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,"protein phosphatase type 2A complex|chromosome, centromeric region|nucleus|","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest|negative regulation of cell proliferation|regulation of protein phosphatase type 2A activity|intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|proteasome-mediated ubiquitin-dependent protein catabolic process|",protein binding|protein phosphatase type 2A regulator activity|,2,4,1.16E+08,0.04,0.031332328,-0.090166667,25.15462201,0.564333333,0.003051672,4.261266739,-0.371,-0.559,-0.187,0.05,0.401,0.125,undefined,7,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.801,0.56,0.326,0.453,0.35,0.219,0.613,0.426,0.187,Q8BNA6,Q8BNA6,Fat3,1,18,15,14,Q8BNA6|E9QK16|Q8BNA6-2|Q8BNA6-3,MOUSE,505310.7,4,725,725.2,130.98,124.18,NA,4555,Protocadherin Fat 3,plasma membrane|integral component of membrane|dendrite|,cell morphogenesis involved in differentiation|neuron migration|homophilic cell adhesion via plasma membrane adhesion molecules|retina layer formation|negative regulation of dendrite development|,calcium ion binding|,14,18,7.53E+08,0.038,0.023219959,-0.079333333,26.65610529,0.422666667,0.00215968,4.528130373,-0.371,-0.334,-0.167,0.223,0.077,0.096,undefined,5,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.531,1.383,1.093,1.24,0.881,0.614,1.592,1.269,0.873,O08532,O08532,Cacna2d1,1,23,16,16,O08532|E9Q1X8|O08532-5|O08532-4|O08532-2|O08532-3|Q8C6Y3,MOUSE,125768.9,18,739,739.1,170.74,170.74,NA,1103,Voltage-dependent calcium channel subunit alpha-2/delta-1,voltage-gated calcium channel complex|sarcoplasmic reticulum|T-tubule|extracellular exosome|,calcium ion transport|regulation of ion transmembrane transport|regulation of calcium ion transport|calcium ion transmembrane transport|,voltage-gated calcium channel activity|calcium channel regulator activity|protein binding|metal ion binding|voltage-gated calcium channel activity|,16,23,7.10E+08,0.18,0.000776925,-0.091,43.78701928,1.066,4.18E-05,8.344305462,-0.757,-0.698,-0.417,0.608,0.269,0.449,undefined,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.921,0.976,0.416,-0.17,-0.195,-0.743,0.731,0.679,0.178,P67778,P67778,Phb,1,28,12,12,P67778,MOUSE,29876.6,58,751,751.1,169.26,169.26,NA,272,Prohibitin,nucleus|nucleoplasm|cytoplasm|mitochondrion|mitochondrial inner membrane|early endosome|plasma membrane|integral component of plasma membrane|cell surface|membrane|mitochondrial crista|extrinsic component of mitochondrial outer membrane|myelin sheath|extracellular exosome|,"negative regulation of transcription from RNA polymerase II promoter|ovarian follicle development|ovarian follicle atresia|osteoblast differentiation|regulation of transcription, DNA-templated|mitochondrion organization|negative regulation of cell proliferation|negative regulation of transcription by competitive promoter binding|histone deacetylation|negative regulation of cell growth|organ regeneration|response to immobilization stress|negative regulation of protein catabolic process|response to drug|negative regulation of apoptotic process|response to peptide hormone|response to ethanol|positive regulation of G-protein coupled receptor protein signaling pathway|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of complement activation|protein stabilization|progesterone receptor signaling pathway|negative regulation of androgen receptor signaling pathway|negative regulation of ERK1 and ERK2 cascade|positive regulation of ERK1 and ERK2 cascade|cellular response to interleukin-6|DNA biosynthetic process|negative regulation of glucocorticoid receptor signaling pathway|",sequence-specific DNA binding RNA polymerase II transcription factor activity|complement component C3a binding|complement component C3b binding|protein C-terminus binding|enzyme binding|proteinase activated receptor binding|histone deacetylase binding|transcription regulatory region DNA binding|,12,28,1.04E+10,0.58,0.675723702,0.116,4.208287195,0.284666667,0.379464612,0.933991349,-0.062,-0.334,0.317,0.739,-0.441,0.477,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.362,0.756,0.469,0.336,0.557,0.355,0.318,0.53,0.41,O54991,O54991,Cntnap1,1,25,16,16,O54991,MOUSE,158305.7,15.5,785,785.1,165.58,165.58,NA,1385,Contactin-associated protein 1,plasma membrane|integral component of membrane|paranode region of axon|myelin sheath|voltage-gated potassium channel complex|,protein localization to paranode region of axon|cytoskeleton organization|cell adhesion|neuronal action potential propagation|paranodal junction assembly|neuron projection development|neuron projection morphogenesis|neuromuscular process controlling posture|neuromuscular process controlling balance|,SH3 domain binding|,16,25,4.40E+09,0.155,0.027729924,-0.017333333,25.75139383,0.438,0.002659871,4.366359256,-0.131,-0.361,-0.217,0.33,0.139,0.136,undefined,5,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.795,0.53,0.262,0.819,0.417,0.186,0.821,0.618,0.305,Q80T41,Q80T41,Gabbr2,1,26,12,12,Q80T41,MOUSE,106691.4,17,791,791.1,164.03,164.03,NA,940,Gamma-aminobutyric acid type B receptor subunit 2,cytoplasm|integral component of plasma membrane|cell junction|G-protein coupled receptor heterodimeric complex|neuron projection|postsynaptic membrane|,gamma-aminobutyric acid signaling pathway|,protein binding|G-protein coupled GABA receptor activity|,12,26,2.45E+09,0.17,0.040556469,-0.119333333,23.72256521,0.498666667,0.004243688,4.014030846,-0.603,-0.361,-0.142,0.136,0.068,0.186,undefined,5,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.787,1.437,1.271,1.953,1.431,1.271,2.025,1.819,1.599,P55066,P55066,Ncan,1,25,17,17,P55066|A0A0R4IZX5,MOUSE,139137.7,13.9,801,801.1,161.15,161.15,NA,1268,Neurocan core protein,proteinaceous extracellular matrix|plasma membrane|,skeletal system development|cell adhesion|central nervous system development|regulation of synapse structural plasticity|,calcium ion binding|hyaluronic acid binding|carbohydrate binding|,17,25,1.95E+09,0.139,0.000100433,-0.187666667,55.06716585,1.608666667,3.11E-06,11.99582197,-1.172,-0.912,-0.892,0.422,0.578,0.85,PC,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
