"","id","adj.P.Val.xBirACre.over.NoBirA","AveExpr.xBirACre.over.NoBirA","Log.P.Value.xBirACre.over.NoBirA","logFC.xBirACre.over.NoBirA","P.Value.xBirACre.over.NoBirA","t.xBirACre.over.NoBirA","PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian","PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian","PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian","PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian","PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian","PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian","id.query","id.mapped","id.concat","accession_number","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","PlexesSearchedTogether_correct.unique_peptides","PlexesSearchedTogether_correct.numSpectra","PlexesSearchedTogether_correct.totalIntensity","PlexesSearchedTogether_correct.pct_cov"
"240","Q8CJH3",0.00010426,-0.914666667,51.16616783,4.018666667,7.6451e-06,10.88023493,-3.3,-2.655,-2.817,1.163,1.207,0.914,"Q8CJH3","Plxnb1","Q8CJH3_Plxnb1","Q8CJH3","Plxnb1",1,38,11,11,"Q8CJH3","MOUSE",234738.4,5.9,209,209.1,141.26,141.26,NA,2119,"Plexin-B1","semaphorin receptor complex|integral component of plasma membrane|","negative regulation of cell adhesion|regulation of cell shape|positive regulation of phosphatidylinositol 3-kinase signaling|negative regulation of osteoblast proliferation|positive regulation of GTPase activity|ossification involved in bone maturation|neuron projection morphogenesis|positive regulation of axonogenesis|regulation of cytoskeleton organization|semaphorin-plexin signaling pathway|semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis|","protein binding|semaphorin receptor activity|GTPase activating protein binding|",11,38,1.54e+09,"5.9%"
"241","Q5MJS3",0.000134728,-0.847166667,43.28099034,3.711,4.69787e-05,8.379534363,-2.778,-1.996,-3.334,1.17,0.945,0.91,"Q5MJS3","Fam20c","Q5MJS3_Fam20c","Q5MJS3","Fam20c",1,27,11,11,"Q5MJS3|Q8CID3","MOUSE",66392.3,17.4,210,210.1,141.04,141.04,NA,579,"Extracellular serine/threonine protein kinase FAM20C","extracellular space|Golgi apparatus|extracellular exosome|","skeletal system development|protein phosphorylation|positive regulation of bone mineralization|biomineral tissue development|osteoclast maturation|regulation of fibroblast growth factor receptor signaling pathway|positive regulation of osteoblast differentiation|regulation of phosphorus metabolic process|enamel mineralization|odontoblast differentiation|dentinogenesis|","protein serine/threonine kinase activity|calcium ion binding|manganese ion binding|",11,27,1.57e+09,"17.4%"
"242","P70428",0.00010426,-0.785,46.85600628,3.598,2.06253e-05,9.443692528,-2.767,-2.121,-2.864,1.19,0.935,0.917,"P70428","Ext2","P70428_Ext2","P70428","Ext2",1,28,11,11,"P70428|V9GX32|E9Q1M5","MOUSE",82804.6,20.1,211,211.1,141.04,141.04,NA,718,"Exostosin-2","Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|Golgi apparatus|membrane|integral component of membrane|UDP-N-acetylglucosamine transferase complex|extracellular exosome|","ossification|mesoderm formation|glycosaminoglycan biosynthetic process|protein glycosylation|heparan sulfate proteoglycan biosynthetic process|heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process|cell differentiation|cellular polysaccharide biosynthetic process|","acetylglucosaminyltransferase activity|glucuronosyltransferase activity|transferase activity, transferring glycosyl groups|heparan sulfate N-acetylglucosaminyltransferase activity|protein homodimerization activity|metal ion binding|protein heterodimerization activity|glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity|N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity|acetylglucosaminyltransferase activity|",11,28,2.98e+08,"20.1%"
"243","P51885",0.00010426,-0.985833333,52.16774538,3.889666667,6.07051e-06,11.24057197,-3.038,-2.702,-3.052,1.003,0.996,0.878,"P51885","Lum","P51885_Lum","P51885","Lum",1,29,10,10,"P51885","MOUSE",38663.6,34.9,213,213.1,136.44,136.44,NA,338,"Lumican","proteinaceous extracellular matrix|fibrillar collagen trimer|extracellular space|extracellular exosome|extracellular matrix|","visual perception|response to organic cyclic compound|collagen fibril organization|positive regulation of transforming growth factor beta1 production|positive regulation of transcription from RNA polymerase II promoter|cartilage development|response to growth factor|","collagen binding|",10,29,4.62e+09,"34.9%"
"244","A0A075B5R5",0.001473376,-0.636666667,29.6085903,3.768666667,0.001094312,5.227462779,-4.011,-2.458,-1.094,1.48,1.387,0.876,"A0A075B5R5","NotFound","A0A075B5R5_NotFound","A0A075B5R5","Ighv4-1",1,40,8,8,"A0A075B5R5|P01807|P01808|P01812|P01806|P01809|P01810|A0A075B5Q2|A0A075B5P7|A0A0A6YWG4","MOUSE",13044.9,69.8,214,214.1,135.49,130.34,NA,116,"Immunoglobulin heavy variable 4-1 (Fragment)","","","",10,40,4.35e+09,"69.8%"
"245","Q61406",0.00010426,-1.157333333,48.8082446,4.644,1.31576e-05,10.0722549,-3.684,-2.701,-4.053,1.455,0.909,1.13,"Q61406","Cfhr1","Q61406_Cfhr1","Q61406","Cfhr1",1,40,10,10,"Q61406","MOUSE",39640.4,34.6,215,215.1,135.19,135.19,NA,343,"Complement factor H-related 1","extracellular exosome|blood microparticle|","","",10,40,5.61e+09,"34.6%"
"246","Q04857",0.00010426,-1.032666667,50.39071661,4.186666667,9.13962e-06,10.60838853,-3.512,-2.593,-3.273,0.95,1.212,1.02,"Q04857","Col6a1","Q04857_Col6a1","Q04857","Col6a1",1,21,11,11,"Q04857","MOUSE",109628.6,12.4,216,216.1,134.47,134.47,NA,1025,"Collagen alpha-1(VI) chain","extracellular region|proteinaceous extracellular matrix|collagen trimer|lysosomal membrane|membrane|extracellular matrix|sarcolemma|protein complex|extracellular exosome|extracellular matrix|","osteoblast differentiation|cell adhesion|endodermal cell differentiation|protein heterotrimerization|cellular response to amino acid stimulus|","platelet-derived growth factor binding|",11,21,1.09e+09,"12.4%"
"247","P01592",0.00010426,-1.044166667,52.3730322,4.233,5.79024e-06,11.31573926,-3.378,-2.734,-3.37,0.934,1.221,1.062,"P01592","Jchain","P01592_Jchain","P01592","Jchain",1,70,10,10,"P01592","MOUSE",18469.7,71.6,217,217.1,132.48,132.48,NA,159,"Immunoglobulin J chain","extracellular space|extracellular exosome|monomeric IgA immunoglobulin complex|dimeric IgA immunoglobulin complex|secretory IgA immunoglobulin complex|secretory dimeric IgA immunoglobulin complex|pentameric IgM immunoglobulin complex|blood microparticle|","adaptive immune response|glomerular filtration|humoral immune response|antibacterial humoral response|positive regulation of protein oligomerization|innate immune response|positive regulation of respiratory burst|","antigen binding|IgA binding|protein homodimerization activity|single-stranded DNA binding|phosphatidylcholine binding|immunoglobulin receptor binding|peptidoglycan binding|",10,70,8.73e+10,"71.6%"
"248","O08689",0.00010426,-0.985833333,50.69864012,4.168333333,8.51405e-06,10.71560219,-2.959,-2.704,-3.547,1.152,1.25,0.893,"O08689","Mstn","O08689_Mstn","O08689","Mstn",1,31,11,11,"O08689|A0A087WQL8|Q9Z1W4","MOUSE",43662.3,33.2,218,218.1,131.41,131.41,NA,376,"Growth/differentiation factor 8","extracellular space|cytoplasm|","positive regulation of defense response to virus by host|transforming growth factor beta receptor signaling pathway|response to heat|response to gravity|positive regulation of pathway-restricted SMAD protein phosphorylation|skeletal muscle atrophy|negative regulation of muscle hypertrophy|response to muscle activity|ovulation cycle process|response to testosterone|negative regulation of kinase activity|regulation of apoptotic process|skeletal muscle tissue regeneration|regulation of MAPK cascade|response to estrogen|response to ethanol|negative regulation of myoblast differentiation|positive regulation of transcription, DNA-templated|negative regulation of insulin receptor signaling pathway|muscle cell cellular homeostasis|cell development|negative regulation of skeletal muscle tissue growth|response to electrical stimulus|negative regulation of protein kinase B signaling|SMAD protein signal transduction|cellular response to dexamethasone stimulus|activation of mitophagy in response to mitochondrial depolarization|negative regulation of skeletal muscle satellite cell proliferation|negative regulation of satellite cell differentiation|negative regulation of myoblast proliferation|","receptor binding|cytokine activity|transforming growth factor beta receptor binding|protein binding|growth factor activity|heparin binding|identical protein binding|",11,31,1.09e+09,"33.2%"
"249","P55284",0.00010426,-1.189166667,54.19942711,4.653666667,3.8024e-06,12.00478961,-3.743,-3.032,-3.773,1.226,1.276,0.911,"P55284","Cdh5","P55284_Cdh5","P55284","Cdh5",1,24,11,11,"P55284","MOUSE",88186.6,13.3,219,219.1,131.32,131.32,NA,784,"Cadherin-5","plasma membrane|cell-cell junction|adherens junction|bicellular tight junction|integral component of membrane|cell junction|cell periphery|","blood vessel maturation|homophilic cell adhesion via plasma membrane adhesion molecules|negative regulation of cell proliferation|single organismal cell-cell adhesion|regulation of establishment of cell polarity|","receptor binding|calcium ion binding|protein binding|beta-catenin binding|protein phosphatase binding|ion channel binding|",11,24,1.34e+10,"13.3%"
"250","P06330",0.00010426,-1.2525,46.59088017,4.846333333,2.19236e-05,9.361011629,-3.747,-2.776,-4.504,0.906,1.57,1.036,"P06330","NotFound","P06330_NotFound","P06330","",1,40,9,2,"P06330|P01757|P01756|A0A075B5U6","MOUSE",13048.2,72.8,220,220.1,131.3,28.53,NA,118,"Ig heavy chain V region AC38 205.12","","","antigen binding|",10,40,1.28e+10,"72.8%"
"251","A0A075B5V6",0.006190226,-1.283166667,22.94713978,4.929666667,0.005073247,4.033985855,-6.491,-3.585,-1.168,0.978,1.598,0.969,"A0A075B5V6","NotFound","A0A075B5V6_NotFound","A0A075B5V6","Ighv1-42",1,8,6,2,"A0A075B5V6|A0A075B5V7","MOUSE",10890,55.1,220,220.4,81.61,18.65,NA,98,"Immunoglobulin heavy variable V1-42","","","",2,8,1.05e+10,"15.3%"
"252","A0A075B5U5",0.00010426,-1.277333333,48.65683266,5.184666667,1.36244e-05,10.02223192,-4.61,-2.918,-4.081,0.953,1.652,1.34,"A0A075B5U5","NotFound","A0A075B5U5_NotFound","A0A075B5U5","Ighv1-19",1,6,4,2,"A0A075B5U5","MOUSE",12970.5,41.3,220,220.5,45.47,26.16,NA,116,"Immunoglobulin heavy variable V1-19","","","",2,6,1.54e+08,"30.1%"
"253","E9QPK1",0.00010426,-1,46.91352126,4.156,2.03539e-05,9.461711726,-2.668,-2.737,-3.829,1.003,1.275,0.956,"E9QPK1","Cgref1","E9QPK1_Cgref1","E9QPK1","Cgref1",1,37,9,9,"E9QPK1|Q8R1U2","MOUSE",35428.9,36.9,222,222.1,129.25,129.25,NA,325,"Cell growth regulator with EF hand domain protein 1","","negative regulation of cell growth|","calcium ion binding|",9,37,3e+10,"36.9%"
"254","Q71KU9",0.00010426,-0.696666667,47.31825252,3.465333333,1.85428e-05,9.589354532,-2.609,-2.134,-2.545,0.895,1.26,0.953,"Q71KU9","Fgl1","Q71KU9_Fgl1","Q71KU9","Fgl1",1,36,10,10,"Q71KU9|A0A0R4J0E1|Q3SZZ7","MOUSE",36724.1,26.7,224,224.1,126.83,126.83,NA,314,"Fibrinogen-like protein 1","extracellular exosome|","cholesterol metabolic process|regulation of glucose metabolic process|response to stilbenoid|adipose tissue development|","",10,36,1.31e+09,"26.7%"
"255","P70274",0.000149139,-1.177166667,42.48517526,4.699,5.64264e-05,8.156879082,-3.365,-2.537,-4.678,1.418,1.193,0.906,"P70274","Selenop","P70274_Selenop","P70274","Selenop",1,54,9,9,"P70274","MOUSE",43595.1,20.7,225,225.1,126.38,126.38,NA,380,"Selenoprotein P","extracellular region|extracellular space|extracellular exosome|","selenium compound metabolic process|brain development|locomotory behavior|post-embryonic development|sexual reproduction|growth|","selenium binding|",9,54,1.51e+10,"20.7%"
"256","A0A075B5Y4",0.000124757,-0.646833333,44.22499675,3.923,3.78007e-05,8.650167842,-3.045,-2.568,-2.212,1.041,1.994,0.909,"A0A075B5Y4","NotFound","A0A075B5Y4_NotFound","A0A075B5Y4","Ighv1-81",1,38,9,4,"A0A075B5Y4|A0A0A6YVW3|P06327|A0A075B5X2|A0A075B5W5","MOUSE",13102.5,65.8,226,226.1,126.02,74.75,NA,117,"Immunoglobulin heavy variable 1-81 (Fragment)","","","",9,38,6.51e+09,"65.8%"
"257","A0A0B4J1J7",0.00010426,-0.634666667,47.7898009,3.805333333,1.66349e-05,9.739949757,-2.556,-2.635,-2.421,0.885,1.786,1.133,"A0A0B4J1J7","NotFound","A0A0B4J1J7_NotFound","A0A0B4J1J7","Ighv1-82",1,8,8,4,"A0A0B4J1J7","MOUSE",10763.9,68.3,226,226.2,71.94,38.54,NA,98,"Immunoglobulin heavy variable 1-82","","","",4,8,3.48e+08,"54.0%"
"258","Q9WUB3",0.000558133,-1.1615,34.35207237,4.207666667,0.000367107,6.178730633,-2.654,-2.28,-4.862,1.052,0.861,0.914,"Q9WUB3","Pygm","Q9WUB3_Pygm","Q9WUB3","Pygm",1,23,13,13,"Q9WUB3|E9PUM3|Q8CI94|Q9ET01|Q3UEJ6","MOUSE",97741,17.4,227,227.1,125.14,125.14,NA,842,"Glycogen phosphorylase, muscle form","cytoplasm|sarcoplasmic reticulum|Z disc|extracellular exosome|","response to hypoxia|glycogen catabolic process|cellular calcium ion homeostasis|response to cAMP|","drug binding|glycogen phosphorylase activity|AMP binding|pyridoxal phosphate binding|carbohydrate binding|",13,23,4.73e+08,"17.4%"
"259","A0A075B5R6",0.000184583,-0.660333333,40.9493056,4.338666667,8.03655e-05,7.740848714,-3.816,-2.131,-2.542,1.617,2.048,0.862,"A0A075B5R6","NotFound","A0A075B5R6_NotFound","A0A075B5R6","Ighv11-1",1,26,9,9,"A0A075B5R6|A0A075B5R8","MOUSE",13378.9,51.2,228,228.1,123.54,123.54,NA,117,"Immunoglobulin heavy variable 11-1 (Fragment)","","","",9,26,1.18e+09,"51.2%"
"260","P10493",0.000241179,-0.712666667,39.04271304,3.210666667,0.00012466,7.24825126,-2.711,-1.525,-2.718,0.912,0.899,0.867,"P10493","Nid1","P10493_Nid1","P10493","Nid1",1,25,12,12,"P10493","MOUSE",139387.9,10.6,230,230.1,121.04,121.04,NA,1245,"Nidogen-1","extracellular region|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular matrix|extracellular exosome|cell periphery|extracellular matrix|","cell-matrix adhesion|positive regulation of cell-substrate adhesion|extracellular matrix organization|glomerular basement membrane development|","calcium ion binding|protein binding|collagen binding|laminin binding|laminin-1 binding|proteoglycan binding|extracellular matrix binding|",12,25,4.07e+08,"10.6%"
"261","P39876",0.00010426,-0.784666667,46.95757662,3.715333333,2.01485e-05,9.475534142,-3.136,-2.451,-2.34,1.317,1.014,0.888,"P39876","Timp3","P39876_Timp3","P39876","Timp3",1,32,10,10,"P39876","MOUSE",24923.3,42.1,231,231.1,119.98,119.98,NA,211,"Metalloproteinase inhibitor 3","proteinaceous extracellular matrix|basement membrane|extracellular space|nucleus|cytoplasm|extracellular exosome|extracellular matrix|","central nervous system development|aging|response to mechanical stimulus|response to hormone|negative regulation of endopeptidase activity|response to cytokine|tissue regeneration|response to estrogen|negative regulation of metalloenzyme activity|negative regulation of membrane protein ectodomain proteolysis|response to folic acid|cellular response to organic substance|","protease binding|metalloendopeptidase inhibitor activity|metal ion binding|",10,32,1.41e+09,"42.1%"
"262","Q91VB8",0.000383431,-0.884833333,36.33468473,3.971666667,0.000232558,6.590774757,-4.188,-2.136,-2.288,1.454,0.849,1,"Q91VB8","Hba-a1","Q91VB8_Hba-a1","Q91VB8","Hba-a1",1,76,7,7,"Q91VB8|P01942|P01966","MOUSE",15169,63.3,232,232.1,119.71,119.71,NA,142,"Alpha globin 1","hemoglobin complex|","oxygen transport|","oxygen transporter activity|iron ion binding|oxygen binding|heme binding|",7,76,2.59e+11,"63.3%"
"263","P27656",0.00010426,-1.123833333,48.59596295,4.456333333,1.38167e-05,10.00218348,-3.548,-2.6,-3.908,1.214,1.189,0.91,"P27656","Lipc","P27656_Lipc","P27656","Lipc",1,34,8,8,"P27656|Q3TYU0","MOUSE",58072.5,17.8,233,233.1,119.69,119.69,NA,510,"Hepatic triacylglycerol lipase","extracellular space|high-density lipoprotein particle|","fatty acid biosynthetic process|cholesterol metabolic process|triglyceride catabolic process|cholesterol transport|very-low-density lipoprotein particle remodeling|low-density lipoprotein particle remodeling|high-density lipoprotein particle remodeling|cholesterol homeostasis|triglyceride homeostasis|","triglyceride lipase activity|protein binding|heparin binding|lipase activity|",8,34,2.51e+09,"17.8%"
"264","Q99K41",0.005667343,-0.409333333,23.35515602,3.374,0.004618324,4.047772874,-0.843,-1.543,-3.903,1.837,1.602,0.394,"Q99K41","Emilin1","Q99K41_Emilin1","Q99K41","Emilin1",1,16,10,10,"Q99K41","MOUSE",108895,12.6,234,234.1,118.03,118.03,NA,1017,"EMILIN-1","extracellular region|proteinaceous extracellular matrix|collagen trimer|extracellular matrix|extracellular exosome|extracellular matrix|","cell adhesion|positive regulation of cell-substrate adhesion|extracellular matrix organization|","protein binding|extracellular matrix constituent conferring elasticity|identical protein binding|",10,16,1.58e+08,"12.6%"
"265","P43025",0.000245192,-1.315666667,38.92786774,4.655333333,0.000128001,7.219387683,-3.368,-2.502,-5.06,0.959,1.119,0.958,"P43025","NotFound","P43025_NotFound","P43025","Clec3b",1,25,8,8,"P43025|Q8CFZ6","MOUSE",22656.5,38.6,235,235.1,117.36,117.36,NA,202,"Tetranectin","granular component|proteinaceous extracellular matrix|extracellular space|cytoplasm|extracellular exosome|","skeletal system development|ossification|positive regulation of plasminogen activation|bone mineralization|","calcium ion binding|protein binding|heparin binding|carbohydrate binding|kringle domain binding|",8,25,7.86e+08,"38.6%"
"266","Q02105",0.000110858,-0.471666667,45.48292038,4.344666667,2.82949e-05,9.022173667,-2.66,-2.588,-2.684,1.72,2.509,0.873,"Q02105","C1qc","Q02105_C1qc","Q02105","C1qc",1,69,8,8,"Q02105","MOUSE",26390.5,35.3,237,237.1,115.04,115.04,NA,246,"Complement C1q subcomponent subunit C","collagen trimer|extracellular space|membrane|extracellular exosome|blood microparticle|","complement activation, classical pathway|negative regulation of granulocyte differentiation|innate immune response|negative regulation of macrophage differentiation|","tumor necrosis factor receptor binding|",8,69,1.58e+11,"35.3%"
"267","F8VQJ3",0.00020518,-1.382666667,40.2397569,4.804666667,9.4629e-05,7.554521119,-3.38,-2.763,-5.212,1.145,0.896,1.018,"F8VQJ3","Lamc1","F8VQJ3_Lamc1","F8VQJ3","Lamc1",1,14,10,10,"F8VQJ3|P02468","MOUSE",182889.8,8.2,238,238.1,113.75,113.75,NA,1607,"Laminin subunit gamma-1","basement membrane|basal lamina|laminin-1 complex|extracellular matrix|laminin-10 complex|extracellular exosome|basement membrane|extracellular matrix|","protein complex assembly|cell adhesion|cell migration|extracellular matrix disassembly|neuron projection development|hemidesmosome assembly|substrate adhesion-dependent cell spreading|","extracellular matrix structural constituent|protein binding|glycosphingolipid binding|",10,14,3.26e+08,"8.2%"
"268","Q62356",0.000638995,-0.681166667,33.62827462,3.385666667,0.000433683,5.978859387,-3.469,-2.342,-1.311,1.015,1.071,0.949,"Q62356","Fstl1","Q62356_Fstl1","Q62356","Fstl1",1,17,8,8,"Q62356","MOUSE",35694.4,31.3,239,239.1,112.44,112.44,NA,306,"Follistatin-related protein 1","extracellular space|extracellular exosome|","response to starvation|","calcium ion binding|protein binding|heparin binding|",8,17,4.76e+08,"31.3%"
"269","Q8VCS0",0.000105478,-0.810666667,46.14808515,3.973333333,2.42768e-05,9.22431151,-3.327,-2.22,-2.845,1.504,1.166,0.858,"Q8VCS0","Pglyrp2","Q8VCS0_Pglyrp2","Q8VCS0","Pglyrp2",1,29,7,7,"Q8VCS0|Q8VCS0-2|Q8VCS0-3","MOUSE",58219.2,18.3,241,241.1,111.3,111.3,NA,530,"N-acetylmuramoyl-L-alanine amidase","membrane|extracellular exosome|","pattern recognition receptor signaling pathway|peptidoglycan catabolic process|detection of bacterium|negative regulation of interferon-gamma production|negative regulation of natural killer cell differentiation involved in immune response|growth of symbiont in host|regulation of inflammatory response|defense response to Gram-positive bacterium|","zinc ion binding|N-acetylmuramoyl-L-alanine amidase activity|peptidoglycan receptor activity|peptidoglycan binding|",7,29,1.41e+09,"18.3%"
"270","Q91ZA3",0.008042931,-0.232833333,21.72454387,1.729666667,0.006722729,3.711741854,-0.506,-1.097,-1.69,1.157,0.19,0.549,"Q91ZA3","Pcca","Q91ZA3_Pcca","Q91ZA3","Pcca",1,19,11,11,"Q91ZA3","MOUSE",80547.9,17.8,242,242.1,110.69,110.69,NA,724,"Propionyl-CoA carboxylase alpha chain, mitochondrial","mitochondrion|mitochondrial matrix|","metabolic process|","biotin carboxylase activity|propionyl-CoA carboxylase activity|ATP binding|enzyme binding|metal ion binding|",11,19,1.6e+08,"17.8%"
"271","Q8QZR4",0.00269294,-1.689333333,26.77043954,5.718666667,0.002103566,4.764901466,-3.826,-2.376,-7.444,1.603,1.022,0.885,"Q8QZR4","Oaf","Q8QZR4_Oaf","Q8QZR4","Oaf",1,16,8,8,"Q8QZR4","MOUSE",32151.3,26.2,243,243.1,110.22,110.22,NA,282,"Out at first protein homolog","extracellular exosome|","","",8,16,1.51e+09,"26.2%"
"272","O88200",0.00010426,-0.915666667,49.75602858,3.770666667,1.05778e-05,10.39040312,-3.121,-2.462,-2.82,0.968,1.018,0.923,"O88200","Clec11a","O88200_Clec11a","O88200","Clec11a",1,22,11,11,"O88200","MOUSE",36793.1,38.4,244,244.1,110.07,110.07,NA,328,"C-type lectin domain family 11 member A","extracellular region|extracellular space|cytoplasm|","positive regulation of cell proliferation|","growth factor activity|carbohydrate binding|",11,22,1.33e+09,"38.4%"
"273","Q91XL1",0.000104681,-0.8885,46.47186742,3.716333333,2.25327e-05,9.32410004,-3.302,-2.641,-2.297,0.97,0.922,1.017,"Q91XL1","Lrg1","Q91XL1_Lrg1","Q91XL1","Lrg1",1,55,8,8,"Q91XL1","MOUSE",37829.6,23.9,245,245.1,109.05,109.05,NA,342,"Leucine-rich HEV glycoprotein","extracellular space|extracellular exosome|","positive regulation of endothelial cell proliferation|positive regulation of transforming growth factor beta receptor signaling pathway|positive regulation of angiogenesis|brown fat cell differentiation|","transforming growth factor beta receptor binding|",8,55,1.49e+10,"23.9%"
"274","Q99P87",0.000112595,-1.276333333,45.04075489,4.578666667,3.13274e-05,8.889900523,-3.373,-2.754,-4.57,1.097,0.938,1.004,"Q99P87","Retn","Q99P87_Retn","Q99P87","Retn",1,28,7,7,"Q99P87","MOUSE",13119,62.2,246,246.1,108.2,108.2,NA,114,"Resistin","extracellular region|extracellular space|extracellular exosome|","","hormone activity|",7,28,8.71e+09,"62.2%"
"275","A0A0B4J1H7",0.000401427,-1.1925,36.05292526,5.498333333,0.000248146,6.693264246,-3.38,-2.641,-5.804,0.899,1.875,1.896,"A0A0B4J1H7","NotFound","A0A0B4J1H7_NotFound","A0A0B4J1H7","Igkv1-135",1,39,9,9,"A0A0B4J1H7","MOUSE",13419.1,45.8,247,247.1,107.88,107.88,NA,120,"Immunoglobulin kappa variable 1-135 (Fragment)","","","",9,39,1.01e+10,"45.8%"
"276","A0A0B4J1H9",0.00061088,-0.261166667,33.86109564,3.012333333,0.000411046,6.029840095,-1.226,-1.782,-2.294,0.977,0.722,2.036,"A0A0B4J1H9","NotFound","A0A0B4J1H9_NotFound","A0A0B4J1H9","Igkv1-132",1,7,3,3,"A0A0B4J1H9","MOUSE",13548.3,33.3,247,247.2,29.39,29.39,NA,120,"Immunoglobulin kappa variable 1-132 (Fragment)","","","",3,7,71600000,"33.3%"
"277","Q80VA0-2",0.000104681,-1.261333333,46.37662405,4.784,2.30323e-05,9.294650662,-3.657,-2.751,-4.552,1.335,1.149,0.908,"Q80VA0","Galnt7","Q80VA0-2_Galnt7","Q80VA0-2","Galnt7",1,25,11,11,"Q80VA0-2|Q80VA0|Q80VA0-3","MOUSE",76183.4,14.3,248,248.1,106.19,106.19,NA,657,"Isoform 2 of N-acetylgalactosaminyltransferase 7","Golgi membrane|membrane|integral component of membrane|extracellular exosome|","protein O-linked glycosylation|","polypeptide N-acetylgalactosaminyltransferase activity|carbohydrate binding|metal ion binding|",11,25,7.98e+08,"14.3%"
"278","Q8BI84",0.000195315,-0.8295,40.58294773,3.798333333,8.7439e-05,7.644190051,-3.556,-2.799,-1.831,1.039,0.998,1.172,"Q8BI84","Mia3","Q8BI84_Mia3","Q8BI84","Mia3",1,26,11,11,"Q8BI84|Q8BI84-2|J3KMH5|Q8BI84-3","MOUSE",214298.7,7,249,249.1,105.88,105.88,NA,1930,"Transport and Golgi organization protein 1 homolog","endoplasmic reticulum membrane|membrane|integral component of membrane|intracellular membrane-bounded organelle|","chondrocyte development|positive regulation of leukocyte migration|exocytosis|negative regulation of cell adhesion|protein transport|collagen fibril organization|negative regulation of cell migration|positive regulation of bone mineralization|wound healing|","",11,26,8.85e+09,"7.0%"
"279","Q02788",0.00010426,-1.0385,49.36578753,4.013,1.15723e-05,10.25835144,-3.324,-2.495,-3.316,0.941,0.926,1.037,"Q02788","Col6a2","Q02788_Col6a2","Q02788","Col6a2",1,24,10,10,"Q02788|D3Z7D5","MOUSE",111473.4,8.6,250,250.1,105.85,105.85,NA,1034,"Collagen alpha-2(VI) chain","extracellular region|proteinaceous extracellular matrix|collagen trimer|extracellular space|extracellular matrix|sarcolemma|protein complex|extracellular exosome|extracellular vesicle|extracellular matrix|","cell adhesion|response to glucose|protein heterotrimerization|","",10,24,8.72e+08,"8.6%"
"280","Q8C7G5",0.000106884,-1.003,45.91212208,4,2.56323e-05,9.152166285,-3.246,-2.281,-3.482,1.22,0.916,0.855,"Q8C7G5","Apoa5","Q8C7G5_Apoa5","Q8C7G5","Apoa5",1,20,8,8,"Q8C7G5|A0A1L1SQP3|A0A1L1SV61","MOUSE",41318.5,25,251,251.1,104.54,104.54,NA,368,"Apolipoprotein A-V","extracellular region|extracellular space|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|blood microparticle|","triglyceride metabolic process|cholesterol biosynthetic process|lipid transport|response to hormone|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|positive regulation of very-low-density lipoprotein particle remodeling|triglyceride catabolic process|regulation of intestinal cholesterol absorption|organ regeneration|neuron projection regeneration|cholesterol efflux|phospholipid efflux|triglyceride-rich lipoprotein particle remodeling|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|lipoprotein metabolic process|tissue regeneration|cholesterol homeostasis|reverse cholesterol transport|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipid catabolic process|positive regulation of lipoprotein lipase activity|acylglycerol homeostasis|triglyceride homeostasis|","phospholipid binding|enzyme activator activity|heparin binding|lipid binding|cholesterol binding|cholesterol transporter activity|enzyme binding|phosphatidylcholine binding|lipase binding|low-density lipoprotein particle receptor binding|phosphatidylcholine-sterol O-acyltransferase activator activity|lipase activator activity|lipoprotein lipase activator activity|lipoprotein particle receptor binding|",8,20,4.57e+08,"25.0%"
