"Amanda_newDatabase, 126:127, NoBirA_6:BirA/Cre_3","Amanda_newDatabase, 126:128, NoBirA_6:NoBirA_4","Amanda_newDatabase, 126:129, NoBirA_6:NoBirA_5","Amanda_newDatabase, 126:130, NoBirA_6:BirA/Cre_2","Amanda_newDatabase, 126:131, NoBirA_6:BirA/Cre_1","Amanda_newDatabase, 127:126, BirA/Cre_3:NoBirA_6","Amanda_newDatabase, 127:128, BirA/Cre_3:NoBirA_4","Amanda_newDatabase, 127:129, BirA/Cre_3:NoBirA_5","Amanda_newDatabase, 127:130, BirA/Cre_3:BirA/Cre_2","Amanda_newDatabase, 127:131, BirA/Cre_3:BirA/Cre_1","Amanda_newDatabase, 128:126, NoBirA_4:NoBirA_6","Amanda_newDatabase, 128:127, NoBirA_4:BirA/Cre_3","Amanda_newDatabase, 128:129, NoBirA_4:NoBirA_5","Amanda_newDatabase, 128:130, NoBirA_4:BirA/Cre_2","Amanda_newDatabase, 128:131, NoBirA_4:BirA/Cre_1","Amanda_newDatabase, 129:126, NoBirA_5:NoBirA_6","Amanda_newDatabase, 129:127, NoBirA_5:BirA/Cre_3","Amanda_newDatabase, 129:128, NoBirA_5:NoBirA_4","Amanda_newDatabase, 129:130, NoBirA_5:BirA/Cre_2","Amanda_newDatabase, 129:131, NoBirA_5:BirA/Cre_1","Amanda_newDatabase, 130:126, BirA/Cre_2:NoBirA_6","Amanda_newDatabase, 130:127, BirA/Cre_2:BirA/Cre_3","Amanda_newDatabase, 130:128, BirA/Cre_2:NoBirA_4","Amanda_newDatabase, 130:129, BirA/Cre_2:NoBirA_5","Amanda_newDatabase, 130:131, BirA/Cre_2:BirA/Cre_1","Amanda_newDatabase, 131:126, BirA/Cre_1:NoBirA_6","Amanda_newDatabase, 131:127, BirA/Cre_1:BirA/Cre_3","Amanda_newDatabase, 131:128, BirA/Cre_1:NoBirA_4","Amanda_newDatabase, 131:129, BirA/Cre_1:NoBirA_5","Amanda_newDatabase, 131:130, BirA/Cre_1:BirA/Cre_2",id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase unique_peptides,Amanda_newDatabase numSpectra,Amanda_newDatabase totalIntensity,Amanda_newDatabase pct_cov
-5.49,0.166,1.639,-5.213,-5.198,5.49,4.548,7.135,0.402,0.355,-0.166,-4.548,1.144,-4.022,-4.409,-1.639,-7.135,-1.144,-6.541,-6.868,5.213,-0.402,4.022,6.541,0.012,5.198,-0.355,4.409,6.868,-0.012,Q8R357,Q8R357,Olfm1,1,8,6,6,Q8R357|O88998|G3X9Q7|O88998-3|A3KGE4|O88998-2|O88998-4,MOUSE,55769.1,13.6,256,256.1,79.67,79.67,,485,Noelin,extracellular space|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|synaptic membrane|,atrioventricular valve formation|positive regulation of gene expression|negative regulation of gene expression|positive regulation of epithelial to mesenchymal transition|protein oligomerization|cardiac epithelial to mesenchymal transition|regulation of beta-amyloid formation|negative regulation of beta-amyloid formation|negative regulation of neuron migration|,beta-amyloid binding|protein binding|,6,8,3.47E+08,13.60%
0.112,3.314,1.114,0.088,0.015,-0.112,2.982,2.367,-0.012,-0.042,-3.314,-2.982,1.203,-2.46,-2.669,-1.114,-2.367,-1.203,-0.799,-2.077,-0.088,0.012,2.46,0.799,0.053,-0.015,0.042,2.669,2.077,-0.053,P05366,P05366,Saa1,1,17,6,5,P05366|P04918,MOUSE,13884.1,50,257,257.1,79.08,68.17,,122,Serum amyloid A-1 protein,extracellular space|cytosol|cytoplasmic microtubule|high-density lipoprotein particle|extracellular exosome|,acute-phase response|cholesterol metabolic process|positive chemotaxis|cell chemotaxis|,G-protein coupled receptor binding|protein binding|heparin binding|chemoattractant activity|,6,17,1.32E+09,50.00%
0.932,3.108,4.274,1.997,1.185,-0.932,2.065,2.1,0.646,-0.076,-3.108,-2.065,0.444,-0.786,-1.943,-4.274,-2.1,-0.444,-1.725,-2.232,-1.997,-0.646,0.786,1.725,-0.829,-1.185,0.076,1.943,2.232,0.829,P05367,P05367,Saa2,1,7,5,4,P05367|A0A1B0GQV5,MOUSE,13736,36,257,257.2,54.06,43.15,,122,Serum amyloid A-2 protein,extracellular space|cytosol|cytoplasmic microtubule|high-density lipoprotein particle|extracellular exosome|,acute-phase response|response to stilbenoid|positive chemotaxis|cell chemotaxis|,G-protein coupled receptor binding|protein binding|chemoattractant activity|,4,7,3.47E+08,27.80%
-3.502,-0.044,-0.039,-2.62,-3.349,3.502,4.8,2.818,0.651,0.379,0.044,-4.8,-0.333,-4.285,-4.404,0.039,-2.818,0.333,-2.198,-2.648,2.62,-0.651,4.285,2.198,-0.101,3.349,-0.379,4.404,2.648,0.101,Q9CZT5,Q9CZT5,Vasn,1,8,7,7,Q9CZT5,MOUSE,73401,12.3,258,258.1,78.48,78.48,,673,Vasorin,extracellular space|mitochondrion|lysosomal membrane|plasma membrane|cell surface|integral component of membrane|extracellular exosome|,negative regulation of epithelial to mesenchymal transition|negative regulation of transforming growth factor beta receptor signaling pathway|cellular response to hypoxia|cellular response to redox state|,protein binding|transforming growth factor beta binding|,7,8,1.63E+08,12.30%
-5.588,0.67,2.456,-5.381,-5.168,5.588,5.785,7.532,0.243,0.418,-0.67,-5.785,-0.381,-5.337,-5.454,-2.456,-7.532,0.381,-7.305,-7.146,5.381,-0.243,5.337,7.305,0.215,5.168,-0.418,5.454,7.146,-0.215,Q80VA0-2,Q80VA0-2,Galnt7,1,13,8,8,Q80VA0-2|Q80VA0|Q80VA0-3,MOUSE,76183.4,10.9,259,259.1,77.97,77.97,,657,Isoform 2 of N-acetylgalactosaminyltransferase 7,Golgi membrane|membrane|integral component of membrane|extracellular exosome|,protein O-linked glycosylation|,polypeptide N-acetylgalactosaminyltransferase activity|carbohydrate binding|metal ion binding|,8,13,3.99E+08,10.90%
-1.913,1.109,0.492,-1.37,-1.437,1.913,2.949,2.553,1.083,0.632,-1.109,-2.949,-0.613,-2.002,-2.125,-0.492,-2.553,0.613,-1.831,-1.964,1.37,-1.083,2.002,1.831,-0.428,1.437,-0.632,2.125,1.964,0.428,Q91ZA3,Q91ZA3,Pcca,1,9,7,7,Q91ZA3,MOUSE,80547.9,11.4,260,260.1,77.09,77.09,,724,"Propionyl-CoA carboxylase alpha chain, mitochondrial",mitochondrion|mitochondrial matrix|,metabolic process|,biotin carboxylase activity|propionyl-CoA carboxylase activity|ATP binding|enzyme binding|metal ion binding|,7,9,61700000,11.40%
-5.602,1.11,-1.412,-4.224,-5.548,5.602,4.882,4.095,1.192,-0.039,-1.11,-4.882,-0.156,-3.885,-3.932,1.412,-4.095,0.156,-2.699,-4.123,4.224,-1.192,3.885,2.699,-1.257,5.548,0.039,3.932,4.123,1.257,Q61171,Q61171,Prdx2,1,9,7,7,Q61171,MOUSE,21949.4,39.3,261,261.1,76.73,76.73,,198,Peroxiredoxin-2,mitochondrion|myelin sheath|extracellular exosome|,activation of MAPK activity|respiratory burst involved in inflammatory response|response to oxidative stress|regulation of hydrogen peroxide metabolic process|removal of superoxide radicals|positive regulation of blood coagulation|negative regulation of lipopolysaccharide-mediated signaling pathway|negative regulation of NF-kappaB transcription factor activity|response to lipopolysaccharide|cellular response to oxidative stress|T cell proliferation|hydrogen peroxide metabolic process|hydrogen peroxide catabolic process|regulation of apoptotic process|negative regulation of T cell differentiation|thymus development|homeostasis of number of cells|oxidation-reduction process|negative regulation of reactive oxygen species metabolic process|negative regulation of extrinsic apoptotic signaling pathway|negative regulation of extrinsic apoptotic signaling pathway in absence of ligand|,peroxidase activity|protein binding|thioredoxin peroxidase activity|selenium binding|antioxidant activity|,7,9,7.25E+08,39.30%
-5.417,3.369,3.117,-5.743,-5.759,5.417,5.8,7.44,-0.239,-0.078,-3.369,-5.8,3.999,-6.039,-5.814,-3.117,-7.44,-3.999,-6.644,-6.602,5.743,0.239,6.039,6.644,0.007,5.759,0.078,5.814,6.602,-0.007,P01843,P01843,,1,16,4,4,A0A0G2JE99|P01843,MOUSE,11745.8,64.7,262,262.1,76.27,76.27,,105,Ig lambda-1 chain C region,plasma membrane|,,antigen binding|,4,16,6.88E+09,64.70%
-4.384,0.841,1.533,-4.028,-4.328,4.384,2.796,4.381,0.288,0.054,-0.841,-2.796,0.908,-2.576,-2.836,-1.533,-4.381,-0.908,-4.019,-4.28,4.028,-0.288,2.576,4.019,-0.216,4.328,-0.054,2.836,4.28,0.216,Q02788,Q02788,Col6a2,1,13,7,7,Q02788|D3Z7D5,MOUSE,111473.4,5.6,263,263.1,75.9,75.9,,1034,Collagen alpha-2(VI) chain,extracellular region|proteinaceous extracellular matrix|collagen trimer|extracellular space|extracellular matrix|sarcolemma|protein complex|extracellular exosome|extracellular vesicle|extracellular matrix|,cell adhesion|response to glucose|protein heterotrimerization|,,7,13,5.02E+08,5.60%
-5.756,-1.442,0.18,-6.206,-5.645,5.756,4.741,6.063,-0.475,-0.088,1.442,-4.741,-1.716,-4.829,-4.348,-0.18,-6.063,1.716,-6.445,-5.61,6.206,0.475,4.829,6.445,0.598,5.645,0.088,4.348,5.61,-0.598,P01631,P01631,,1,23,5,5,P01631|A0A140T8M0|A0A0B4J1I0|A0A075B5K8|A0A140T8N1|A0A140T8M9|A0A075B5N0,MOUSE,12386.7,40.7,264,264.1,75.81,75.81,,113,Ig kappa chain V-II region 26-10,,,antigen binding|,5,23,3.28E+10,40.70%
-3.074,1.921,1.775,-2.896,-3.172,3.074,4.756,4.695,-0.31,-0.418,-1.921,-4.756,0.775,-5.538,-5.429,-1.775,-4.695,-0.775,-4.223,-4.521,2.896,0.31,5.538,4.223,0.04,3.172,0.418,5.429,4.521,-0.04,E9QPU1,E9QPU1,Vwf,1,11,7,7,E9QPU1|Q8CIZ8,MOUSE,322558.9,2.4,265,265.1,74.77,74.77,,2813,von Willebrand factor,extracellular region|proteinaceous extracellular matrix|endoplasmic reticulum|external side of plasma membrane|extracellular matrix|Weibel-Palade body|extracellular exosome|,liver development|placenta development|cell adhesion|blood coagulation|hemostasis|platelet activation|cell-substrate adhesion|protein homooligomerization|platelet activation|,glycoprotein binding|protease binding|integrin binding|protein binding|collagen binding|immunoglobulin binding|identical protein binding|protein homodimerization activity|protein N-terminus binding|chaperone binding|,7,11,5.37E+08,2.40%
-4.614,1.229,1.584,-4.729,-4.785,4.614,4.96,5.655,-0.106,-0.207,-1.229,-4.96,0.355,-5.066,-5.499,-1.584,-5.655,-0.355,-5.716,-5.981,4.729,0.106,5.066,5.716,-0.096,4.785,0.207,5.499,5.981,0.096,Q91YW3,Q91YW3,Dnajc3,1,7,7,7,Q91YW3,MOUSE,57919.4,12.6,266,266.1,72.9,72.9,,504,DnaJ homolog subfamily C member 3,cytoplasm|endoplasmic reticulum lumen|smooth endoplasmic reticulum|cytosol|membrane|extracellular exosome|extracellular vesicle|endoplasmic reticulum Sec complex|,negative regulation of protein kinase activity|endoplasmic reticulum unfolded protein response|negative regulation of apoptotic process|proteolysis involved in cellular protein catabolic process|negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation|negative regulation of cyclin-dependent protein kinase activity|,protein binding|chaperone binding|misfolded protein binding|,7,7,1.76E+08,12.60%
-5.031,-0.306,0.684,-4.602,-4.036,5.031,4.251,4.696,0.48,1.035,0.306,-4.251,1.673,-3.697,-3.132,-0.684,-4.696,-1.673,-4.091,-3.95,4.602,-0.48,3.697,4.091,0.447,4.036,-1.035,3.132,3.95,-0.447,E9QP56,E9QP56,Apoc3,1,25,4,4,E9QP56|P33622|A0A0R4J1N3,MOUSE,15162.8,36.4,267,267.1,71.64,71.64,,137,Apolipoprotein C-III,extracellular region|,triglyceride metabolic process|triglyceride mobilization|lipid transport|cholesterol metabolic process|triglyceride catabolic process|lipoprotein metabolic process|,lipid binding|,4,25,1.50E+10,36.40%
-5.395,0.012,1.537,-5.856,-5.849,5.395,5.292,5.854,-0.517,-0.449,-0.012,-5.292,-0.66,-6.055,-5.922,-1.537,-5.854,0.66,-6.095,-6.022,5.856,0.517,6.055,6.095,0.007,5.849,0.449,5.922,6.022,-0.007,P01645,P01645,,1,15,6,5,P01645|P01644|P01646|P01647|A0A140T8M1|P01648|P01643|P01649|A0A075B5L0,MOUSE,12068.2,58.3,268,268.1,71.3,60.46,,108,Ig kappa chain V-V region HP 93G7,,,antigen binding|,7,15,2.59E+09,58.30%
-3.411,2.162,-0.251,-2.799,-2.95,3.411,5.573,3.16,0.61,0.476,-2.162,-5.573,-2.413,-4.962,-5.112,0.251,-3.16,2.413,-2.548,-2.699,2.799,-0.61,4.962,2.548,-0.048,2.95,-0.476,5.112,2.699,0.048,P01670,P01670,,1,3,3,1,P01670,MOUSE,12153.4,25.2,268,268.2,33.31,18.59,,111,Ig kappa chain V-III region PC 6684,,,antigen binding|,1,3,1.70E+08,15.30%
-5.391,0.218,0.202,-5.361,-5.435,5.391,5.23,4.211,0.03,-0.211,-0.218,-5.23,0.066,-5.093,-5.249,-0.202,-4.211,-0.066,-4.637,-4.502,5.361,-0.03,5.093,4.637,-0.148,5.435,0.211,5.249,4.502,0.148,Q8BYB9,Q8BYB9,Poglut1,1,7,6,6,Q8BYB9,MOUSE,46892.1,15.5,269,269.1,70.49,70.49,,392,Protein O-glucosyltransferase 1,endoplasmic reticulum lumen|extracellular exosome|,protein O-linked glycosylation|regulation of Notch signaling pathway|cardiovascular system development|,protein xylosyltransferase activity|UDP-glucosyltransferase activity|UDP-xylosyltransferase activity|glucosyltransferase activity|,6,7,5.12E+08,15.50%
-4.536,0.535,1.623,-3.982,-3.995,4.536,4.86,6.313,0.39,0.217,-0.535,-4.86,2.952,-3.944,-4.451,-1.623,-6.313,-2.952,-6.02,-6.218,3.982,-0.39,3.944,6.02,-0.143,3.995,-0.217,4.451,6.218,0.143,G3UX19,G3UX19,Atf6b,1,8,5,5,G3UX19|A0A0A0MQ69|O35451,MOUSE,77389.6,9.1,270,270.1,69.61,69.61,,709,Cyclic AMP-dependent transcription factor ATF-6 beta,intracellular|nucleus|endoplasmic reticulum membrane|protein-DNA complex|,endoplasmic reticulum unfolded protein response|positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress|,sequence-specific DNA binding transcription factor activity|cAMP response element binding|sequence-specific DNA binding|transcription regulatory region DNA binding|,5,8,2.36E+08,9.10%
-4.615,0.777,0.625,-3.949,-4.693,4.615,5.437,4.121,0.907,0.234,-0.777,-5.437,-1.401,-4.831,-5.218,-0.625,-4.121,1.401,-3.441,-3.995,3.949,-0.907,4.831,3.441,-0.519,4.693,-0.234,5.218,3.995,0.519,Q9QUM0,Q9QUM0,Itga2b,1,8,7,7,Q9QUM0,MOUSE,113760,8.2,271,271.1,69.19,69.19,,1033,Integrin alpha-IIb,focal adhesion|integrin complex|external side of plasma membrane|cell surface|extracellular exosome|blood microparticle|,positive regulation of leukocyte migration|cell-matrix adhesion|integrin-mediated signaling pathway|platelet aggregation|,identical protein binding|metal ion binding|extracellular matrix binding|fibrinogen binding|,7,8,1.41E+08,8.20%
-2.939,-0.519,0.386,-2.763,-2.538,2.939,2.938,3.502,0.301,0.401,0.519,-2.938,0.952,-2.483,-2.323,-0.386,-3.502,-0.952,-3.264,-3.041,2.763,-0.301,2.483,3.264,0.094,2.538,-0.401,2.323,3.041,-0.094,Q8CBR6,Q8CBR6,Tsku,1,7,4,4,Q8CBR6,MOUSE,38760.8,16.6,272,272.1,69.1,69.1,,354,Tsukushin,extracellular space|,regulation of gene expression|corpus callosum morphogenesis|lateral ventricle development|anterior commissure morphogenesis|negative regulation of Wnt signaling pathway|camera-type eye development|ciliary body morphogenesis|,protein binding|,4,7,90600000,16.60%
-5.131,0.331,1.185,-5.181,-4.996,5.131,6.159,4.092,0.004,0.126,-0.331,-6.159,0.475,-6.277,-6.045,-1.185,-4.092,-0.475,-4.087,-4.126,5.181,-0.004,6.277,4.087,0.188,4.996,-0.126,6.045,4.126,-0.188,Q9R182,Q9R182,Angptl3,1,8,6,6,Q9R182,MOUSE,52770.3,15.3,273,273.1,68.38,68.38,,455,Angiopoietin-related protein 3,extracellular region|extracellular space|early endosome|Golgi apparatus|cell surface|,glycerol metabolic process|fatty acid metabolic process|triglyceride metabolic process|phospholipid metabolic process|cell-matrix adhesion|signal transduction|cholesterol metabolic process|phospholipid catabolic process|response to hormone|negative regulation of phospholipase activity|lipid storage|positive regulation of cell migration|cholesterol homeostasis|positive regulation of angiogenesis|positive regulation of lipid metabolic process|artery morphogenesis|positive regulation of lipid catabolic process|negative regulation of lipoprotein lipase activity|lipid homeostasis|acylglycerol homeostasis|phospholipid homeostasis|triglyceride homeostasis|,enzyme inhibitor activity|phospholipase inhibitor activity|integrin binding|growth factor activity|,6,8,6.43E+08,15.30%
-3.871,2.513,1.537,-3.303,-3.677,3.871,6.682,6.094,0.765,0.16,-2.513,-6.682,-0.774,-5.698,-6.181,-1.537,-6.094,0.774,-5.243,-5.932,3.303,-0.765,5.698,5.243,-0.605,3.677,-0.16,6.181,5.932,0.605,A0A075B5R2,A0A075B5R2,Ighv7-3,1,14,4,4,A0A075B5R2|A0A075B5R3|P01786,MOUSE,13628.3,29.1,274,274.1,67.85,67.85,,120,Immunoglobulin heavy variable 7-3 (Fragment),,,,4,14,6.89E+08,29.10%
-4.729,0.091,0.353,-4.638,-4.61,4.729,4.255,6.679,0.19,0.065,-0.091,-4.255,-0.428,-4.306,-4.315,-0.353,-6.679,0.428,-6.209,-6.654,4.638,-0.19,4.306,6.209,-0.234,4.61,-0.065,4.315,6.654,0.234,Q8BI84,Q8BI84,Mia3,1,13,8,8,Q8BI84|Q8BI84-2|J3KMH5|Q8BI84-3,MOUSE,214298.7,5,275,275.1,67.49,67.49,,1930,Transport and Golgi organization protein 1 homolog,endoplasmic reticulum membrane|membrane|integral component of membrane|intracellular membrane-bounded organelle|,chondrocyte development|positive regulation of leukocyte migration|exocytosis|negative regulation of cell adhesion|protein transport|collagen fibril organization|negative regulation of cell migration|positive regulation of bone mineralization|wound healing|,,8,13,3.08E+09,5.00%
-4.097,0.525,0.782,-4.048,-3.483,4.097,4.481,4.858,0.502,0.512,-0.525,-4.481,-0.282,-3.978,-4.05,-0.782,-4.858,0.282,-4.884,-4.208,4.048,-0.502,3.978,4.884,-0.021,3.483,-0.512,4.05,4.208,0.021,E9QPX1,E9QPX1,Col18a1,1,9,5,5,E9QPX1|P39061|P39061-1|P39061-2,MOUSE,183320.5,3.4,276,276.1,67.34,67.34,,1774,Collagen alpha-1(XVIII) chain,collagen trimer|basement membrane|extracellular space|extracellular matrix|extracellular exosome|extracellular matrix|,angiogenesis|endothelial cell morphogenesis|cell adhesion|positive regulation of cell proliferation|extracellular matrix organization|positive regulation of cell migration|positive regulation of endothelial cell apoptotic process|,structural molecule activity|identical protein binding|,5,9,1.05E+09,3.40%
-5.482,0.548,5.699,-5.122,-4.839,5.482,5.907,10.419,0.31,0.591,-0.548,-5.907,,-5.678,-5.358,-5.699,-10.419,,-10.083,-9.873,5.122,-0.31,5.678,10.083,0.368,4.839,-0.591,5.358,9.873,-0.368,Q9WUU7,Q9WUU7,Ctsz,1,14,6,6,Q9WUU7,MOUSE,34680.3,18.9,277,277.1,66.77,66.77,,306,Cathepsin Z,extracellular space|lysosome|endoplasmic reticulum|intracellular membrane-bounded organelle|extracellular exosome|,proteolysis involved in cellular protein catabolic process|epithelial tube branching involved in lung morphogenesis|,cysteine-type endopeptidase activity|,6,14,1.18E+09,18.90%
-4.87,1.149,1.522,-5.099,-4.628,4.87,4.845,6.861,-0.814,0.276,-1.149,-4.845,,-6.187,-4.915,-1.522,-6.861,,-7.206,-6.165,5.099,0.814,6.187,7.206,1.087,4.628,-0.276,4.915,6.165,-1.087,A0A075B5N4,A0A075B5N4,Igkv8-27,1,16,5,2,A0A075B5N4|A0A140T8P7,MOUSE,11090.2,60,278,278.1,66.55,26.15,,100,Immunoglobulin kappa chain variable 8-27,,,,5,16,2.76E+09,60.00%
-5.367,0.379,,-6.021,-5.566,5.367,5.746,,-0.655,-0.2,-0.379,-5.746,,-6.401,-5.946,,,,,,6.021,0.655,6.401,,0.455,5.566,0.2,5.946,,-0.455,A0A140T8M4,A0A140T8M4,Igkv8-19,1,1,4,1,A0A140T8M4,MOUSE,11230.2,42.5,278,278.2,64.78,21.85,,101,Immunoglobulin kappa variable 8-19,,,,1,1,4820000,14.80%
-3.929,1.3,1.559,-5.535,-4.122,3.929,5.116,5.333,-0.904,0.095,-1.3,-5.116,-1.077,-6.326,-5.006,-1.559,-5.333,1.077,-6.75,-5.409,5.535,0.904,6.326,6.75,1.228,4.122,-0.095,5.006,5.409,-1.228,A0A140T8P5,A0A140T8P5,Igkv8-24,1,5,4,2,A0A140T8P5,MOUSE,13434.9,35.5,278,278.3,56.26,32.68,,121,Immunoglobulin kappa chain variable 8-24 (Fragment),,,,2,5,3.02E+08,17.30%
-4.404,2.699,1.767,-5.062,-4.251,4.404,7.103,6.053,-0.658,0.152,-2.699,-7.103,-0.865,-7.761,-6.951,-1.767,-6.053,0.865,-6.646,-5.94,5.062,0.658,7.761,6.646,0.811,4.251,-0.152,6.951,5.94,-0.811,A0A140T8M3,A0A140T8M3,Igkv8-30,1,2,4,1,A0A140T8M3,MOUSE,13506,35.5,278,278.4,52.23,11.83,,121,Immunoglobulin kappa chain variable 8-30 (Fragment),,,,1,2,6.90E+07,9.90%
-5.801,,,-6.12,-6.584,5.801,5.521,,-0.93,-1.182,,-5.521,,-7.062,-7.101,,,,,,6.12,0.93,7.062,,-0.252,6.584,1.182,7.101,,0.252,A0A075B5N3,A0A075B5N3,Igkv8-28,1,2,4,2,A0A075B5N3,MOUSE,11017,50.4,278,278.5,48.96,22.85,,101,Immunoglobulin kappa variable 8-28,,,,2,2,1.45E+08,31.60%
-4.997,,1.965,-5.103,-5.075,4.997,,7.001,-0.08,-0.123,,,,,,-1.965,-7.001,,-6.987,-7.065,5.103,0.08,,6.987,-0.013,5.075,0.123,,7.065,0.013,A0A140T8N5,A0A140T8N5,Igkv6-23,1,9,2,2,A0A140T8N5,MOUSE,12901.2,15.6,278,278.6,30.67,30.67,,115,Immunoglobulin kappa variable 6-23 (Fragment),,,,2,9,8.51E+08,15.60%
-3.359,1.311,-0.063,-4.21,-3.156,3.359,4.395,1.685,-0.321,0.326,-1.311,-4.395,-0.628,-5.539,-4.407,0.063,-1.685,0.628,-1.072,-2.104,4.21,0.321,5.539,1.072,0.705,3.156,-0.326,4.407,2.104,-0.705,Q8R0Z6,Q8R0Z6,Angptl6,1,8,6,6,Q8R0Z6,MOUSE,51493.9,15.7,279,279.1,66.53,66.53,,457,Angiopoietin-related protein 6,secretory granule|extracellular exosome|,angiogenesis|cell differentiation|,,6,8,2.98E+08,15.70%
-4.325,1.292,0.854,-4.076,-3.865,4.325,4.701,4.264,0.248,0.46,-1.292,-4.701,-0.437,-4.483,-4.318,-0.854,-4.264,0.437,-4.046,-3.88,4.076,-0.248,4.483,4.046,0.212,3.865,-0.46,4.318,3.88,-0.212,Q9JHI0,Q9JHI0,Mmp19,1,5,5,5,Q9JHI0|Q3UW97,MOUSE,59349.2,14.2,280,280.1,66.27,66.27,,527,Matrix metalloproteinase-19,extracellular region|proteinaceous extracellular matrix|plasma membrane|anchored component of membrane|,angiogenesis|ovarian follicle development|ovulation from ovarian follicle|luteolysis|proteolysis|response to hormone|cell differentiation|collagen catabolic process|response to cAMP|,metalloendopeptidase activity|calcium ion binding|zinc ion binding|,5,5,25700000,14.20%
-4.217,0.516,0.75,-3.797,-3.908,4.217,4.733,4.27,0.48,0.371,-0.516,-4.733,0.255,-4.253,-4.589,-0.75,-4.27,-0.255,-3.649,-4.149,3.797,-0.48,4.253,3.649,-0.043,3.908,-0.371,4.589,4.149,0.043,P70428,P70428,Ext2,1,11,6,6,P70428|V9GX32|E9Q1M5,MOUSE,82804.6,9,281,281.1,66.25,66.25,,718,Exostosin-2,Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|Golgi apparatus|membrane|integral component of membrane|UDP-N-acetylglucosamine transferase complex|extracellular exosome|,"ossification|mesoderm formation|glycosaminoglycan biosynthetic process|protein glycosylation|heparan sulfate proteoglycan biosynthetic process|heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process|cell differentiation|cellular polysaccharide biosynthetic process|","acetylglucosaminyltransferase activity|glucuronosyltransferase activity|transferase activity, transferring glycosyl groups|heparan sulfate N-acetylglucosaminyltransferase activity|protein homodimerization activity|metal ion binding|protein heterodimerization activity|glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity|N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity|acetylglucosaminyltransferase activity|",6,11,1.11E+08,9.00%
-3.354,-0.595,-0.278,-2.959,-3.149,3.354,3.695,3.634,0.474,0.221,0.595,-3.695,0.546,-3.227,-3.403,0.278,-3.634,-0.546,-3.518,-3.5,2.959,-0.474,3.227,3.518,-0.251,3.149,-0.221,3.403,3.5,0.251,Q08879-2,Q08879-2,Fbln1,1,11,7,7,Q08879-2|Q08879,MOUSE,79390.4,10.8,282,282.1,65.28,65.28,,705,Isoform C of Fibulin-1,proteinaceous extracellular matrix|basement membrane|extracellular space|extracellular exosome|elastic fiber|fibrinogen complex|extracellular matrix|,"negative regulation of protein phosphorylation|negative regulation of cell adhesion|embryo implantation|positive regulation of gene expression|positive regulation of peptidase activity|extracellular matrix organization|positive regulation of fibroblast proliferation|negative regulation of ERK1 and ERK2 cascade|blood coagulation, fibrin clot formation|negative regulation of substrate adhesion-dependent cell spreading|negative regulation of transformation of host cell by virus|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of cell motility|negative regulation of stem cell proliferation|negative regulation of transforming growth factor-beta secretion|",fibronectin binding|integrin binding|extracellular matrix structural constituent|calcium ion binding|protein binding|protein C-terminus binding|peptidase activator activity|protein complex binding|identical protein binding|fibrinogen binding|,7,11,2.30E+08,10.80%
-5.03,1.35,1.819,-5.09,-5.032,5.03,6.222,6.869,0.037,-0.169,-1.35,-6.222,-0.553,-5.988,-6.338,-1.819,-6.869,0.553,-6.374,-7.065,5.09,-0.037,5.988,6.374,-0.03,5.032,0.169,6.338,7.065,0.03,A0A075B5N7,A0A075B5N7,Igkv6-13,1,15,5,3,A0A075B5N7|A0A140T8P1,MOUSE,10554.5,56.8,283,283.1,64.38,39.33,,95,Immunoglobulin kappa variable 6-13,,,,5,15,2.14E+09,56.80%
-4.249,-0.598,-0.646,-4.235,-5.633,4.249,3.65,4.596,0.388,-0.684,0.598,-3.65,1.133,-3.637,-5.034,0.646,-4.596,-1.133,-4.208,-5.28,4.235,-0.388,3.637,4.208,-1.072,5.633,0.684,5.034,5.28,1.072,A0A140T8Q3,A0A140T8Q3,Igkv6-17,1,3,4,1,A0A140T8Q3|P01633,MOUSE,12874.2,40,283,283.2,61.85,13.82,,115,Immunoglobulin kappa variable 6-17 (Fragment),,,,1,3,4.21E+08,7.80%
-5.4,,1.551,-6.209,-5.675,5.4,6.246,5.179,-0.888,-0.238,,-6.246,-2.735,-7.582,-6.693,-1.551,-5.179,2.735,-6.111,-5.346,6.209,0.888,7.582,6.111,0.629,5.675,0.238,6.693,5.346,-0.629,A0A140T8M5,A0A140T8M5,Igkv6-15,1,10,4,3,A0A140T8M5,MOUSE,12871.1,40,283,283.3,52.1,38.25,,115,Immunoglobulin kappa variable 6-15 (Fragment),,,,3,10,2.37E+09,32.10%
