id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian,PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian,PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian,PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian,PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian,PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,PlexesSearchedTogether_correct.unique_peptides,PlexesSearchedTogether_correct.numSpectra,PlexesSearchedTogether_correct.totalIntensity,PlexesSearchedTogether_correct.pct_cov
Q8C7G5,0.977024585,-0.0465,0.250095796,0.017666667,0.944040053,0.073159012,-0.055,0.201,-0.312,0.079,-0.132,-0.06,Q8C7G5,Apoa5,Q8C7G5_Apoa5,Q8C7G5,Apoa5,1,20,8,8,Q8C7G5|A0A1L1SQP3|A0A1L1SV61,MOUSE,41318.5,25,251,251.1,104.54,104.54,,368,Apolipoprotein A-V,extracellular region|extracellular space|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|blood microparticle|,triglyceride metabolic process|cholesterol biosynthetic process|lipid transport|response to hormone|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|positive regulation of very-low-density lipoprotein particle remodeling|triglyceride catabolic process|regulation of intestinal cholesterol absorption|organ regeneration|neuron projection regeneration|cholesterol efflux|phospholipid efflux|triglyceride-rich lipoprotein particle remodeling|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|lipoprotein metabolic process|tissue regeneration|cholesterol homeostasis|reverse cholesterol transport|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipid catabolic process|positive regulation of lipoprotein lipase activity|acylglycerol homeostasis|triglyceride homeostasis|,phospholipid binding|enzyme activator activity|heparin binding|lipid binding|cholesterol binding|cholesterol transporter activity|enzyme binding|phosphatidylcholine binding|lipase binding|low-density lipoprotein particle receptor binding|phosphatidylcholine-sterol O-acyltransferase activator activity|lipase activator activity|lipoprotein lipase activator activity|lipoprotein particle receptor binding|,8,20,457000000,25.0%
Q9Z0M6,0.721717211,0.009666667,2.633814052,0.189333333,0.545278777,0.640606459,-0.503,-0.034,0.282,-0.024,0.37,-0.033,Q9Z0M6,Adgre5,Q9Z0M6_Adgre5,Q9Z0M6,Cd97,1,27,7,7,E9QJS7|Q9Z0M6|Q9Z0M6-3|E9QMJ5|Q9Z0M6-2|A0A0D9SEG8|Q9DC42,MOUSE,92922.2,10,252,252.1,103.98,103.98,,818,CD97 antigen,plasma membrane|focal adhesion|membrane|integral component of membrane|extracellular exosome|,cell adhesion|G-protein coupled receptor signaling pathway|positive regulation of synapse assembly|,transmembrane signaling receptor activity|G-protein coupled receptor activity|calcium ion binding|,7,27,443000000,10.0%
P47878,0.697122426,-0.126,2.948040924,0.23,0.50721946,0.704846107,0.133,-0.024,-0.832,-0.197,0.125,0.039,P47878,Igfbp3,P47878_Igfbp3,P47878,Igfbp3,1,33,8,8,P47878,MOUSE,32713.3,29.1,253,253.1,103.17,103.17,,292,Insulin-like growth factor-binding protein 3,extracellular space|nucleus|insulin-like growth factor ternary complex|extracellular exosome|,regulation of cell growth|osteoblast differentiation|negative regulation of protein phosphorylation|protein phosphorylation|negative regulation of cell proliferation|regulation of glucose metabolic process|negative regulation of smooth muscle cell migration|regulation of growth|positive regulation of apoptotic process|positive regulation of catalytic activity|positive regulation of MAPK cascade|positive regulation of insulin-like growth factor receptor signaling pathway|type B pancreatic cell proliferation|positive regulation of myoblast differentiation|negative regulation of smooth muscle cell proliferation|,fibronectin binding|insulin-like growth factor binding|protein tyrosine phosphatase activator activity|insulin-like growth factor I binding|insulin-like growth factor II binding|,8,33,14800000000,29.1%
Q01705,0.223777099,0.279666667,13.00015896,-0.602,0.050116889,-2.440723182,0.84,0.587,0.315,-0.166,0.115,-0.013,Q01705,Notch1,Q01705_Notch1,Q01705,Notch1,1,19,9,9,Q01705|Q01705-3|Q01705-4|Q01705-2,MOUSE,284808.6,4.3,254,254.1,101.34,101.34,,2531,Neurogenic locus notch homolog protein 1,Golgi membrane|acrosomal vesicle|ruffle|MAML1-RBP-Jkappa- ICN1 complex|extracellular region|nucleus|nucleoplasm|cytoplasm|endoplasmic reticulum|endoplasmic reticulum membrane|cytosol|cytoskeleton|plasma membrane|integral component of plasma membrane|cell surface|lamellipodium|cytoplasmic vesicle|receptor complex|cell periphery|,"negative regulation of transcription from RNA polymerase II promoter|in utero embryonic development|cell fate specification|epithelial to mesenchymal transition|liver development|heart looping|sprouting angiogenesis|osteoblast fate commitment|positive regulation of neuroblast proliferation|inflammatory response to antigenic stimulus|endocardium development|endocardium morphogenesis|atrioventricular node development|coronary vein morphogenesis|aortic valve morphogenesis|atrioventricular valve morphogenesis|pulmonary valve morphogenesis|mitral valve formation|epithelial to mesenchymal transition involved in endocardial cushion formation|endocardial cushion morphogenesis|cardiac chamber formation|cardiac ventricle morphogenesis|cardiac atrium morphogenesis|cardiac right atrium morphogenesis|cardiac left ventricle morphogenesis|cardiac right ventricle formation|ventricular trabecula myocardium morphogenesis|growth involved in heart morphogenesis|regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation|Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation|cell migration involved in endocardial cushion formation|pericardium morphogenesis|regulation of transcription from RNA polymerase II promoter|transcription from RNA polymerase II promoter|humoral immune response|Notch signaling pathway|positive regulation of transcription of Notch receptor target|spermatogenesis|determination of left/right symmetry|compartment pattern specification|axonogenesis|foregut morphogenesis|endoderm development|heart development|positive regulation of cell proliferation|negative regulation of cell proliferation|epidermis development|regulation of Notch signaling pathway|auditory receptor cell fate commitment|glial cell differentiation|regulation of gene expression|positive regulation of epithelial to mesenchymal transition|negative regulation of cell-substrate adhesion|negative regulation of myotube differentiation|mesenchymal cell development|regulation of somitogenesis|cell differentiation in spinal cord|neural tube development|cell differentiation|neuron differentiation|keratinocyte differentiation|negative regulation of ossification|lung development|embryonic limb morphogenesis|regulation of cell migration|positive regulation of cell migration|positive regulation of BMP signaling pathway|negative regulation of BMP signaling pathway|forebrain development|hair follicle morphogenesis|organ regeneration|response to corticosteroid|response to muramyl dipeptide|response to lipopolysaccharide|embryonic hindlimb morphogenesis|tube formation|skeletal muscle cell differentiation|cellular response to vascular endothelial growth factor stimulus|regulation of cell proliferation|tissue regeneration|positive regulation of apoptotic process|negative regulation of catalytic activity|cell fate commitment|negative regulation of cell differentiation|positive regulation of endothelial cell differentiation|regulation of auditory receptor cell differentiation|negative regulation of auditory receptor cell differentiation|positive regulation of keratinocyte differentiation|negative regulation of myoblast differentiation|negative regulation of neuron differentiation|negative regulation of osteoblast differentiation|positive regulation of Notch signaling pathway|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|negative regulation of calcium ion-dependent exocytosis|positive regulation of JAK-STAT cascade|negative regulation of photoreceptor cell differentiation|somatic stem cell division|neuron fate commitment|astrocyte differentiation|oligodendrocyte differentiation|positive regulation of astrocyte differentiation|negative regulation of oligodendrocyte differentiation|branching morphogenesis of an epithelial tube|regulation of epithelial cell proliferation|positive regulation of epithelial cell proliferation|regulation of neurogenesis|negative regulation of neurogenesis|cardiac muscle tissue morphogenesis|cardiac muscle cell proliferation|positive regulation of cardiac muscle cell proliferation|negative regulation of glial cell proliferation|cilium morphogenesis|cardiac epithelial to mesenchymal transition|cardiac septum morphogenesis|ventricular septum morphogenesis|secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development|negative regulation of cell death|prostate gland epithelium morphogenesis|regulation of epithelial cell proliferation involved in prostate gland development|arterial endothelial cell differentiation|venous endothelial cell differentiation|cardiac vascular smooth muscle cell development|endocardial cell differentiation|vasculogenesis involved in coronary vascular morphogenesis|coronary artery morphogenesis|Notch signaling involved in heart development|regulation of cell adhesion involved in heart morphogenesis|heart trabecula morphogenesis|positive regulation of transcription from RNA polymerase II promoter in response to hypoxia|left/right axis specification|cellular response to follicle-stimulating hormone stimulus|distal tubule development|collecting duct development|glomerular mesangial cell development|interleukin-4 secretion|negative regulation of cell migration involved in sprouting angiogenesis|negative regulation of canonical Wnt signaling pathway|neuronal stem cell maintenance|positive regulation of ephrin receptor signaling pathway|regulation of extracellular matrix assembly|apoptotic process involved in embryonic digit morphogenesis|negative regulation of stem cell differentiation|negative regulation of anoikis|negative regulation of pro-B cell differentiation|negative regulation of endothelial cell chemotaxis|",core promoter binding|RNA polymerase II transcription factor binding transcription activator activity|chromatin binding|sequence-specific DNA binding transcription factor activity|enzyme inhibitor activity|receptor activity|Notch binding|calcium ion binding|protein binding|enzyme binding|chromatin DNA binding|sequence-specific DNA binding|protein heterodimerization activity|,9,19,467000000,4.3%
Q8VC49,0.581644855,-0.025333333,4.409814911,0.211333333,0.362258437,0.985284889,-0.016,-0.237,-0.14,0.158,0.11,-0.027,Q8VC49,Ifi27l2b,Q8VC49_Ifi27l2b,Q8VC49,Ifi27l2b,1,19,6,6,Q8VC49,MOUSE,27886.1,26.1,255,255.1,98.33,98.33,,283,Interferon alpha-inducible protein 27-like protein 2B,integral component of membrane|,,,6,19,12700000000,26.1%
O35664-3,0.276633933,-0.491,10.82154589,1.180666667,0.082764751,2.082655986,-0.784,-0.154,-2.306,0.306,0.024,-0.032,O35664,Ifnar2,O35664-3_Ifnar2,O35664-3,Ifnar2,1,48,7,7,O35664-3|O35664|O35664-2|F6XX07,MOUSE,28268.1,19.3,256,256.1,98.25,98.25,,513,Isoform 3 of Interferon alpha/beta receptor 2,extracellular space|plasma membrane|integral component of plasma membrane|integral component of membrane|,regulation of transcription from RNA polymerase II promoter|cell proliferation|cytokine-mediated signaling pathway|response to interferon-alpha|type I interferon signaling pathway|,type I interferon receptor activity|protein kinase binding|type I interferon binding|,7,48,15800000000,19.3%
Q9ET66,0.519119874,-0.311666667,5.338801465,0.506,0.292495948,1.153468527,-0.354,0.134,-1.474,-0.012,-0.131,-0.033,Q9ET66,Pi16,Q9ET66_Pi16,Q9ET66,Pi16,1,29,6,6,E9QNE5|Q9ET66|D3Z6T6|Q9ET66-2,MOUSE,53234.3,15.1,257,257.1,97.65,97.65,,489,Peptidase inhibitor 16,extracellular space|integral component of membrane|extracellular exosome|,negative regulation of peptidase activity|negative regulation of cell growth involved in cardiac muscle cell development|,peptidase inhibitor activity|,6,29,1820000000,15.1%
P02663,0.546260245,0.452,4.976235647,-0.980666667,0.31796289,-1.08966606,0.143,-0.374,3.058,0.102,-0.143,-0.074,P02663,NotFound,P02663_NotFound,P02663,CSN1S2,1,24,8,8,P02663,BOVIN,26189.4,30.6,258,258.1,97.03,97.03,,222,Alpha-S2-casein,,,,8,24,2010000000,30.6%
Q8R357,0.434226419,-2.814666667,6.662080619,5.649333333,0.215671092,1.385054205,-0.749,-0.587,-15.582,0.072,-0.053,0.011,Q8R357,Olfm1,Q8R357_Olfm1,Q8R357,Olfm1,1,16,7,7,Q8R357|O88998|G3X9Q7|O88998-3|A3KGE4|O88998-2|O88998-4,MOUSE,55769.1,15.8,259,259.1,96.97,96.97,,485,Noelin,extracellular space|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|synaptic membrane|,atrioventricular valve formation|positive regulation of gene expression|negative regulation of gene expression|positive regulation of epithelial to mesenchymal transition|protein oligomerization|cardiac epithelial to mesenchymal transition|regulation of beta-amyloid formation|negative regulation of beta-amyloid formation|negative regulation of neuron migration|,beta-amyloid binding|protein binding|,7,16,593000000,15.8%
Q3U367,0.311388971,0.0796,9.83814072,-0.504833333,0.103797269,-1.981969391,0.409,0.356,,-0.109,-0.221,-0.037,Q3U367,Aldh9a1,Q3U367_Aldh9a1,Q3U367,Aldh9a1,1,12,8,8,Q3U367|Q9JLJ2,MOUSE,56856.5,14.8,260,260.1,96.82,96.82,,518,4-trimethylaminobutyraldehyde dehydrogenase,mitochondrion|cytosol|extracellular exosome|,cellular aldehyde metabolic process|carnitine metabolic process|neurotransmitter biosynthetic process|oxidation-reduction process|,"aldehyde dehydrogenase (NAD) activity|oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor|aminobutyraldehyde dehydrogenase activity|4-trimethylammoniobutyraldehyde dehydrogenase activity|",8,12,1010000000,14.8%
Q91YW3,0.516028538,-0.1706,5.400782067,0.3265,0.28835122,1.186272877,-0.45,-0.283,,-0.254,0.037,0.097,Q91YW3,Dnajc3,Q91YW3_Dnajc3,Q91YW3,Dnajc3,1,17,9,9,Q91YW3,MOUSE,57919.4,15.8,261,261.1,95.52,95.52,,504,DnaJ homolog subfamily C member 3,cytoplasm|endoplasmic reticulum lumen|smooth endoplasmic reticulum|cytosol|membrane|extracellular exosome|extracellular vesicle|endoplasmic reticulum Sec complex|,negative regulation of protein kinase activity|endoplasmic reticulum unfolded protein response|negative regulation of apoptotic process|proteolysis involved in cellular protein catabolic process|negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation|negative regulation of cyclin-dependent protein kinase activity|,protein binding|chaperone binding|misfolded protein binding|,9,17,481000000,15.8%
Q8R0Z6,0.37702299,0.533333333,7.78986121,-0.788,0.166346581,-1.574562778,0.608,0.194,1.98,-0.025,0.447,-0.004,Q8R0Z6,Angptl6,Q8R0Z6_Angptl6,Q8R0Z6,Angptl6,1,18,8,8,Q8R0Z6,MOUSE,51493.9,20.5,262,262.1,94.92,94.92,,457,Angiopoietin-related protein 6,secretory granule|extracellular exosome|,angiogenesis|cell differentiation|,,8,18,628000000,20.5%
A0A075B5S2,0.294065232,-0.385333333,10.29871434,1.146,0.093353062,1.995443637,-0.608,-0.114,-2.153,-0.103,0.649,0.017,A0A075B5S2,NotFound,A0A075B5S2_NotFound,A0A075B5S2,Ighv7-1,1,33,7,7,A0A075B5S2|P01791|P01794|P01788|P01787|P01790|P01793|P01792|P01789,MOUSE,13815.5,56.1,263,263.1,93.92,93.92,,121,Immunoglobulin heavy variable 7-1 (Fragment),,,,8,33,4340000000,56.1%
P14847,0.499232111,-0.0242,5.580836995,0.369666667,0.276640844,1.219306268,-0.423,-0.069,,0.406,-0.011,-0.024,P14847,Crp,P14847_Crp,P14847,Crp,1,18,7,7,P14847,MOUSE,25530.6,35.1,264,264.1,93.8,93.8,,225,C-reactive protein,extracellular space|extracellular exosome|,acute-phase response|positive regulation of gene expression|negative regulation of macrophage derived foam cell differentiation|negative regulation of lipid storage|positive regulation of superoxide anion generation|negative regulation of vasodilation|regulation of interleukin-8 secretion|,complement component C1q binding|calcium ion binding|low-density lipoprotein particle binding|low-density lipoprotein particle receptor binding|,7,18,592000000,35.1%
P01843,0.326571299,-1.2325,9.304937394,2.639,0.11735626,1.829898855,-0.93,-0.702,-6.024,-0.19,0.27,0.181,P01843,NotFound,P01843_NotFound,P01843,,1,35,5,5,A0A0G2JE99|P01843,MOUSE,11745.8,69.5,265,265.1,93.01,93.01,,105,Ig lambda-1 chain C region,plasma membrane|,,antigen binding|,5,35,16400000000,69.5%
P62827,0.319209151,0.44,9.615705003,-0.858,0.109252026,-1.878647186,0.177,0.653,1.777,0.301,-0.27,0.002,P62827,Ran,P62827_Ran,P62827,Ran,1,11,8,8,P62827|Q14AA6|Q61820,MOUSE,24593.8,33.3,266,266.1,91.77,91.77,,216,GTP-binding nuclear protein Ran,nucleus|nuclear envelope|nucleoplasm|nucleolus|cytoplasm|centriole|membrane|midbody|melanosome|RNA nuclear export complex|recycling endosome|extracellular exosome|chromatin|,"ribosomal subunit export from nucleus|ribosomal large subunit export from nucleus|ribosomal small subunit export from nucleus|protein import into nucleus, translocation|protein import into nucleus|protein export from nucleus|mitotic nuclear division|small GTPase mediated signal transduction|metabolic process|actin cytoskeleton organization|positive regulation of protein binding|cellular protein localization|cellular protein complex localization|cell division|protein localization to nucleolus|",GTPase activity|protein binding|GTP binding|GDP binding|poly(A) RNA binding|pre-miRNA binding|,8,11,4650000000,33.3%
Q9CZT5,0.225652809,0.443333333,12.89887045,-0.902,0.051299479,-2.426745697,0.65,0.423,1.61,0.173,-0.23,0.034,Q9CZT5,Vasn,Q9CZT5_Vasn,Q9CZT5,Vasn,1,15,7,7,Q9CZT5,MOUSE,73401,12.3,267,267.1,90.74,90.74,,673,Vasorin,extracellular space|mitochondrion|lysosomal membrane|plasma membrane|cell surface|integral component of membrane|extracellular exosome|,negative regulation of epithelial to mesenchymal transition|negative regulation of transforming growth factor beta receptor signaling pathway|cellular response to hypoxia|cellular response to redox state|,protein binding|transforming growth factor beta binding|,7,15,304000000,12.3%
Q61646,0.984803069,-0.624833333,0.189572949,-0.092333333,0.957288199,-0.05584877,3.181,-1.29,-3.627,-0.392,-0.719,-0.902,Q61646,Hp,Q61646_Hp,Q61646,Hp,1,13,7,7,Q61646,MOUSE,39265.1,21.6,268,268.1,90.15,90.15,,347,Haptoglobin,extracellular space|endoplasmic reticulum|Golgi apparatus|haptoglobin-hemoglobin complex|extracellular exosome|blood microparticle|,response to hypoxia|liver development|immune system process|acute-phase response|Notch signaling pathway|spermatogenesis|response to heat|response to X-ray|response to lead ion|positive regulation of cell death|organ regeneration|response to magnesium ion|response to lipopolysaccharide|response to cobalamin|response to L-ascorbic acid|response to drug|response to hydrogen peroxide|defense response to bacterium|negative regulation of oxidoreductase activity|response to glucocorticoid|response to electrical stimulus|response to growth hormone|negative regulation of hydrogen peroxide catabolic process|,antioxidant activity|hemoglobin binding|protein homodimerization activity|,7,13,419000000,21.6%
E9QPU1,0.975859467,0.0955,0.260513538,0.045666667,0.941778228,0.076168895,0.929,0.507,-1.218,-0.299,0.277,0.377,E9QPU1,Vwf,E9QPU1_Vwf,E9QPU1,Vwf,1,22,8,8,E9QPU1|Q8CIZ8|Q3TPE1|Q3TD35|Q8CIZ8-2,MOUSE,322558.9,2.8,269,269.1,90.12,90.12,,2813,von Willebrand factor,extracellular region|proteinaceous extracellular matrix|endoplasmic reticulum|external side of plasma membrane|extracellular matrix|Weibel-Palade body|extracellular exosome|,liver development|placenta development|cell adhesion|blood coagulation|hemostasis|platelet activation|cell-substrate adhesion|protein homooligomerization|platelet activation|,glycoprotein binding|protease binding|integrin binding|protein binding|collagen binding|immunoglobulin binding|identical protein binding|protein homodimerization activity|protein N-terminus binding|chaperone binding|,9,22,1300000000,2.8%
Q9QUM0,0.612514063,-0.000833333,3.930481483,0.453,0.404531041,0.896367601,0.481,0.099,-1.262,0.476,-0.184,0.385,Q9QUM0,Itga2b,Q9QUM0_Itga2b,Q9QUM0,Itga2b,1,14,8,8,Q9QUM0,MOUSE,113760,10.1,270,270.1,90.02,90.02,,1033,Integrin alpha-IIb,focal adhesion|integrin complex|external side of plasma membrane|cell surface|extracellular exosome|blood microparticle|,positive regulation of leukocyte migration|cell-matrix adhesion|integrin-mediated signaling pathway|platelet aggregation|,identical protein binding|metal ion binding|extracellular matrix binding|fibrinogen binding|,8,14,293000000,10.1%
P01845,0.994093377,0.046,0.044134546,-0.005333333,0.989889107,-0.013208062,-0.634,0.043,0.737,-0.178,-0.057,0.365,P01845,NotFound,P01845_NotFound,P01845,Iglc3,1,25,5,2,P01845,MOUSE,11541.6,65.3,271,271.1,89.73,41.91,,104,Ig lambda-3 chain C region,plasma membrane|,,antigen binding|,5,25,10700000000,65.3%
P01844,0.201489859,-0.243666667,13.81766704,0.702666667,0.041517701,2.579418688,-0.644,-0.332,-0.809,-0.24,0.287,0.276,P01844,NotFound,P01844_NotFound,P01844,Iglc2,1,17,5,3,P01844,MOUSE,11425.5,65.3,271,271.2,89.36,45.84,,104,Ig lambda-2 chain C region,plasma membrane|,,,3,17,3540000000,57.6%
A0A140T8M2,0.36327596,0.1032,8.210882885,0.837833333,0.15097732,1.693527342,-0.912,0.113,,1.015,0.35,-0.05,A0A140T8M2,NotFound,A0A140T8M2_NotFound,A0A140T8M2,Igkv12-44,1,41,5,3,A0A140T8M2,MOUSE,12728.1,43.4,272,272.1,88.78,46.77,,115,Immunoglobulin kappa variable 12-44 (Fragment),,,,5,41,16800000000,43.4%
P01636,0.61589699,0.046,3.837972518,0.6025,0.413240376,0.892717443,-1.272,0.641,,0.856,0.137,-0.132,P01636,NotFound,P01636_NotFound,P01636,,1,1,3,1,P01636,MOUSE,12144.3,35.1,272,272.2,49.47,7.46,,108,Ig kappa chain V-V region MOPC 149,,,antigen binding|,1,1,7820000,9.2%
Q9JHI0,0.832711521,0.181333333,1.549613929,-0.145333333,0.699904212,-0.404407567,0.08,-0.252,0.934,0.28,0.067,-0.021,Q9JHI0,Mmp19,Q9JHI0_Mmp19,Q9JHI0,Mmp19,1,9,7,7,Q9JHI0|Q3UW97,MOUSE,59349.2,18.4,273,273.1,88.72,88.72,,527,Matrix metalloproteinase-19,extracellular region|proteinaceous extracellular matrix|plasma membrane|anchored component of membrane|,angiogenesis|ovarian follicle development|ovulation from ovarian follicle|luteolysis|proteolysis|response to hormone|cell differentiation|collagen catabolic process|response to cAMP|,metalloendopeptidase activity|calcium ion binding|zinc ion binding|,7,9,66000000,18.4%
E9QKW2,0.370653676,0.424833333,8.003587877,-0.925,0.158358439,-1.612382846,0.082,0.396,2.184,0.041,-0.111,-0.043,E9QKW2,Smoc1,E9QKW2_Smoc1,E9QKW2,Smoc1,1,23,7,7,A0A0R4J1E4|E9QKW2|D3Z3A3|Q8BLY1|Q8BLY1-2,MOUSE,51031.9,18.1,274,274.1,87.71,87.71,,452,SPARC-related modular calcium-binding protein 1,basement membrane|,eye development|signal transduction|positive regulation of cell-substrate adhesion|extracellular matrix organization|regulation of osteoblast differentiation|limb development|,calcium ion binding|extracellular matrix binding|,7,23,5600000000,18.1%
Q9R100,0.966296393,0.028,0.38296663,0.028666667,0.915594841,0.110493472,0.239,-0.063,-0.135,-0.144,-0.094,0.365,Q9R100,Cdh17,Q9R100_Cdh17,Q9R100,Cdh17,1,12,7,7,Q9R100|A2AKS7,MOUSE,92100.1,10.6,275,275.1,86.59,86.59,,827,Cadherin-17,plasma membrane|integral component of plasma membrane|basolateral plasma membrane|,oligopeptide transport|homophilic cell adhesion via plasma membrane adhesion molecules|calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules|oligopeptide transmembrane transport|,proton-dependent oligopeptide secondary active transmembrane transporter activity|calcium ion binding|protein binding|,7,12,313000000,10.6%
Q8BYB9,0.702114845,0.198333333,2.868679302,-0.499333333,0.516573436,-0.689291916,-0.714,-0.013,2.071,-0.246,-0.151,0.243,Q8BYB9,Poglut1,Q8BYB9_Poglut1,Q8BYB9,Poglut1,1,15,8,8,Q8BYB9,MOUSE,46892.1,21.4,276,276.1,86.26,86.26,,392,Protein O-glucosyltransferase 1,endoplasmic reticulum lumen|extracellular exosome|,protein O-linked glycosylation|regulation of Notch signaling pathway|cardiovascular system development|,protein xylosyltransferase activity|UDP-glucosyltransferase activity|UDP-xylosyltransferase activity|glucosyltransferase activity|,8,15,1130000000,21.4%
O08538,0.564806326,0.158166667,4.736727117,-0.475,0.335990725,-1.045490402,1.308,0.253,-0.374,0.016,0.005,-0.259,O08538,Angpt1,O08538_Angpt1,O08538,Angpt1,1,12,8,8,O08538,MOUSE,58088.5,16,277,277.1,85.68,85.68,,498,Angiopoietin-1,extracellular space|plasma membrane|microvillus|membrane raft|extracellular exosome|,angiogenesis|patterning of blood vessels|vasculogenesis|in utero embryonic development|negative regulation of protein phosphorylation|sprouting angiogenesis|positive regulation of receptor internalization|negative regulation of cytokine secretion involved in immune response|endocardium morphogenesis|negative regulation of cell adhesion|transmembrane receptor protein tyrosine kinase signaling pathway|activation of transmembrane receptor protein tyrosine kinase activity|endoderm development|positive regulation of endothelial cell migration|positive regulation of phosphatidylinositol 3-kinase signaling|regulation of satellite cell proliferation|hemopoiesis|heparin biosynthetic process|positive regulation of vascular endothelial growth factor receptor signaling pathway|positive regulation of protein ubiquitination|cell-substrate adhesion|regulation of tumor necrosis factor production|positive regulation of peptidyl-serine phosphorylation|protein localization to cell surface|negative regulation of protein import into nucleus|negative regulation of apoptotic process|negative regulation of vascular permeability|regulation of I-kappaB kinase/NF-kappaB signaling|regulation of protein binding|negative regulation of neuron apoptotic process|positive regulation of blood vessel endothelial cell migration|positive regulation of cell adhesion|Tie signaling pathway|positive regulation of peptidyl-tyrosine phosphorylation|positive chemotaxis|positive regulation of protein kinase B signaling|cardiac muscle tissue morphogenesis|vasculogenesis involved in coronary vascular morphogenesis|positive regulation of ERK1 and ERK2 cascade|glomerulus vasculature development|negative regulation of endothelial cell apoptotic process|regulation of macrophage migration inhibitory factor signaling pathway|,receptor binding|vascular endothelial growth factor receptor binding|receptor tyrosine kinase binding|,8,12,393000000,16.0%
P01869,0.895801409,0.139833333,1.023536858,0.095666667,0.790034968,0.27839437,0.142,-0.041,0.175,-0.236,-0.048,0.847,P01869,NotFound,P01869_NotFound,P01869,Ighg1,1,25,5,5,P01869|P01868,MOUSE,44070.3,20.8,278,278.1,85.48,85.48,,393,"Ig gamma-1 chain C region, membrane-bound form",plasma membrane|integral component of membrane|,,antigen binding|immunoglobulin receptor binding|,5,25,2050000000,20.8%
A0A075B5R2,0.751273786,0.177,2.39309514,-0.264666667,0.576355559,-0.590505745,1.006,-0.584,0.506,0.037,-0.198,0.295,A0A075B5R2,NotFound,A0A075B5R2_NotFound,A0A075B5R2,Ighv7-3,1,33,5,5,A0A075B5R2|A0A075B5R3|P01786,MOUSE,13628.3,41.6,279,279.1,84.67,84.67,,120,Immunoglobulin heavy variable 7-3 (Fragment),,,,5,33,1970000000,41.6%
P05366,0.17956197,0.396833333,15.18410801,-2.486333333,0.030310228,-2.827003513,3.294,-0.289,1.915,-0.966,-0.777,-0.796,P05366,Saa1,P05366_Saa1,P05366,Saa1,1,30,6,5,P05366|P04918,MOUSE,13884.1,50,280,280.1,84.37,71.92,,122,Serum amyloid A-1 protein,extracellular space|cytosol|cytoplasmic microtubule|high-density lipoprotein particle|extracellular exosome|,acute-phase response|cholesterol metabolic process|positive chemotaxis|cell chemotaxis|,G-protein coupled receptor binding|protein binding|heparin binding|chemoattractant activity|,6,30,3330000000,50.0%
P05367,0.058262161,0.951,23.81749965,-3.744666667,0.00415193,-4.505624251,4.672,2.476,1.322,-0.932,-1.021,-0.811,P05367,Saa2,P05367_Saa2,P05367,Saa2,1,14,6,5,P05367|A0A1B0GQV5,MOUSE,13736,46.7,280,280.2,60.4,47.95,,122,Serum amyloid A-2 protein,extracellular space|cytosol|cytoplasmic microtubule|high-density lipoprotein particle|extracellular exosome|,acute-phase response|response to stilbenoid|positive chemotaxis|cell chemotaxis|,G-protein coupled receptor binding|protein binding|chemoattractant activity|,5,14,574000000,38.5%
