id,adj.P.Val.xBirACre.over.NoBirA,AveExpr.xBirACre.over.NoBirA,Log.P.Value.xBirACre.over.NoBirA,logFC.xBirACre.over.NoBirA,P.Value.xBirACre.over.NoBirA,t.xBirACre.over.NoBirA,PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian,PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian,PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian,PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian,PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian,PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,PlexesSearchedTogether_correct.unique_peptides,PlexesSearchedTogether_correct.numSpectra,PlexesSearchedTogether_correct.totalIntensity,PlexesSearchedTogether_correct.pct_cov
E9QPU1,5.70588e-4,-0.861,34.20274368,4.028,3.79949e-4,6.105200433,-2.262,-1.975,-4.388,0.842,1.325,1.292,E9QPU1,Vwf,E9QPU1_Vwf,E9QPU1,Vwf,1,22,8,8,E9QPU1|Q8CIZ8|Q3TPE1|Q3TD35|Q8CIZ8-2,MOUSE,322558.9,2.8,269,269.1,90.12,90.12,,2813,von Willebrand factor,extracellular region|proteinaceous extracellular matrix|endoplasmic reticulum|external side of plasma membrane|extracellular matrix|Weibel-Palade body|extracellular exosome|,liver development|placenta development|cell adhesion|blood coagulation|hemostasis|platelet activation|cell-substrate adhesion|protein homooligomerization|platelet activation|,glycoprotein binding|protease binding|integrin binding|protein binding|collagen binding|immunoglobulin binding|identical protein binding|protein homodimerization activity|protein N-terminus binding|chaperone binding|,9,22,1300000000,2.8%
Q9QUM0,2.11828e-4,-0.957333333,39.8579597,4.435333333,1.03325e-4,7.455749563,-2.71,-2.383,-4.432,1.617,0.864,1.3,Q9QUM0,Itga2b,Q9QUM0_Itga2b,Q9QUM0,Itga2b,1,14,8,8,Q9QUM0,MOUSE,113760,10.1,270,270.1,90.02,90.02,,1033,Integrin alpha-IIb,focal adhesion|integrin complex|external side of plasma membrane|cell surface|extracellular exosome|blood microparticle|,positive regulation of leukocyte migration|cell-matrix adhesion|integrin-mediated signaling pathway|platelet aggregation|,identical protein binding|metal ion binding|extracellular matrix binding|fibrinogen binding|,8,14,293000000,10.1%
P01845,1.43093e-4,-0.9105,42.82829411,3.977,5.21399e-5,8.252271392,-3.825,-2.439,-2.433,0.963,0.991,1.28,P01845,NotFound,P01845_NotFound,P01845,Iglc3,1,25,5,2,P01845,MOUSE,11541.6,65.3,271,271.1,89.73,41.91,,104,Ig lambda-3 chain C region,plasma membrane|,,antigen binding|,5,25,10700000000,65.3%
P01844,1.0426e-4,-1.200166667,50.57915922,4.685,8.75153e-6,10.67388699,-3.835,-2.814,-3.979,0.901,1.335,1.191,P01844,NotFound,P01844_NotFound,P01844,Iglc2,1,17,5,3,P01844,MOUSE,11425.5,65.3,271,271.2,89.36,45.84,,104,Ig lambda-2 chain C region,plasma membrane|,,,3,17,3540000000,57.6%
Q9JHI0,1.0426e-4,-0.775166667,47.44434599,3.837,1.80121e-5,9.6294248,-3.111,-2.734,-2.236,1.421,1.115,0.894,Q9JHI0,Mmp19,Q9JHI0_Mmp19,Q9JHI0,Mmp19,1,9,7,7,Q9JHI0|Q3UW97,MOUSE,59349.2,18.4,273,273.1,88.72,88.72,,527,Matrix metalloproteinase-19,extracellular region|proteinaceous extracellular matrix|plasma membrane|anchored component of membrane|,angiogenesis|ovarian follicle development|ovulation from ovarian follicle|luteolysis|proteolysis|response to hormone|cell differentiation|collagen catabolic process|response to cAMP|,metalloendopeptidase activity|calcium ion binding|zinc ion binding|,7,9,66000000,18.4%
E9QKW2,0.001105008,-0.531666667,30.98937251,3.057333333,7.96274e-4,5.421348846,-3.109,-2.086,-0.986,1.182,0.937,0.872,E9QKW2,Smoc1,E9QKW2_Smoc1,E9QKW2,Smoc1,1,23,7,7,A0A0R4J1E4|E9QKW2|D3Z3A3|Q8BLY1|Q8BLY1-2,MOUSE,51031.9,18.1,274,274.1,87.71,87.71,,452,SPARC-related modular calcium-binding protein 1,basement membrane|,eye development|signal transduction|positive regulation of cell-substrate adhesion|extracellular matrix organization|regulation of osteoblast differentiation|limb development|,calcium ion binding|extracellular matrix binding|,7,23,5600000000,18.1%
Q9R100,1.0426e-4,-0.9285,50.35476002,4.011,9.21561e-6,10.59593152,-2.952,-2.545,-3.305,0.997,0.954,1.28,Q9R100,Cdh17,Q9R100_Cdh17,Q9R100,Cdh17,1,12,7,7,Q9R100|A2AKS7,MOUSE,92100.1,10.6,275,275.1,86.59,86.59,,827,Cadherin-17,plasma membrane|integral component of plasma membrane|basolateral plasma membrane|,oligopeptide transport|homophilic cell adhesion via plasma membrane adhesion molecules|calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules|oligopeptide transmembrane transport|,proton-dependent oligopeptide secondary active transmembrane transporter activity|calcium ion binding|protein binding|,7,12,313000000,10.6%
Q8BYB9,0.001658331,-0.758166667,29.07463998,3.483,0.001237474,5.075628179,-3.905,-2.495,-1.099,0.895,0.897,1.158,Q8BYB9,Poglut1,Q8BYB9_Poglut1,Q8BYB9,Poglut1,1,15,8,8,Q8BYB9,MOUSE,46892.1,21.4,276,276.1,86.26,86.26,,392,Protein O-glucosyltransferase 1,endoplasmic reticulum lumen|extracellular exosome|,protein O-linked glycosylation|regulation of Notch signaling pathway|cardiovascular system development|,protein xylosyltransferase activity|UDP-glucosyltransferase activity|UDP-xylosyltransferase activity|glucosyltransferase activity|,8,15,1130000000,21.4%
O08538,3.1214e-4,-0.798333333,37.45916299,3.507333333,1.79508e-4,6.858027462,-1.883,-2.229,-3.544,1.157,1.053,0.656,O08538,Angpt1,O08538_Angpt1,O08538,Angpt1,1,12,8,8,O08538,MOUSE,58088.5,16,277,277.1,85.68,85.68,,498,Angiopoietin-1,extracellular space|plasma membrane|microvillus|membrane raft|extracellular exosome|,angiogenesis|patterning of blood vessels|vasculogenesis|in utero embryonic development|negative regulation of protein phosphorylation|sprouting angiogenesis|positive regulation of receptor internalization|negative regulation of cytokine secretion involved in immune response|endocardium morphogenesis|negative regulation of cell adhesion|transmembrane receptor protein tyrosine kinase signaling pathway|activation of transmembrane receptor protein tyrosine kinase activity|endoderm development|positive regulation of endothelial cell migration|positive regulation of phosphatidylinositol 3-kinase signaling|regulation of satellite cell proliferation|hemopoiesis|heparin biosynthetic process|positive regulation of vascular endothelial growth factor receptor signaling pathway|positive regulation of protein ubiquitination|cell-substrate adhesion|regulation of tumor necrosis factor production|positive regulation of peptidyl-serine phosphorylation|protein localization to cell surface|negative regulation of protein import into nucleus|negative regulation of apoptotic process|negative regulation of vascular permeability|regulation of I-kappaB kinase/NF-kappaB signaling|regulation of protein binding|negative regulation of neuron apoptotic process|positive regulation of blood vessel endothelial cell migration|positive regulation of cell adhesion|Tie signaling pathway|positive regulation of peptidyl-tyrosine phosphorylation|positive chemotaxis|positive regulation of protein kinase B signaling|cardiac muscle tissue morphogenesis|vasculogenesis involved in coronary vascular morphogenesis|positive regulation of ERK1 and ERK2 cascade|glomerulus vasculature development|negative regulation of endothelial cell apoptotic process|regulation of macrophage migration inhibitory factor signaling pathway|,receptor binding|vascular endothelial growth factor receptor binding|receptor tyrosine kinase binding|,8,12,393000000,16.0%
P01869,1.0426e-4,-0.816666667,48.59528142,4.078,1.38188e-5,10.0019592,-3.049,-2.523,-2.995,0.905,1,1.762,P01869,NotFound,P01869_NotFound,P01869,Ighg1,1,25,5,5,P01869|P01868,MOUSE,44070.3,20.8,278,278.1,85.48,85.48,,393,"Ig gamma-1 chain C region, membrane-bound form",plasma membrane|integral component of membrane|,,antigen binding|immunoglobulin receptor binding|,5,25,2050000000,20.8%
A0A075B5R2,1.0426e-4,-0.7795,46.98083602,3.717666667,2.00409e-5,9.482838833,-2.185,-3.066,-2.664,1.178,0.85,1.21,A0A075B5R2,NotFound,A0A075B5R2_NotFound,A0A075B5R2,Ighv7-3,1,33,5,5,A0A075B5R2|A0A075B5R3|P01786,MOUSE,13628.3,41.6,279,279.1,84.67,84.67,,120,Immunoglobulin heavy variable 7-3 (Fragment),,,,5,33,1970000000,41.6%
P05366,0.072940189,-0.559666667,11.7175309,1.496,0.067335937,2.145067517,0.103,-2.771,-1.255,0.175,0.271,0.119,P05366,Saa1,P05366_Saa1,P05366,Saa1,1,30,6,5,P05366|P04918,MOUSE,13884.1,50,280,280.1,84.37,71.92,,122,Serum amyloid A-1 protein,extracellular space|cytosol|cytoplasmic microtubule|high-density lipoprotein particle|extracellular exosome|,acute-phase response|cholesterol metabolic process|positive chemotaxis|cell chemotaxis|,G-protein coupled receptor binding|protein binding|heparin binding|chemoattractant activity|,6,30,3330000000,50.0%
P05367,0.776086628,-0.0055,1.126250923,0.237666667,0.771569244,0.301422275,1.481,-0.006,-1.848,0.209,0.027,0.104,P05367,Saa2,P05367_Saa2,P05367,Saa2,1,14,6,5,P05367|A0A1B0GQV5,MOUSE,13736,46.7,280,280.2,60.4,47.95,,122,Serum amyloid A-2 protein,extracellular space|cytosol|cytoplasmic microtubule|high-density lipoprotein particle|extracellular exosome|,acute-phase response|response to stilbenoid|positive chemotaxis|cell chemotaxis|,G-protein coupled receptor binding|protein binding|chemoattractant activity|,5,14,574000000,38.5%
P26618,1.0426e-4,-0.861333333,50.987208270000004,3.87,7.96671e-6,10.81695215,-2.621,-2.668,-3.1,1.211,1.086,0.924,P26618,Pdgfra,P26618_Pdgfra,P26618,Pdgfra,1,13,8,8,P26618|P26618-2|A0A0J9YV87,MOUSE,123651.1,8.1,281,281.1,83.58,83.58,,1089,Platelet-derived growth factor receptor alpha,nucleus|cytoplasm|cytosol|integral component of plasma membrane|microvillus|external side of plasma membrane|cell surface|membrane|intrinsic component of plasma membrane|protein complex|,luteinization|in utero embryonic development|hematopoietic progenitor cell differentiation|positive regulation of cytosolic calcium ion concentration|estrogen metabolic process|positive regulation of cell proliferation|female gonad development|anatomical structure morphogenesis|organ morphogenesis|response to inorganic substance|negative regulation of platelet activation|positive regulation of phospholipase C activity|cell migration|peptidyl-tyrosine phosphorylation|signal transduction involved in regulation of gene expression|extracellular matrix organization|lung development|adrenal gland development|positive regulation of cell migration|male genitalia development|response to estradiol|Leydig cell differentiation|response to cytokine|cellular response to reactive oxygen species|platelet-derived growth factor receptor-alpha signaling pathway|positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway|wound healing|gliogenesis|odontogenesis of dentin-containing tooth|positive regulation of phosphatidylinositol 3-kinase activity|positive regulation of DNA replication|protein autophosphorylation|platelet-derived growth factor receptor signaling pathway|phosphatidylinositol-mediated signaling|positive regulation of fibroblast proliferation|embryonic digestive tract morphogenesis|embryonic cranial skeleton morphogenesis|skeletal system morphogenesis|inner ear development|regulation of chemotaxis|cardiac myofibril assembly|response to hyperoxia|palate development|face morphogenesis|cell chemotaxis|retina vasculature development in camera-type eye|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|cellular response to amino acid stimulus|metanephric glomerular capillary formation|regulation of mesenchymal stem cell differentiation|,protein kinase activity|transmembrane receptor protein tyrosine kinase activity|platelet-derived growth factor alpha-receptor activity|vascular endothelial growth factor-activated receptor activity|platelet-derived growth factor receptor binding|ATP binding|protein complex binding|vascular endothelial growth factor binding|protein homodimerization activity|phosphatidylinositol 3-kinase binding|platelet-derived growth factor binding|,8,13,219000000,8.1%
A0A140T8P5,1.34595e-4,-0.603333333,43.48599053,3.968,4.48127e-5,8.437696979,-2.725,-2.392,-2.645,0.996,2.259,0.887,A0A140T8P5,NotFound,A0A140T8P5_NotFound,A0A140T8P5,Igkv8-24,1,13,5,2,A0A140T8P5,MOUSE,13434.9,35.5,282,282.2,70.08,32.79,,121,Immunoglobulin kappa chain variable 8-24 (Fragment),,,,2,13,1890000000,17.3%
A0A140T8M4,4.34314e-4,-1.036833333,35.67024675,4.959666667,2.71004e-4,6.570333658,-3.493,-2.07,-4.987,0.882,1.344,2.103,A0A140T8M4,NotFound,A0A140T8M4_NotFound,A0A140T8M4,Igkv8-19,1,13,4,2,A0A140T8M4,MOUSE,11230.2,42.5,282,282.5,64.89,36.51,,101,Immunoglobulin kappa variable 8-19,,,,2,13,1580000000,26.7%
P08003,1.44347e-4,-0.961333333,42.72158453,3.702,5.34369e-5,8.222506643,-2.56,-2.261,-3.616,0.933,0.849,0.887,P08003,Pdia4,P08003_Pdia4,P08003,Pdia4,1,12,8,8,A0A0R4J0Z1|P08003,MOUSE,72323.4,11.7,283,283.1,80.8,80.8,,638,Protein disulfide-isomerase A4,endoplasmic reticulum|endoplasmic reticulum lumen|cell surface|endoplasmic reticulum chaperone complex|melanosome|,protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|chaperone-mediated protein folding|,protein disulfide isomerase activity|poly(A) RNA binding|,8,12,458000000,11.7%
Q61982,8.1812e-4,-0.5165,32.39420961,2.976333333,5.76208e-4,5.71358624,-1.961,-1.088,-2.965,1.088,0.893,0.934,Q61982,Notch3,Q61982_Notch3,Q61982,Notch3,1,18,7,7,Q61982,MOUSE,257423.3,3.3,284,284.1,79.46,79.46,,2318,Neurogenic locus notch homolog protein 3,nucleoplasm|cytoplasm|plasma membrane|integral component of plasma membrane|actin cytoskeleton|receptor complex|,"negative regulation of transcription from RNA polymerase II promoter|transcription, DNA-templated|Notch signaling pathway|forebrain development|negative regulation of cell differentiation|negative regulation of neuron differentiation|positive regulation of transcription from RNA polymerase II promoter|positive regulation of smooth muscle cell proliferation|neuron fate commitment|artery morphogenesis|glomerular capillary formation|",calcium ion binding|protein binding|enzyme binding|,7,18,248000000,3.3%
P01645,0.00363885,-0.685,25.3988185,3.678666667,0.002884816,4.420663468,-4.153,-2.712,-0.708,0.926,1.622,0.915,P01645,NotFound,P01645_NotFound,P01645,,1,35,7,6,P01645|P01644|P01646|P01647|A0A140T8M1|P01648|P01643|P01649|A0A075B5L0,MOUSE,12068.2,65.7,285,285.1,79.25,67.02,,108,Ig kappa chain V-V region HP 93G7,,,antigen binding|,8,35,6570000000,65.7%
P97873,7.20125e-4,-0.633333333,33.05408902,3.529333333,4.94984e-4,5.8544085,-1.716,-1.787,-3.691,1.183,1.494,0.717,P97873,Loxl1,P97873_Loxl1,P97873,Loxl1,1,11,7,7,P97873|A0A0R4J0Q4,MOUSE,67189.7,12.8,286,286.1,79.09,79.09,,607,Lysyl oxidase homolog 1,proteinaceous extracellular matrix|extracellular space|extracellular matrix|,oxidation-reduction process|,"copper ion binding|protein binding|oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor|",7,11,811000000,12.8%
A0A075B5N3,6.05173e-4,-0.939666667,33.90937483,4.683333333,4.06502e-4,6.157922897,-2.729,-2.128,-4.987,0.863,1.418,1.925,A0A075B5N3,NotFound,A0A075B5N3_NotFound,A0A075B5N3,Igkv8-28,1,22,5,5,A0A075B5N3,MOUSE,11017,59.4,287,287.1,78.96,78.96,,101,Immunoglobulin kappa variable 8-28,,,,5,22,4330000000,59.4%
P16056,1.17305e-4,-1.035,44.7022601,4.167333333,3.38668e-5,8.789753673,-3.335,-2.259,-3.762,1.231,1.043,0.872,P16056,NotFound,P16056_NotFound,P16056,Met,1,12,7,7,P16056|F8VQL0,MOUSE,155885.1,6.9,288,288.1,78.71,78.71,,1379,Hepatocyte growth factor receptor,basal plasma membrane|cell surface|membrane|integral component of membrane|,activation of MAPK activity|endothelial cell morphogenesis|liver development|placenta development|synaptic transmission|brain development|muscle organ development|skeletal muscle tissue development|positive regulation of glucose transport|muscle cell migration|myotube differentiation|peptidyl-tyrosine phosphorylation|adult behavior|glucose homeostasis|positive regulation of transcription from RNA polymerase II promoter|protein autophosphorylation|hepatocyte growth factor receptor signaling pathway|branching morphogenesis of an epithelial tube|regulation of synaptic transmission|positive chemotaxis|myoblast proliferation|regulation of excitatory postsynaptic membrane potential|regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling|semaphorin-plexin signaling pathway|negative regulation of hydrogen peroxide-mediated programmed cell death|positive regulation of endothelial cell chemotaxis|,protein kinase activity|hepatocyte growth factor-activated receptor activity|protein binding|ATP binding|protein phosphatase binding|,7,12,207000000,6.9%
P01631,1.0426e-4,-1.1605,49.44902379,4.973666667,1.13527e-5,10.28639229,-4.261,-3.033,-3.648,0.984,1.964,1.031,P01631,NotFound,P01631_NotFound,P01631,,1,48,5,5,P01631|A0A140T8M0|A0A0B4J1I0|A0A075B5K8|A0A140T8N1|A0A140T8M9|A0A075B5N0,MOUSE,12386.7,40.7,289,289.1,78.22,78.22,,113,Ig kappa chain V-II region 26-10,,,antigen binding|,7,48,71300000000,40.7%
P97464,1.0426e-4,-1.0635,50.78866302,4.161,8.33938e-6,10.74712843,-3.13,-2.722,-3.58,1.213,0.921,0.917,P97464,Ext1,P97464_Ext1,P97464,Ext1,1,16,7,7,P97464,MOUSE,87047.9,9.5,290,290.1,77.63,77.63,,746,Exostosin-1,Golgi membrane|endoplasmic reticulum|Golgi apparatus|integral component of endoplasmic reticulum membrane|,"ossification|glycosaminoglycan biosynthetic process|protein glycosylation|gastrulation|axon guidance|brain development|endoderm development|mesoderm development|heparan sulfate proteoglycan biosynthetic process|heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process|olfactory bulb development|cellular polysaccharide biosynthetic process|embryonic skeletal joint development|","acetylglucosaminyltransferase activity|glucuronosyltransferase activity|transferase activity, transferring glycosyl groups|protein homodimerization activity|metal ion binding|protein heterodimerization activity|glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity|N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity|",7,16,544000000,9.5%
Q8VI78,0.010085294,-0.418333333,20.67577093,2.809333333,0.008558998,3.573949008,-3.167,-2.326,0.024,1.197,0.885,0.877,Q8VI78,Pla1a,Q8VI78_Pla1a,Q8VI78,Pla1a,1,14,7,7,Q8VI78,MOUSE,50838.6,19.9,291,291.1,76.97,76.97,,456,Phospholipase A1 member A,acrosomal membrane|extracellular exosome|,lipid catabolic process|,phosphatidylcholine 1-acylhydrolase activity|,7,14,1480000000,19.9%
Q61171,2.39373e-4,-0.664333333,39.1146589,4.103333333,1.22612e-4,7.266378876,-3.22,-1.638,-3.29,1.74,0.772,1.65,Q61171,Prdx2,Q61171_Prdx2,Q61171,Prdx2,1,9,7,7,Q61171,MOUSE,21949.4,39.3,292,292.1,76.73,76.73,,198,Peroxiredoxin-2,mitochondrion|myelin sheath|extracellular exosome|,activation of MAPK activity|respiratory burst involved in inflammatory response|response to oxidative stress|regulation of hydrogen peroxide metabolic process|removal of superoxide radicals|positive regulation of blood coagulation|negative regulation of lipopolysaccharide-mediated signaling pathway|negative regulation of NF-kappaB transcription factor activity|response to lipopolysaccharide|cellular response to oxidative stress|T cell proliferation|hydrogen peroxide metabolic process|hydrogen peroxide catabolic process|regulation of apoptotic process|negative regulation of T cell differentiation|thymus development|homeostasis of number of cells|oxidation-reduction process|negative regulation of reactive oxygen species metabolic process|negative regulation of extrinsic apoptotic signaling pathway|negative regulation of extrinsic apoptotic signaling pathway in absence of ligand|,peroxidase activity|protein binding|thioredoxin peroxidase activity|selenium binding|antioxidant activity|,7,9,725000000,39.3%
Q769J6,0.00117386,-0.403666667,30.68496934,2.758,8.54089e-4,5.359338129,-2.634,-1.901,-0.813,0.913,1.124,0.889,Q769J6,Adamts13,Q769J6_Adamts13,Q769J6,Adamts13,1,16,7,7,Q769J6|A2ALB3,MOUSE,160032.5,7,293,293.1,76.43,76.43,,1426,A disintegrin and metalloproteinase with thrombospondin motifs 13,proteinaceous extracellular matrix|extracellular space|,proteolysis|blood coagulation|response to toxic substance|response to interferon-gamma|response to tumor necrosis factor|peptide catabolic process|response to interleukin-4|,endopeptidase activity|metalloendopeptidase activity|zinc ion binding|,7,16,165000000,7.0%
G3U9,0.002078288,-1.369666667,27.98722121,4.853333333,0.001589563,5.012113608,-2.785,-2.417,-6.187,1.233,0.938,1,G3U9,NotFound,G3U9_NotFound,G3U9,Atf6b,1,16,6,6,G3U9|A0A0A0MQ69|O35451,MOUSE,77389.6,12.1,294,294.1,75.17,75.17,,709,Cyclic AMP-dependent transcription factor ATF-6 beta,intracellular|nucleus|endoplasmic reticulum membrane|protein-DNA complex|,endoplasmic reticulum unfolded protein response|positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress|,sequence-specific DNA binding transcription factor activity|cAMP response element binding|sequence-specific DNA binding|transcription regulatory region DNA binding|,6,16,370000000,12.1%
A0A075B5S9,1.27982e-4,-0.8535,43.98717882,4.374333333,3.99284e-5,8.581310754,-2.861,-2.598,-3.663,0.949,2.166,0.886,A0A075B5S9,NotFound,A0A075B5S9_NotFound,A0A075B5S9,Ighv9-4,1,16,6,5,A0A075B5S9|A0A0B4J1J4|A0A075B5S1,MOUSE,11048.3,60.2,295,295.1,74.36,54.63,,98,Immunoglobulin heavy variable 9-4,,,,7,16,820000000,60.2%
Q8CBR6,0.001295084,-0.796333333,30.23044663,3.386666667,9.48321e-4,5.267589078,-2.306,-1.301,-3.862,1.033,0.922,0.736,Q8CBR6,Tsku,Q8CBR6_Tsku,Q8CBR6,Tsku,1,12,4,4,Q8CBR6,MOUSE,38760.8,16.6,296,296.1,74.15,74.15,,354,Tsukushin,extracellular space|,regulation of gene expression|corpus callosum morphogenesis|lateral ventricle development|anterior commissure morphogenesis|negative regulation of Wnt signaling pathway|camera-type eye development|ciliary body morphogenesis|,protein binding|,4,12,207000000,16.6%
O88325,7.45726e-4,-1.168166667,32.86167597,4.233666667,5.17407e-4,5.921600622,-2.941,-2.008,-4.906,0.944,0.982,0.92,O88325,Naglu,O88325_Naglu,O88325,Naglu,1,11,6,6,O88325,MOUSE,83165.4,11.5,297,297.1,74.03,74.03,,739,Alpha-N-acetylglucosaminidase,extracellular exosome|,lysosome organization|cerebellar Purkinje cell layer development|middle ear morphogenesis|locomotor rhythm|retinal rod cell development|inner ear receptor cell development|,,6,11,93900000,11.5%
E9QP56,3.06476e-4,-0.793333333,37.59763796,4.246666667,1.73875e-4,6.891493839,-2.884,-1.805,-4.061,1.756,1.417,0.817,E9QP56,Apoc3,E9QP56_Apoc3,E9QP56,Apoc3,1,46,4,4,E9QP56|P33622|A0A0R4J1N3,MOUSE,15162.8,36.4,298,298.1,72.24,72.24,,137,Apolipoprotein C-III,extracellular region|,triglyceride metabolic process|triglyceride mobilization|lipid transport|cholesterol metabolic process|triglyceride catabolic process|lipoprotein metabolic process|,lipid binding|,4,46,37200000000,36.4%
Q9Z1T2,0.00398198,-1.723333333,24.98203496,5.793333333,0.003175386,4.41480579,-2.958,-2.955,-7.947,0.979,1.574,0.967,Q9Z1T2,Thbs4,Q9Z1T2_Thbs4,Q9Z1T2,Thbs4,1,7,5,4,Q9Z1T2,MOUSE,109046.1,7.5,299,299.1,71.9,53.91,,963,Thrombospondin-4,basement membrane|extracellular space|endoplasmic reticulum|sarcoplasmic reticulum|extracellular matrix|extracellular exosome|,positive regulation of endothelial cell proliferation|response to unfolded protein|negative regulation of angiogenesis|regulation of tissue remodeling|response to endoplasmic reticulum stress|behavioral response to pain|tissue remodeling|positive regulation of peptidyl-tyrosine phosphorylation|myoblast migration|positive regulation of cell division|endothelial cell-cell adhesion|positive regulation of neutrophil chemotaxis|,integrin binding|calcium ion binding|protein binding|growth factor activity|heparin binding|,5,7,1010000000,7.5%
E9QP,1.0426e-4,-0.8865,46.95974693,3.844333333,2.01384e-5,9.47621553,-2.635,-2.399,-3.392,1.177,1.07,0.86,E9QP,Col18a1,E9QP_Col18a1,E9QP,Col18a1,1,20,5,5,E9QP|P39061|P39061-1|P39061-2,MOUSE,183320.5,3.4,300,300.1,71.8,71.8,,1774,Collagen alpha-1(XVIII) chain,collagen trimer|basement membrane|extracellular space|extracellular matrix|extracellular exosome|extracellular matrix|,angiogenesis|endothelial cell morphogenesis|cell adhesion|positive regulation of cell proliferation|extracellular matrix organization|positive regulation of cell migration|positive regulation of endothelial cell apoptotic process|,structural molecule activity|identical protein binding|,5,20,2920000000,3.4%
A0A075B5N7,1.0426e-4,-0.978666667,52.93835467,4.302,5.08352e-6,11.52508708,-3.467,-2.773,-3.149,0.964,1.252,1.301,A0A075B5N7,NotFound,A0A075B5N7_NotFound,A0A075B5N7,Igkv6-13,1,32,6,3,A0A075B5N7|A0A140T8P1,MOUSE,10554.5,56.8,302,302.1,69.71,39.67,,95,Immunoglobulin kappa variable 6-13,,,,7,32,10200000000,56.8%
Q9EPS3,1.0426e-4,-0.918333333,52.21822913,3.949333333,6.00036e-6,11.25901513,-3.044,-2.706,-2.929,1.263,0.92,0.986,Q9EPS3,Glce,Q9EPS3_Glce,Q9EPS3,Glce,1,12,7,7,Q9EPS3,MOUSE,70429.9,12.7,303,303.1,69.55,69.55,,618,D-glucuronyl C5-epimerase,Golgi membrane|Golgi apparatus|integral component of membrane|,heparan sulfate proteoglycan biosynthetic process|heparin biosynthetic process|,"racemase and epimerase activity, acting on carbohydrates and derivatives|heparosan-N-sulfate-glucuronate 5-epimerase activity|UDP-glucuronate 5'-epimerase activity|",7,12,78700000,12.7%
Q9R182,1.34728e-4,-1.001333333,43.32228383,4.071333333,4.65341e-5,8.39122329,-3.684,-3.306,-2.121,0.968,1.22,0.915,Q9R182,Angptl3,Q9R182_Angptl3,Q9R182,Angptl3,1,15,6,6,Q9R182,MOUSE,52770.3,15.3,304,304.1,69.55,69.55,,455,Angiopoietin-related protein 3,extracellular region|extracellular space|early endosome|Golgi apparatus|cell surface|,glycerol metabolic process|fatty acid metabolic process|triglyceride metabolic process|phospholipid metabolic process|cell-matrix adhesion|signal transduction|cholesterol metabolic process|phospholipid catabolic process|response to hormone|negative regulation of phospholipase activity|lipid storage|positive regulation of cell migration|cholesterol homeostasis|positive regulation of angiogenesis|positive regulation of lipid metabolic process|artery morphogenesis|positive regulation of lipid catabolic process|negative regulation of lipoprotein lipase activity|lipid homeostasis|acylglycerol homeostasis|phospholipid homeostasis|triglyceride homeostasis|,enzyme inhibitor activity|phospholipase inhibitor activity|integrin binding|growth factor activity|,6,15,815000000,15.3%
